gene	geneid	Z-ESR1	Z-ERBB2	Z-AURKA	Z-survival	cytoband	alias	description
ESR1	2099	inf	0	0	-4.96308	6q25.1	DKFZp686N23123|ER|ESR|ESRA|Era|NR3A1	estrogen receptor 1
GATA3	2625	35.3444	7.94901	-3.30795	-5.79846	10p15	HDR|MGC2346|MGC5199|MGC5445	GATA binding protein 3
TBC1D9	23158	34.0607	5.0579	-9.08815	-5.25907	4q31.21	KIAA0882|MDR1	TBC1 domain family, member 9 (with GRAM domain)
CA12	771	31.0992	6.21072	-4.67459	-3.93401	15q22	CAXII|FLJ20151|HsT18816	carbonic anhydrase XII
FOXA1	3169	28.9852	19.5589	-7.01381	-3.45214	14q12-q13	HNF3A|MGC33105|TCF3A	forkhead box A1
MYB	4602	26.7246	2.89448	-4.78664	-5.80623	6q22-q23	Cmyb|c-myb|c-myb_CDS|efg	v-myb myeloblastosis viral oncogene homolog (avian)
AGR2	10551	26.6039	13.9452	-1.09466	-0.64203	7p21.3	AG2|GOB-4|HAG-2|XAG-2	anterior gradient 2 homolog (Xenopus laevis)
NAT1	9	26.494	-0.886438	-8.19932	-6.16022	8p23.1-p21.3	AAC1|NATI	N-acetyltransferase 1 (arylamine N-acetyltransferase)
XBP1	7494	25.9955	13.6327	-6.82422	-5.88859	22q12.1|22q12	TREB5|XBP2	X-box binding protein 1
SLC39A6	25800	25.9246	1.2866	-2.25442	-4.0266	18q12.2	LIV-1	solute carrier family 39 (zinc transporter), member 6
SCUBE2	57758	25.6946	-1.4544	-12.6805	-6.14911	11p15.3	CEGP1|Cegb1|Cegf1|FLJ16792|FLJ35234|MGC133057	signal peptide, CUB domain, EGF-like 2
BCMP11	155465	25.5089	6.19047	-4.37999	-2.94539	7p21.1	HAG3|hAG-3	breast cancer membrane protein 11
CELSR1	9620	25.4078	3.85786	-2.58425	-3.61002	22q13.3	CDHF9|DKFZp434P0729|FMI2|HFMI2|ME2	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)
