Name	GenBank Accession number	Fold change	Function
Telomerase reverse transcriptase	AF015950	5.4	DNA repair/replication/maintenance
Excision repair protein (ERCC1)	M13194	5.4	DNA repair/replication/maintenance
DNA mismatch repair protein (hMLH1)	AF001359	6.8	DNA repair/replication/maintenance
Urokinase plasminogen activator receptor	X74039	6.5	Cell adhesion and cell proliferation
Prostaglandin receptor EP1 subtype mRNA	L22647	3.8	Cell adhesion and cell proliferation
Steroid receptor TR2 mRNA	M21985	3.5	Cell adhesion and cell proliferation
Tyrosine kinase-type receptor (HER2) mRNA	M11730	3.4	Cell adhesion and cell proliferation
Asparagine synthetase	M27396	4	Cell cycle
E2F-5	U31556	2.6	Cell cycle
Insulin-like growth factor 2	J03242	12.5	Cell cycle
Urokinase plasminogen activator receptor	X74039	6.5	Cell signaling
Tyrosine kinase-type receptor (HER2) mRNA	M11730	3.4	Cell signaling
Metastasis-associated gene (lung cancer)	S79219	3.5	Metastasis/invasion
DGCR6 protein	X96484	6.5	Metastasis/invasion
Insulin-like growth factor 2	J03242	12.5	Apoptosis
E2F-5	U31556	2.6	Transcriptional regulation
NF-IL6	X52560	4.4	Transcriptional regulation
E2F-related transcription factor	L23959	3.8	Transcriptional regulation
TGF alpha	X70340	3.2	Growth factors
Insulin-like growth factor 2	J03242	12.5	Growth factors
Cisplatin resistance-associated protein	U78556	3.2	Drug resistance
H. Sapiens excision repair protein (ERCC1)	M13194	5.4	Drug resistance
Jun-B	X51345	4.5	Oncogenes
H. Sapiens mRNA for KIAA0673 protein	AB014573	7.8	Unknown
H. Sapiens mRNA for KIAA0943 protein	AB023160	7.6	Unknown
H. Sapiens cDNA DKFZp564M1416	AL049934	3.1	Unknown
H. Sapiens KIAA0427 mRNA	AB007887	4.6	Unknown
H. Sapiens cDNA=DKFZp762F2110/clone_end=5	AL120687	2.4	Unknown
H. Sapiens mRNA for KIAA0168 gene	D79990	2.8	Unknown
