Probe Set ID	Symbol	Description	Map	Fold Change	P
32811_at	ZNF288	zinc finger protein 288	3q13.2	1.86	5.21E-11
41209_at	LPL	lipoprotein lipase	8p22	0.31	3.76E-09
33535_at	P2RX1	purinergic receptor P2X, ligand-gated ion channel, 1	17p13.3	0.6	1.05E-08
32119_at		DKFZp586B211		1.81	2.42E-08
39878_at	PCDH9	protocadrherin 9	13q14.3-q21.1	0.41	1.50E-07
38033_at	DKFZP56M1416	DKFZP564M1416 protein	8	0.23	5.34E-07
41755_at	KIAA0977	KIAA0977 protein	2p14-q14.3	2.1	1.24E-06
217_at	KLK2	kallikrein 2, prostatic	19q13.3-q13.4	0.35	1.78E-06
33513_at	SLAM	signalling lymphocytic activation molecule	1q22-q23	1.91	1.88E-06
40488_at	DMD	dystrophin (muscular dystrophy, Duchenne and Becker types), includes DXS142, DXS164, DXS206, DXS230, DXS239, DXS268, DXS269, DXS270, DXS272	Xp21.2	0.38	2.04E-06
41177_at	FLJ12443	hypothetical protein FLJ12443	5p15.3	1.37	3.06E-06
40167_s_at	WSB2	WD repeat and SOCs box containing protein 2	12q24.23	0.59	3.70E-06
40088_at	NRIP1	nuclear receptor interacting protein 1	21q11.2	1.91	1.00E-05
32218_at		LOC285843		0.78	1.58E-05
32140_at	SORL1	sortilin-related receptor, L(DLR class) A repeats-containing	11q23.2-q24.2	1.75	1.61E-05
32649_at	TCF7	transcription factor 7 )T-cell specific, HMG-box)	5q31.1	1.73	1.84E-05
38051_at	MAL	mal, T-cell differentiation protein	2cen-q13	1.37	2.93E-05
1061_at	IL10RA	interleukin 10 receptor, alpha	11q23	1.34	3.03E-05
41176_at	FLJ12443	hypothetical protein FLJ12443	5p15.3	1.25	3.19E-05
39967_at	LDOC1	leucine zipper, down-regulated in cancer 1	Xq27	0.52	3.33E-05
39489_g_at	PCDH9	protocadrherin 9	13q14.3-q21.1	0.62	3.81E-05
34361_at	PCSK7	proprotein convertase subtilisin/kexin type 7	11q23-q24	1.43	3.83E-05
41489_at	TLE1	transducin-like enhancer of split 1, homolog of Drosophila E(sp1)	19p13.3	0.62	4.36E-05
39488_at	PCDH9	protocadrherin 9	13q14.3-q21.1	0.59	5.02E-05
41721_at	KLK2	kallikrein 2, prostatic	19q13.3-q13.4	0.58	6.01E-05
1062_g_at	IL10RA	interleukin 10 receptor, alpha	11q23	1.34	6.60E-05
41566_s_at	HS3ST1	heparen sulfate (glucosamine) 3-O-sulfotransferase 1	4p16	0.63	6.73E-05
38411_at	SORL1	sortilin-related receptor, L(DLR class)	11q23.2-q24.2	1.81	7.41E-05
39382_at	TRIM2	tripartile motif-containing 2	4	0.58	8.79E-05
38326_at	GOS2	putative lymphocyte G0/G1 switch gene	1q32.2-q41	1.95	8.89E-05
39330_s_at	ACTN1	actinin, alpha 1	14q24	1.47	1.01E-04
35794_at	KIAA0942	KIAA0942 protein	8pter-p23.3	0.6	1.13E-04
35794_at	CD3Z	CD3Z antigen, zeta polypeptide (TiT3 complex)	1q22-q23	1.54	1.20E-04
41189_at	TNFRSF12	tumor necrosis factor receptor superfamily, member 12 (translocating chain-association membrane protein)	1p36.2	1.53	1.28E-04
35659_at	IL10RA	interleukin 10 receptor, alpha	11q23	1.37	1.30E-04
1972_s_at	MAP2	microtubule-associated protein 2	2q34-q35	0.67	1.30E-04
40748_at	CPA2	carboxypeptidase A2 (pancreatic)	7q32	0.7	1.42E-04
33997_at	GAB1	GRB2-associated binding protein 1	4q31	0.74	1.50E-04
128_at	CTSK	cathepsin K (pycnodysostosis)	1q21	1.43	1.69E-04
2039_s_at	FYN	FYN oncogene related to SRC, FGR, YES	6q21	1.36	1.69E-04
40468_at	FBP17	formin-binding protein 17	9q34	1.3	1.79E-04
41266_at	ITGA6	integrin, alpha 6	2p14-q14.3	1.59	1.81E-04
34076_at	RNF3	ring finger protein 3	4p16	0.88	1.82E-04
41776_at	ATOX1	ATX1 (antioxidant protein 1, yeast) homolog 1	5q32	0.76	1.87E-04
31853_at	EED	embryonic ectoderm development	11q14.2-q22.3	1.31	1.96E-04
172_at	INPP5D	inositol polyphosphate-5-phosphatase, 145kD	2q36-q37	1.16	2.00E-04
36899_at	SATB1	special AT-rich sequence binding protein 1 (binds to nuclear matrix/sfaffold-associating DNAs)	3p23	1.43	2.09E-04
37100_at	FMNL	formin-like	17q21	1.29	2.24E-04
38037_at	DTR	diptheria toxin receptor (heparin-binding epidermal growth factor-like growth factor)	5q23	1.53	2.28E-04
39329_at	ACTN1	actinin, alpha 1	14q24	1.5	2.30E-04
32542_at	FHL1	four and a half LIM domains 1	Xq26	0.6	2.30E-04
35661_g_at	SAG	S-antigen; retina and pineal gland (arrestin)	2q37.1	1.35	2.31E-04
32819_at	H2BFA	H2B histone family, member A	6p21.3	0.62	2.43E-04
2057_g_at	FGFR1	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	8p11.2-p11.1	0.54	2.34E-04
246_at	KLK1	kallikrein 1, renal/pancreas. Salivary	19q13.3	0.35	2.82E-04
40506_s_at	PABPC4	poly(A)-binding protein, cytoplasmic 4 (inducible form)	1p32-p36	1.19	3.06E-04
182_at	ITPR3	inositol 1, 4, 5-triphosphate receptor, type 3	6p21	1.34	3.23E-04
37343_at	ITPR3	inositol 1, 4, 5-triphosphate receptor, type 3	6p21	1.24	3.40E-04
35972_at	FLJ11712	hypothetical protein FLJ11712	13	0.75	3.47E-04
32611_at	PBP	prostatic binding protein	12	0.76	3.48E-04
1498_at	ZAP70	zeta-chain (TCR) associated protein kinase (70 kD)	2q12	0.7	3.75E-04
36207_at	SEC14L1	SEC14 (S, cerevisiae)-like 1	17q25.1-17q25.2	1.2	3.76E-04
1365_at	IL2RB	interleukin 2 receptor, beta	22q13.1	1.37	3.81E-04
39175_at	PFKP	phosphofructokinase, platelet	10p15.3-p15.2	0.63	3.89E-04
41032_at	PCSK5	proprotein convertase subtilisin/kexin type 5	9q21.3	1.49	3.91E-04
34936_at	SLC4A7	solute carrier family 4, sodium bicarbonate contransporter, member 7	3p22	1.15	4.00E-04
32048_at				0.82	4.07E-04
