Rank	ProbeSet	Zscore	High	Gene	Chromosome	Description
1	40782_at	149.76	C	SDR1	1p36.1	short-chain dehydrogenase/reductase 1
2	1062_g_at	70.35	C	IL10RA	11q23	interleukin 10 receptor, alpha
3	35659_at	63.45	C	IL10RA	11q23	interleukin 10 receptor, alpha
4	41577_at	60.00	N/A	PPP1R16B	20q12	protein phosphatase 1, regulatory (inhibitor) subunit 16B
5	39728_at	48.26	N/A	IFI30	19p13.1	interferon, gamma-inducible protein 30
6	1583_at	45.50	N/A	TNFRSF1B	1p36.3-p36.2	tumor necrosis factor receptor superfamily, member 1B
7	925_at	44.81	N/A			J03909 /FEATURE= /DEFINITION=HUMIIP Human gamma-interferon-inducible protein (IP-30) mRNA, complete cds
8	39733_at	34.45	C	HERPUD1	16q12.2-q13	homocysteine-inducible, endoplasmic reticulum stress-inducible,ubiquitin-like domain member 1
9	37747_at	33.76	N/A	ANXA5	4q28-q32	annexin A5
10	41723_s_at	33.07	C	HLA-DRB3	6p21.3	major histocompatibility complex, class II, DR beta 3
11	36128_at	33.07	C	TMP21	14q24.3	transmembrane trafficking protein
12	34891_at	31.00	NOT C	DNCL1	12q24.23	dynein, cytoplasmic, light polypeptide 1
13	36713_at	28.24	N/A	BIA2	1q44	BIA2
14	40931_at	26.86	N/A	CGI-100	1pter-q31.3	CGI-100 protein
15	41609_at	24.09	N/A	HLA-DMB	6p21.3	major histocompatibility complex, class II, DM beta
16	1061_at	22.71	C	IL10RA	11q23	interleukin 10 receptor, alpha
17	37420_i_at	20.64	N/A	HLA-F	6p21.3	major histocompatibility complex, class I, F
18	35224_at	20.64	N/A	MGC14376	17p13.3	hypothetical protein MGC14376
19	33813_at	20.64	N/A	TNFRSF1B	1p36.3-p36.2	tumor necrosis factor receptor superfamily, member 1B
20	39591_s_at	19.26	N/A	FGL2	7q11.23	fibrinogen-like 2
21	1038_s_at	19.26	N/A	IFNGR1	6q23-q24	interferon gamma receptor 1
22	40019_at	17.88	N/A	EVI2B	17q11.2	ecotropic viral integration site 2B
23	38096_f_at	17.88	C	HLA-DPB1	6p21.3	major histocompatibility complex, class II, DP beta 1
24	34786_at	17.19	N/A	JMJD1	2p11.2	jumonji domain containing 1
25	39593_at	16.50	N/A	FGL2	7q11.23	fibrinogen-like 2
26	38095_i_at	16.50	C	HLA-DPB1	6p21.3	major histocompatibility complex, class II, DP beta 1
27	37688_f_at	16.50	N/A	FCGR2A	1q23	Fc fragment of IgG, low affinity IIa, receptor for (CD32)
28	31845_at	16.50	C	ELF4	Xq26	E74-like factor 4 (ets domain transcription factor)
29	41699_f_at	15.81	N/A	BRD1	22q13.33	bromodomain containing 1
30	36672_at	15.81	N/A	PRCP	11q14	prolylcarboxypeptidase (angiotensinase C)
31	1877_g_at	15.81	C			Guanine Nucleotide-Binding Protein Ral, Ras-Oncogene Related
32	41634_at	15.12	N/A	KIAA0256	15q15.3	KIAA0256 gene product
33	36270_at	15.12	N/A	CD86	3q21	CD86 antigen (CD28 antigen ligand 2, B7-2 antigen)
34	39428_at	14.43	C	LNK	12q24	lymphocyte adaptor protein
35	37826_at	14.43	N/A	UBE2D1	10q11.2-q21	ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast)
36	38980_at	13.74	C	MAP3K7IP2	6q25.1-q25.3	mitogen-activated protein kinase kinase kinase 7 interacting protein 2
37	38567_at	13.74	N/A	CD1D	1q22-q23	CD1D antigen, d polypeptide
38	37975_at	13.74	N/A	CYBB	Xp21.1	cytochrome b-245, beta polypeptide (chronic granulomatous disease)
39	35143_at	13.74	N/A	DKFZP566A1524	2p24.3	hypothetical protein DKFZp566A1524
40	34795_at	13.74	N/A	PLOD2	3q23-q24	procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2
41	33555_at	13.74	C	LIR9	19q13.4	leukocyte Ig-like receptor 9
42	31682_s_at	13.74	N/A	CSPG2	5q14.3	chondroitin sulfate proteoglycan 2 (versican)
43	41409_at	13.05	N/A	C1orf38	1p35.3	chromosome 1 open reading frame 38
44	37078_at	13.05	N/A	CD3Z	1q22-q23	CD3Z antigen, zeta polypeptide (TiT3 complex)
45	41632_at	11.67	N/A	E2F3	6p22	E2F transcription factor 3
46	39713_at	11.67	N/A	PLU-1	1q32.1	putative DNA/chromatin binding motif
47	38111_at	11.67	N/A	CSPG2	5q14.3	chondroitin sulfate proteoglycan 2 (versican)
48	37732_at	11.67	N/A	RYBP	3p14.2	RING1 and YY1 binding protein
49	32628_at	11.67	N/A	ZNF161	17q23.2	zinc finger protein 161
50	32564_at	11.67	C	SEC61B	9q22.32-q31.3	protein translocation complex beta
