Gene ID	Gene name	Fold change MSI/MSS	Description
5268	SERPINB5	3.8	Serpin peptidase inhibitor that regulates cell migration in angiogenesis, and apoptosis
2810	SFN	3.2	Stratifin, regulates cell cycle, inhibits apoptosis
2919	CXCL1	3.1	Chemokine (C–X–C motif) ligand 1 involved in immune cell chemotaxis and inflammatory response
7033	TFF3	3	Intestinal trefoil factor 3 that contributes to mucosal defense
6275	S100A4	2.7	S100 calcium-binding protein A4 that regulates angiogenesis
304	ANXA2P2	2.3	Annexin A2 pseudogene 2
3576	IL8	2.2	Interleukin 8, a cytokine involved in immune response
200916	RPL22L1	2.2	Ribosomal protein L22 (human RPL22
8870	IER3	2.2	Immediate early response 3 of the apoptotic pathway
84419	C15orf48	2.1	Nuclear protein that may act as a putative tumour suppressor
7262	PHLDA2	2	Pleckstrin homology-like domain family A member 2, involved in blastocyst development
521	ATP5I	2	ATP synthase H+ transporting mitochondrial
10562	OLFM4	–2.0	Olfactomedin 4, an anti-apoptotic protein
28902	IGKV13D	–2.0	Immunoglobulin kappa variable 1D-13
3512	IGJ	–2.1	Immunoglobulin J chain
28904	IGKV8D	–2.3	Immunoglobulin kappa variable 1D-8
3514	IGKC	–2.3	Immunoglobulin kappa constant
4069	LYZ	–2.4	Lysozyme (renal amyloidosis
28823	IGLV44	–2.5	Immunoglobulin lambda variable 1–44
28815	IGLV14	–2.5	Immunoglobulin lambda variable 2–14
28923	IGKV24	–2.7	Immunoglobulin kappa variable 2–24
3135	HLA-G	–2.7	Class I histocompatibility antigen G
91353		–3.0	Protein containing an immunoglobulin C1-set domain
28786	IGLV3	–3.1	Immunoglobulin lambda variable 4–3
3493	IGHA1	–4.8	Immunoglobulin heavy constant alpha 1
3500	IGHG1	–4.8	Immunoglobulin heavy constant gamma 1 (G1m marker)
28396	IGHV31	–6.0	Immunoglobulin heavy variable 4–31
28461	IGHV69	–7.7	Immunoglobulin heavy variable 1–69
