Function	Gene	Genbank	Fold Suppression
Apoptosis	TRAF-interacting protein (hTRIP)	U77845	3.2
Apoptosis	HSIAH2	U76248	3.2
Apoptosis	MAP kinase-activating death domain protein	U77352	2.5
Cytoskeleton	BCL7B protein	X89985	2.9
DNA Damage & Repair	DNA mismatch repair protein MSH6	U54777	3.2
DNA Damage & Repair	xeroderma pigmentosum group B complementing protein	M31899	2.4
DNA Damage & Repair	xeroderma pigmentosum group D complementing protein	X52221	2.1
DNA Damage & Repair	CHD3	AF006515	2.1
DNA Damage & Repair	xeroderma pigmentosum group E	U18300	2.0
DNA Synthesis & Cell Cycle	DNA topoisomerase I (TOP1)	J03250	10
DNA Synthesis & Cell Cycle	DNA primase small subunit	X74330	5.7
DNA Synthesis & Cell Cycle	replication factor C 37-kDa subunit	M87339	3.3
DNA Synthesis & Cell Cycle	protein D123	D14878	3.2
DNA Synthesis & Cell Cycle	mitotic feedback control protein MADP2 homolog	U65410	2.9
DNA Synthesis & Cell Cycle	AIM1	AF008552	2.9
DNA Synthesis & Cell Cycle	p53-dependent cell growth regulator CGR19	U66469	2.3
DNA Synthesis & Cell Cycle	RB	M15400	2.2
Metabolism	GAPDH	X01677	2.2
Metabolism	acyloxyacyl hydrolase precursor	M62840	2.1
Nucleotide Metabolism	trifunctional purine biosynthetic protein adenosine 3	X54199	2.7
Nucleotide Metabolism	nm23-H4	Y07604	2.1
Receptors	c-kit; CD117	X06182	14.0
Receptors	c-erbB2	M95667	11.4
Receptors	insulin-like growth factor binding protein 2 (IGFBP2)	M35410	3.3
Receptors	patched homolog (PTC)	U43148	2.8
Receptors	keratinocyte growth factor receptor	M80634	2.2
Receptors	hepatocyte growth factor receptor	J02958	2.1
Ribosomal	60S ribosomal protein L10	M73791	2.1
RNA Processing	arginine/serine-rich splicing factor 8	U08377	2.1
Signalling Molecules	insulin-like growth factor I	M27544	11.2
Signalling Molecules	manic fringe	U94352	3.6
Signal Transducers	C-yes	M15990	10.4
Signal Transducers	ABL2	M35296	2.8
Signal Transducers	C-src proto-oncogene (SRC1)	X59932	2.3
Signal Transducers	STE20-like kinase 3; MST3	AF024636	2.2
Signal Transducers	allograft inflammatory factor 1	U19713	2.1
Trafficking	importin alpha 3 subunit; karyopherin alpha 3 subunit	Y12394	2.3
Transcription	IRF-5	U51127	2.5
Transcription	AP4 basic helix-loop-helix DNA-binding protein	S73885	2.3
Translation	elongation factor 2 (EF2)	X51466	4.2
Translation	aspartyl-tRNA synthetase	J05032	3.2
Functionally Unclassified	clone 23815 (Soares library 1NIB from IMAGE Consortium)	U90916	2.2
Functionally Unclassified	preferentially expressed antigen of melanoma	U65011	2.2
