UniGene Cluster ID	Gene Symbol	Gene name
Hs.10031	CARD8	tumor up-regulated CARD-containing antagonist of caspase nine
Hs.109150	SH3BP5	SH3-domain binding protein 5 (BTK-associated)
Hs.145279	SET	SET translocation (myeloid leukemia-associated)
Hs.149957	RPS6KA1	ribosomal protein S6 kinase, 90kD, polypeptide 1
Hs.152601	UGGT1	UDP-glucose ceramide glucosyltransferase
Hs.154210	S1PR1	endothelial differentiation, sphingolipid G-protein-coupled receptor, 1
Hs.159494	BTK	Bruton agammaglobulinemia tyrosine kinase
Hs.286124	CD24	CD24 antigen (small cell lung carcinoma cluster 4 antigen)
Hs.326248	PDCD4	Programmed cell death 4 (neoplastic transformation inhibitor)
Hs.58831	FAIM3	regulator of Fas-induced apoptosis
Hs.79241	BCL2	B-cell CLL/lymphoma 2
Hs.81170	PIM1	pim-1 oncogene
