AffymetrixID	Common	P	MDSdel5q	MDSnormal	MDSother	Map	Expression
213513_x_at	ARPC2	.001	1.26(1.05-1.62)	0.96(0.72-1.16)	1.00(0.84-1.18)	2q36.1	Genes expressed at higher levels in MDSdel(5q)
208496_x_at	HIST1H3G	.001	1.42(0.91-2.35)	0.87(0.56-1.31)	0.87(0.70-1.04)	6p21.3	Genes expressed at higher levels in MDSdel(5q)
208180_s_at	HIST1H4H	.001	9.03(0.91-71.12)	1.13(0.54-3.22)	0.92(0.63-1.54)	6p21.3	Genes expressed at higher levels in MDSdel(5q)
201938_at	CDK2AP1	.001	1.60(1.17-2.38)	1.02(0.39-1.43)	1.03(0.56-1.34)	12q24.31	Genes expressed at higher levels in MDSdel(5q)
214469_at	HIST1H2AE	.001	6.38(1.09-46.71)	1.11(0.57-3.10)	0.90(0.41-1.62)	6p22.2-p21.1	Genes expressed at higher levels in MDSdel(5q)
202746_at	ITM2A	.001	1.97(1.22-3.92)	1.16(0.70-2.33)	1.21(0.67-2.07)	Xq13.3-Xq21.2	Genes expressed at higher levels in MDSdel(5q)
221676_s_at	CORO1C	.001	1.86(1.08-3.37)	0.93(0.35-1.65)	0.93(0.67-1.33)	12q24.1	Genes expressed at higher levels in MDSdel(5q)
201312_s_at	SH3BGRL	.001	1.28(0.87-1.75)	0.96(0.77-1.22)	0.97(0.88-1.10)	xq13.3	Genes expressed at higher levels in MDSdel(5q)
214472_at	HIST1H3D	.001	4.14(1.60-25.44)	1.15(0.54-6.90)	1.16(0.50-5.23)	6p21.3	Genes expressed at higher levels in MDSdel(5q)
235479_at	CPEB2	.001	1.39(0.71-3.18)	0.91(0.58-1.33)	0.71(0.55-0.89)	4p15.33	Genes expressed at higher levels in MDSdel(5q)
206110_at	HIST1H3H	.001	11.43(2.19-120.60)	1.16(0.60-2.75)	0.92(0.49-2.05)	6p22-p21.3	Genes expressed at higher levels in MDSdel(5q)
238199_x_at	MYBPC3	.001	1.28(0.65-1.90)	0.89(0.59-1.19)	0.80(0.64-0.93)	11p11.2	Genes expressed at higher levels in MDSdel(5q)
215779_s_at	HIST1H2BC	.001	3.64(1.15-17.89)	1.19(0.75-2.71)	0.97(0.65-1.72)	6p21.3	Genes expressed at higher levels in MDSdel(5q)
