U133 probe set	Gene description	Symbol	Location	GenBank Reference	Chi-square	T-ALL above/below mean	Fold change	old or new
202603_at	a disintegrin and metalloproteinase domain 10	ADAM10	15q22	N51370	44.6	Above	1.8	old
219463_at	chromosome 20 open reading frame 103	C20orf103	20p12	NM_012261.1	44.6	Above	24.7	new
224772_at	neuron navigator 1	NAV1		AB032977.1	44.6	Below	3.8	new
204069_at	Meis1, myeloid ecotropic viral integration site 1 homolog	MEIS1	2p14-p13	NM_002398.1	44.4	Above	73.7	old
218966_at	myosin 5C	MYO5C	15q21	NM_018728.1	44.4	Below	4.5	new
226939_at	cDNA FLJ37247 fis	FLJ37247		AI202327	44.4	Above	6.9	new
204446_s_at	arachidonate 5-lipoxygenase	ALOX5	10q11.2	NM_000698.1	40.7	Below	66.8	old
206492_at	fragile histidine triad gene	FHIT	3p14.2	NM_002012.1	40.7	Below	36.6	old
212588_at	protein tyrosine phosphatase, receptor type, C	PTPRC	1q31-q32	AI809341	40.7	Above	2.3	old
215925_s_at	CD72 antigen	CD72	9p11.2	AF283777.2	40.7	Above	3	old
211733_x_at	sterol carrier protein 2	SCP2	1p32	BC005911.1	40.1	Above	1.5	old
212386_at	cDNA FLJ11918 fis	FLJ11918		AK021980.1	40.1	Below	3.1	new
218764_at	Protein Kinase C eta isoform.	PRKCH	14q22.1-q22.3	NM_024064.1	40.1	Below	7.6	new
218847_at	IGF-II mRNA-binding protein 2	IMP-2	3q28	NM_006548.1	40.1	Above	23.2	new
222409_at	coronin, actin binding protein, 1C	CORO1C	12q24.1	AL162070.1	40.1	Above	4.8	new
242172_at	ESTs			N50406	40.1	Above	33.6	new
201153_s_at	muscleblind-like (Drosophila)	MBNL	3q25	NM_021038.1	40	Above	2.1	old
210487_at	deoxynucleotidyltransferase, terminal	DNTT	10q23-q24	M11722.1	40	Below	2.9	old
219686_at	gene for serine/threonine protein kinase	HSA250839	4p16.2	NM_018401.1	40	Below	28.3	new
226981_at	Homo sapiens, clone IMAGE:4401491, mRNA			AW002079	37.4	Below	1	new
203375_s_at	tripeptidyl peptidase II	TPP2	13q32-q33	NM_003291.1	37.2	Above	1.6	new
221676_s_at	coronin, actin binding protein, 1C	CORO1C	12q24.1	BC002342.1	37.2	Above	3.5	new
201152_s_at	muscleblind-like (Drosophila)	MBNL	3q25	NM_021038.1	36.2	Above	2.2	old
221773_at	ELK3, ETS-domain protein (SRF accessory protein 2)	ELK3	12q23	AW575374	36.2	Below	8.2	new
201162_at	insulin-like growth factor binding protein 7	IGFBP7	4q12	NM_001553.1	36	Above	4.3	old
201163_s_at	insulin-like growth factor binding protein 7	IGFBP7	4q12	NM_001553.1	36	Above	4	old
203836_s_at	mitogen-activated protein kinase kinase kinase 5	MAP3K5	6q22.33	D84476.1	36	Above	13.9	old
203837_at	mitogen-activated protein kinase kinase kinase 5	MAP3K5	6q22.33	NM_005923.2	36	Above	4.2	old
213891_s_at	cDNA FLJ11918 fis	FLJ11918		AI927067	36	Below	3.2	new
214895_s_at	a disintegrin and metalloproteinase domain 10	ADAM10	15q22	AU135154	36	Above	1.9	old
226415_at	KIAA1576 protein	KIAA1576	16q22.1	AA156723	36	Above	40.7	new
235879_at	ESTs			AI697540	36	Above	3.8	new
212387_at	 cDNA FLJ11918 fis	FLJ11918		AK021980.1	35.8	Below	3.3	new
218988_at	bladder cancer over expressed protein	BLOV1	12q15	NM_018656.1	35.8	Below	16.3	new
228555_at	EST; by BLAT calcium/calmodulin-dependent Protine Kinase type II Delta chain  (CAMK GROUP I)	CAMK2D		AA029441	35.8	Above	3.1	new
202975_s_at	Rho-related BTB domain containing 3	RHOBTB3	5q21.2	N21138	35.3	Above	5.5	old
201105_at	lectin, galactoside-binding, soluble, 1 (galectin 1)	LGALS1	22q13.1	NM_002305.2	34.5	Above	14.5	old
203434_s_at	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)	MME	3q25.1-q25.2	AI433463	34.1	Below	31.2	old
212135_s_at	calcium transporting ATPase plasma membrane  protein.	ATP2B4		AW517686	34.1	Below	2.4	new
212136_at	calcium transporting ATPase plasma membrane  protein.	ATP2B4		AW517686	34.1	Below	2.1	new
230179_at	cDNA DKFZp547P158	DKFZp547P158		N52572	34.1	Below	6.4	new
218217_at	likely homolog of rat and mouse retinoid-inducible serine carboxypeptidase	RISC	17q23.2	NM_021626.1	32.8	Above	3.4	new
225841_at	hypothetical protein FLJ30525	FLJ30525	1p13.2	BE502436	32.8	Above	1.8	new
226668_at	hypothetical protein FLJ36175	FLJ36175		W80623	32.8	Above	2.4	new
200989_at	hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	HIF1A	14q21-q24	NM_001530.1	32.2	Below	1.8	old
201151_s_at	muscleblind-like (Drosophila)	MBNL	3q25	NM_021038.1	32.2	Above	2.6	old
201563_at	sorbitol dehydrogenase	SORD	15q15.3	L29008.1	32.2	Above	1.8	new
203753_at	transcription factor 4	TCF4	18q21.1	NM_003199.1	32.2	Below	2.9	new
205668_at	lymphocyte antigen 75	LY75	2q24	NM_002349.1	32.2	Above	2.1	new
206471_s_at	plexin C1	PLXNC1	12q23.3	NM_005761.1	32.2	Above	7.7	old
211302_s_at	phosphodiesterase 4B, cAMP-specific	PDE4B	1p31	L20966.1	32.2	Below	3	old
212012_at	Melanoma associated gene	D2S448	2pter-p25.1	AF200348.1	32.2	Below	2.4	old
212063_at	CD44 antigen	CD44	11p13	BE903880	32.2	Above	3.1	new
213241_at	plexin C1	PLXNC1		AF035307.1	32.2	Above	2.5	old
214651_s_at	homeo box A9	HOXA9	7p15-p14	U41813.1	32.2	Above	28.5	old
218140_x_at	APMCF1 protein	APMCF1	3q22.2	NM_021203.1	32.2	Above	1.4	new
219988_s_at	hypothetical protein FLJ10597	FLJ10597	1p34.1	NM_018150.1	32.2	Above	1.9	new
223046_at	egl nine homolog 1 (C. elegans)	EGLN1	1q42.1	NM_022051.1	32.2	Below	4.2	new
224150_s_at	p10-binding protein	BITE	3q22-q23	AF289495.1	32.2	Above	2.1	new
224933_s_at	hypothetical protein DKFZp761F0118	DKFZp761F0118	10q22.1	AB037801.1	32.2	Above	1.9	new
201078_at	transmembrane 9 superfamily member 2	TM9SF2	13q32.3	NM_004800.1	32	Above	1.5	new
205550_s_at	brain and reproductive organ-expressed (TNFRSF1A modulator)	BRE	2p23.3	NM_004899.1	32	Above	2	new
212382_at	 cDNA FLJ11918 fis	FLJ11918		AK021980.1	32	Below	2.7	new
225019_at	calcium/calmodulin-dependent protein kinase (CaM kinase) II delta	CAMK2D	4q25	AA777512	32	Above	3.6	new
225202_at	Rho-related BTB domain containing 3	RHOBTB3	5q21.2	BE620739	32	Above	5.5	old
228855_at	nudix (nucleoside diphosphate linked moiety X)-type motif 7	NUDT7		AI927964	32	Above	5.6	new
231899_at	KIAA1726 protein	KIAA1726	11q23.1	AB051513.1	32	Above	33	new
52164_at	chromosome 11 open reading frame 24	C11orf24	11q13	AA065185	32	Above	2.3	new
212660_at	KIAA0239 protein	KIAA0239	5q31.1	AI735639	31.7	Below	1.7	old
213513_x_at	actin related protein 2/3 complex, subunit 2, 34kDa	ARPC2	2q36.1	BG034239	31.7	Above	1.3	old
222603_at	hypothetical protein FLJ23309	FLJ23309	9p24	AL136980	31.7	Above	3.6	new
238558_at	ESTs			AI445833	31.7	Above	3.8	new
202391_at	brain abundant, membrane attached signal protein 1	BASP1	5p15.1-p14	NM_006317.1	31.3	Above	2.1	old
202604_x_at	a disintegrin and metalloproteinase domain 10	ADAM10	15q22	NM_001110.1	31.3	Above	1.8	old
203435_s_at	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)	MME	3q25.1-q25.2	NM_007287.1	31.3	Below	54.8	old
204445_s_at	arachidonate 5-lipoxygenase	ALOX5	10q11.2	AI361850	31.3	Below	687	old
209705_at	likely ortholog of mouse metal response element binding transcription factor 2	M96	1p22.1	AF073293.1	31.3	Below	1.5	old
214366_s_at	arachidonate 5-lipoxygenase	ALOX5	10q11.2	AA995910	31.3	Below	54.7	old
215000_s_at	fasciculation and elongation protein zeta 2 (zygin II)	FEZ2	2p21	AL117593.1	31.3	Above	1.7	new
220643_s_at	Fas apoptotic inhibitory molecule	FAIM	3q23	NM_018147.1	31.3	Above	2.9	new
226459_at	Homo sapiens gastric cancer-related protein GCYS-20 (gcys-20) mRNA, complete cds			AW575754	31.3	Above	1.6	new
238712_at	ESTs			BF801735	31.3	Above	2.7	new
229686_at	cDNA FLJ35637 fis	FLJ35637		AI436587	31	Below	1.5	new
222620_s_at	hypothetical protein similar to mouse Dnajl1	DNAJL1	10p11.23	BF591419	29.8	Above	2.4	new
224516_s_at	hypothetical protein HSPC195	HSPC195	5q31.3	BC006428.1	29.8	Above	2.7	new
203217_s_at	sialyltransferase 9 (CMP-NeuAc:lactosylceramide alpha-2,3-sialyltransferase; GM3 synthase)	SIAT9	2p11.2	NM_003896.1	28.8	Below	2.1	new
204030_s_at	schwannomin interacting protein 1	SCHIP1	3q25.32	NM_014575.1	28.8	Below	17.6	old
209191_at	tubulin beta-5	TUBB-5		BC002654.1	28.8	Above	6.4	new
213541_s_at	v-ets erythroblastosis virus E26 oncogene like (avian)	ERG	21q22.3	AI351043	28.8	Below	2.8	old
213773_x_at	Williams Beuren syndrome chromosome region 20A	WBSCR20A	7q11.23	AW248552	28.8	Above	1.3	new
219243_at	immunity associated protein 4	HIMAP4	7q35	NM_018326.1	28.8	Below	13.4	new
219256_s_at	hypothetical protein FLJ20356	FLJ20356	4p16.1	NM_018986.1	28.8	Below	2.6	new
223358_s_at	phosphodiesterase 7A	PDE7A	8q13	AW269834	28.8	Above	1.5	new
224796_at	development and differentiation enhancing factor 1	DDEF1	8q24.1-q24.2	W03103	28.8	Below	1.8	new
203076_s_at	MAD, mothers against decapentaplegic homolog 2 (Drosophila)	MADH2	18q21.1	U65019.1	28.7	Below	2	new
212385_at	cDNA FLJ11918 fis	FLJ11918		AK021980.1	28.7	Below	3.2	new
216026_s_at	polymerase (DNA directed), epsilon	POLE	12q24.3	AL080203.1	28.7	Below	3	old
217118_s_at	KIAA0930 protein	KIAA0930	22q13.31	AK025608.1	28.7	Above	1.9	new
219821_s_at	hypothetical protein FLJ20330	FLJ20330	6pter-p22.1	NM_018988.1	28.7	Below	5.5	new
201875_s_at	hypothetical protein FLJ21047	FLJ21047	1q23.2	NM_024569.1	28.5	Above	2	new
