Rank	ProbeSet	A	P-Value	High=>	Gene	Chromo some	Description
1	33371_s_at	0.944	0	Group2	RAB31	18p11.3	RAB31, member RAS oncogene family
2	37039_at	0.919	0.000001	Group2	HLA-DRA	6p21.3	major histocompatibility complex, class II, DR alpha
3	38095_i_at	0.916	0.000001	Group2	HLA-DPB1	6p21.3	major histocompatibility complex, class II, DP beta 1
4	36143_at	0.916	0.000001	Group1	CASP3	4q34	caspase 3, apoptosis-related cysteine protease
5	1495_at	0.914	0.000001	Group1	LTBP1	2p22-p21	latent transforming growth factor beta binding protein 1
6	32667_at	0.913	0.000001	Group1	COL4A5	Xq22	collagen, type IV, alpha 5 (Alport syndrome)
7	41723_s_at	0.907	0.000002	Group2	HLA-DRB3	6p21.3	major histocompatibility complex, class II, DR beta 3
8	38833_at	0.906	0.000002	Group2	HLA-DPA1	6p21.3	major histocompatibility complex, class II, DP alpha 1
9	38096_f_at	0.904	0.000002	Group2	HLA-DPB1	6p21.3	major histocompatibility complex, class II, DP beta 1
10	39713_at	0.898	0.000004	Group1	PLU-1	1q32.1	putative DNA/chromatin binding motif
11	37344_at	0.898	0.000004	Group2	HLA-DMA	6p21.3	major histocompatibility complex, class II, DM alpha
12	35016_at	0.894	0.000006	Group2	CD74	5q32	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)
13	34748_at	0.892	0.000008	Group1	RASGRP3	2p25.1-p24.1	RAS guanyl releasing protein 3 (calcium and DAG-regulated)
14	34946_at	0.888	0.000011	Group2	IGSF6	16p12-p13	immunoglobulin superfamily, member 6
15	36970_at	0.887	0.000012	Group1	KIAA0182	16q24.1	KIAA0182 protein
16	539_at	0.887	0.000012	Group1	RYK	3q22	RYK receptor-like tyrosine kinase
17	1500_at	0.886	0.000013	Group1	WT1	11p13	Wilms tumor 1
18	34878_at	0.881	0.000022	Group1	SMC4L1	3q26.1	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)
