Geneb	Accession number	Description	Raw fold change
Wig1	AF012923	Wild-typep53-induced gene 1	4.806
F5	U52925	Coagulation factor V	4.392
Phlda3	AI846214	Pleckstrin homology-like domain, family A, member 3	4.033
Ccng	L49507	Cyclin G	3.408
Cxcl12	L12029	Chemokine (C–X–C motif) ligand 12	2.964
Acrp30	U49915	Adipocyte complement related protein of 30 kDa	2.873
Gja1	M63801	Gap junction membrane channel protein alpha 1	2.784
Tcrg-V4	M18858	T-cell receptor gamma, variable 4	2.357
Lpl	AA726364	Lipoprotein lipase	2.339
Iigp-pending	AJ007971	Interferon-inducible GTPase	2.270
Anxa3	AJ001633	Annexin A3	2.247
Kifc1	D49544	Kinesin family member C1	2.171
Pvt1	Z12002	Plasmacytoma variant translocation 1	2.051
Bax	L22472	Bcl-2-associated X protein	2.037
Fgfr2	M23362	Fibroblast growth factor receptor 2	1.882
Igtp	U53219	Interferon gamma induced GTPase	1.744
Pfc	X12905	Properdin factor, complement	1.679
Lmo1	AW124311	LIM only 1	1.659
Strap	AF096285	Serine/threonine kinase receptor associated protein	1.638
Stat1	U06924	Signal transducer and activator of transcription 1	1.632
Hp	M96827	Haptoglobin	1.625
Nbn	AF092840	Nibrin	1.594
Bcap37	AV172042	B-cell receptor-associated protein 37	1.592
Hint	U60001	Histidine triad nucleotide binding protein	1.584
Ahcy	L32836	S-Adenosylhomocysteine hydrolase	1.572
Sox18	AI836162	SRY-box containing gene 18	1.557
Ccnf	Z47766	Cyclin F	1.550
H2afx; H2ax; H2A.X	Z35401	M. musculus C3H gene for histone H2A.X	1.541
Lyzs; Lys; Lzm; Lzp	M21050	Precursor; mouse lysozyme M gene, exon 4	1.528
