Fold-down	GenBank ID	Gene description	Gene symbol
12.18	NM_018123.1	asp (abnormal spindle)-like, microcephaly associated (Drosophila)	ASPM
10.83	AL561834	Topoisomerase (DNA) II alpha 170 kDa	TOP2A
10.6	NM_014750.1	Discs, large homolog 7 (Drosophila)	DLG7
8.32	AL524035	Cell division cycle 2, G1 to S and G2 to M	CDC2
8.32	NM_014736.1	KIAA0101 gene product	KIAA0101
7.21	NM_018131.1	Chromosome 10 open reading frame 3	C10orf3
6.06	BC001886.1	Ribonucleotide reductase M2 polypeptide	RRM2
5.28	NM_001827.1	CDC28 protein kinase regulatory subunit 2	CKS2
5.14	NM_001071.1	Thymidylate synthetase	TYMS
4.95	AK027006.1	Trinucleotide repeat containing 9	TNRC9
4.78	AB032983.1	KIAA1157 protein	KIAA1157
4.78	NM_014791.1	Maternal embryonic leucine zipper kinase	MELK
4.54	NM_001786.1	Cell division cycle 2, G1 to S and G2 to M	CDC2
4.25	BE407516	Cyclin B1	CCNB1
4.12	NM_024629.1	Hypothetical protein FLJ23468	FLJ23468
3.29	NM_016359.1	Nucleolar protein ANKT	ANKT
3.11	BF439316	Transmembrane protein with EGF-like and two follistatin-like domains 1	TMEFF1
3.1	AF213033.1	Cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	CDKN3
3.07	AL518627	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	HMGCR
3.03	BC000323.1	Flap structure-specific endonuclease 1	FEN1
2.82	NM_006486.1	Fibulin 1	FBLN1
2.25	AF037448.1	NS1-associated protein 1	NSAP1
