Gene name Transcription	Gene symbol	SLR over uHL-60 HL-60 + DMSO 1 d	SLR over uHL-60 HL-60 + DMSO 2 d	SLR over uHL-60 HL-60 + DMSO 3 d	SLR over uHL-60 HL-60 + DMSO 4 d	Relative change over uHL-60 PMN	GenBank accession no.	Biological role
basic helix-loop-helix domain containing, class B, 2	BHLHB2	1.25	2.11	-0.75	1.48	+	AB004066	transcription
B-cell CLL/lymphoma 6 (zinc finger protein 51)	BCL6	0.95	2.69	4.31	3.87	+++	U00115	transcription, inflammatory response
BTB and CNC homology 1, basic leucine zipper transcription factor 1	BACH1	0.44	1.22	1.61	1.87	+	AB002803	transcription
CCAAT/enhancer binding protein (C/EBP), delta	CEBPD	-0.5	-0.72	2.18	-0.19	+	M83667	transcription
CCAAT/enhancer binding protein (C/EBP), epsilon	CEBPE	0.14	-2.82	2.63	0.16	=	U80982	transcription
HMG-box containing protein 1	HBP1	1.58	2.01	2.13	2.81	++	AF019214	repression of transcription
inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	ID1	3.89	0.22	-0.67	0.12	=	X77956	transcription
inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	ID2	2.04	0.71	3	1.85	+	D13891	transcription
interferon consensus sequence binding protein 1	ICSBP1	-2.2	-2.1	-2.09	-3.19	--	M91196	repression of transcription
interferon regulatory factor 1	IRF1	2.24	2.44	2.31	2.63	++	L05072	transcription
interferon regulatory factor 7	IRF7	1.99	2.04	2.45	1.97	++	U53831	repression of transcription
jun B proto-oncogene	JUNB	1.57	1.95	1.08	1.45	++	X51345	transcription
ring finger protein 13	RNF13	1.16	1.38	2.06	1.7	++	AF037204	protein-protein interaction, transcription
RNA polymerase I subunit	RPA40	-1.03	-1.87	-3.51	-1.44	-	AF008442	transcription
SWI/SNF related, matrix associated, subfamily b, member 1	SMARCB1	-0.5	-1.88	-0.76	-1.14	-	U04847	transcription, chromatin modelling
v-myc myelocytomatosis viral oncogene homolog	MYC	-3.64	-3.38	-3.18	-3.88	---	V00568	transcription
zinc finger protein 238	ZNF238	0.79	1.58	1.95	1.97	+	AJ223321	repression of transcription
zinc finger protein 266	ZNF266	0.91	2.48	5.31	1.99	=	AA868898	transcription
zinc finger protein 36, C3H type-like 1	ZFP36L1	0.5	0.21	0.63	1.87	+++	X79067	transcription
B-cell translocation gene 1, anti-proliferative	BTG1	-0.38	0.95	1.9	1.32	+	X61123	negative control of cell proliferation
BTG family, member 2	BTG2	2.34	3.15	3.49	3.3	+++	U72649	negative control of cell proliferation, DNA repair
