Classification	Accession ID	Symbol	Gene name	Expression level (Log2 ratio)a)
Cell communication	NM_004363.1	CEACAM5	carcinoembryonic antigen-related cell adhesion molecule 5	1.05
Cell communication	NM_005532.1	IFI27	interferon, alpha-inducible protein 27	1.36
Cell communication	NM_003260.3	TLE2	transducin-like enhancer of splite 2 (E(sp1) homolog, Drosophila)	1.4
Cell communication	NM_002610.3	PDK1	pyruvate dehydrogenase kinase, isoenzyme 1	1.03
Cell communication	NM_006703.2	NUDT3	nudix(nucleoside diphosphate linked moiety X)-type motif 3	1.08
Cell communication	NM_006788.2	RALBP1	ralA binding protein 1	1.17
Cell communication	NM_004105.2	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	1.28
Cell death	NM_000389.2	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	1.18
Cell death	NM_001048.2	SST	somatostatin	1.41
Cell growth and/or maintenance	NM_001759.2	CCND2	cyclin D2	1.14
Cell growth and/or maintenance	NM_182914.1	SYNE2	spectrin repeat containing, nuclear envelope 2	1.05
Cell growth and/or maintenance	NM_004877.1	GMFG	glia maturation factor, gamma	1.06
Cell growth and/or maintenance	NM_014865.1	CNAP1	chromosome condensation-related SMC-associated protein 1	0.99
Cell growth and/or maintenance	NM_002890.1	RASA1	RAS p21 protein activator (GTPase activating protein) 1	1.05
Cell growth and/or maintenance	NM_002658.1	PLAU	plasminogen activator, urokinase	1.34
Cell growth and/or maintenance	NM_007254.2	PNKP	polynucleotide kinase 3&#1;-phosphatase	1.08
Metabolism	NM_006294.2	UQCRB	ubiquinol-cytochrome c reductase binding protein	1.33
Metabolism	NM_019852.2	METTL3	methyltransferase like 3	1.28
Metabolism	NM_002051.1	GATA3	GATA binding protein 3	1.24
Metabolism	NM_021010.1	DEFA5	defensin, alpha 5, Paneth cell-specific	1.41
Metabolism	NM_002774.2	KLK6	kallikrein 6 (neurosin, zyme)	1.16
Metabolism	NM_017626.1	DNAJB12	DnaJ (Hsp40) homolog, subfamily B, member 12	1.18
Morphogenesis	NM_000232.2	SGCB	sarcoglycan, beta (43 kDa dystrophin-associated glycoprotein)	1.14
Morphogenesis	NM_012427.3	KLK5	kallikrein 5	0.97
Morphogenesis	NM_000435.1	NOTCH3	Notch homolog 3 (drosophila)	1.15
Nucleotide binding	NM_003733.2	OASL	2&#1;-5&#1;-oligoadenylate synthetase-like	1.04
Nucleotide binding	NM_007350.1	PHLDA1	pleckstrin homology-like domain, family A, member 1	0.96
Protein binding	NM_015556.1	SIPA1L1	signal-induced proliferation-associated 1 like 1	1.14
Protein binding	NM_016558.2	SCAND1	SCAN domain containing 1	2.09
Protein binding	NM_001666.1	ARHGAP4	Rho GTPAse activating protein 4	1.06
Protein binding	NM_005648.2	TCEB1	transcription elongation factor B(SIII), polypeptide 1 (15 kDa, elongin C)	1.13
Protein binding	NM_006767.1	LZTR1	leucine-zipper-like transcriptional regulator. 1	1.08
Miscellaneous	NM_052985.1	WDR10	WD repeat domain 10	0.95
Miscellaneous	NM_017902.1	HIF1AN	hypoxia-inducible factor 1, alpha subunit inhibitor	1.31
Miscellaneous	NM_001970	EIF5A	eukaryotic translation initiation factor 5A	1.18
Miscellaneous	NM_003666.2	BLZF1	Basic leucine zipper nuclear factor 1 (JEM-1)	1.09
Miscellaneous	NM_003684.3	MKNK1	MAP kinase-interacting serine/threonine kinase 1	1.05
