Gene Name	HMGA1a Fold Change ?-actin	HMGA1a Fold Change myosin	HMGA1b Fold Change ?-actin	HMGA1b Fold Change myosin	GenBank #	Function	Expression
Superoxide dismutase 1	19.2	23.3	15	15.3	Y00404	General Metabolism	Up Regulated
Cytochrome c oxidase subunit IV	11.5	14	22.4	22.7	X14209	General Metabolism	Up Regulated
COX1	11.2	13.6	8	8.2	S79304	General Metabolism	Up Regulated
NADP+ alcohol dehydrogenase	9.2	11.2	17.3	17.6	D10854	General Metabolism	Up Regulated
Pancreatic triacylglycerol lipase	4.3	5.2			M58369	General Metabolism	Up Regulated
Glutathione S-transferase P subunit	4.1	5	3.5	3.5	X02904	General Metabolism	Up Regulated
Cytochrome c oxidase Vb	3.9	4.8	7.3	7.4	D10952	General Metabolism	Up Regulated
Glutathione S-transferase Yb2 subunit	3.4	4.2	2.7	2.8	J02592	General Metabolism	Up Regulated
COX5a	3.3	4	7.8	7.9	X15030	General Metabolism	Up Regulated
ATPase subunit F, vacuolar	2.8	3.4			U43175	General Metabolism	Up Regulated
Acetylcholinesterase	2.5	3	4.7	4.8	S50879	General Metabolism	Up Regulated
ATP synthase, subunit c, P2 gene	2.4	2.9			D13124	General Metabolism	Up Regulated
Aldolase A, fructose-bisphosphate	2.2	2.7			M12919	General Metabolism	Up Regulated
Dopamine beta-hydroxylase	2.1	2.6	3.9	4	L12407	General Metabolism	Up Regulated
ATP5G1	2.1	2.5	4	4	D13123	General Metabolism	Up Regulated
Mitochondrial ATP synthase B subunit	2	2.4			M35052	General Metabolism	Up Regulated
Acyl Coenzyme A dehydrogenase, long chain			6.2	6.3	J05029	General Metabolism	Up Regulated
Cytochrome P-450 2J3			3.6	3.6	U39943	General Metabolism	Up Regulated
Pancreatic lipase			3.4	3.4	L09216	General Metabolism	Up Regulated
Mitochondrial ATP synthase beta subunit			3.2	3.3	M19044	General Metabolism	Up Regulated
liver/heart cytochrome c oxidase polypeptide VIIa			3	3	X54080	General Metabolism	Up Regulated
Glutathione S-transferase alpha 3			2.7	2.7	X62660	General Metabolism	Up Regulated
Annexin I			2.5	2.5	M19967	General Metabolism	Up Regulated
Olfactory cytochrome P450 IIIA9			2.4	2.4	U60085	General Metabolism	Up Regulated
Nitric oxide synthase 3			2.3	2.4	U02534	General Metabolism	Up Regulated
Very long chain acyl-CoA dehydrogenase			2.2	2.3	D30647	General Metabolism	Up Regulated
Aldehyde dehydrogenase 3			2.1	2.2	M73714	General Metabolism	Up Regulated
Mitochondrial ATP synthase D subunit			2.1	2.1	D10021	General Metabolism	Up Regulated
RPL19	6.9	8.3	28.8	29.3	J02650	Ribosomal Proteins (RP)	Up Regulated
RPS19	5	6	23.1	23.4	X51707	Ribosomal Proteins (RP)	Up Regulated
RPL13	4.9	6	8.2	8.3	X78327	Ribosomal Proteins (RP)	Up Regulated
RPS3a	4.5	5.5	2.4	2.4	M84716	Ribosomal Proteins (RP)	Up Regulated
RPL21	4.1	5	15	15.2	M27905	Ribosomal Proteins (RP)	Up Regulated
RPS17	4	4.9			K02933	Ribosomal Proteins (RP)	Up Regulated
RPS12	3.4	4.2	2.8	2.8	M18547	Ribosomal Proteins (RP)	Up Regulated
RPL36a	2.8	3.4			M19635	Ribosomal Proteins (RP)	Up Regulated
RPL11	2.3	2.8	5.3	5.3	X62146	Ribosomal Proteins (RP)	Up Regulated
RPS11	2.1	2.5	9.5	9.6	K03250	Ribosomal Proteins (RP)	Up Regulated
RPL12			6.7	6.8	X53504	Ribosomal Proteins (RP)	Up Regulated
RPL10			2.6	2.7	X87106	Ribosomal Proteins (RP)	Up Regulated
RPS4x			2.3	2.4	X14210	Ribosomal Proteins (RP)	Up Regulated
Glia maturation factor ?	9.2	11.1	6.2	6.2	Z11558	Growth Factors/Cytokines & Chemokines	Up Regulated
Macrophage migration inhibitory factor	5.1	6.1	4.5	4.6	U62326	Growth Factors/Cytokines & Chemokines	Up Regulated
Macrophage inflammatory protein 2	3.8	4.6	34.2	34.6	U45965	Growth Factors/Cytokines & Chemokines	Up Regulated
?-nerve growth factor, ?-NGF	3.5	4.2	2.2	2.2	M36589	Growth Factors/Cytokines & Chemokines	Up Regulated
Endothelin receptor ET-B	3.2	3.9			X57764	Growth Factors/Cytokines & Chemokines	Up Regulated
C5a anaphylatoxin chemotactic receptor	2.7	3.3			AB003042	Growth Factors/Cytokines & Chemokines	Up Regulated
Neogenin	2.5	3.1			U68726	Growth Factors/Cytokines & Chemokines	Up Regulated
LCR-1; putative chemokine	2.5	3			U54791	Growth Factors/Cytokines & Chemokines	Up Regulated
CXC chemokine LIX	2.3	2.8			U90448	Growth Factors/Cytokines & Chemokines	Up Regulated
Transforming growth factor, ? 3	2	2.4			U03491	Growth Factors/Cytokines & Chemokines	Up Regulated
Granulocyte-macrophage colony-stimulating factor			7.4	7.5	U00620	Growth Factors/Cytokines & Chemokines	Up Regulated
PDGFA			3.6	3.7	L06894	Growth Factors/Cytokines & Chemokines	Up Regulated
v-erb-B2	4.9	5.9	5.6	5.7	X03362	Oncogenes/Proto-oncogenes	Up Regulated
N-ras	4.3	5.3	3.5	3.5	X68394	Oncogenes/Proto-oncogenes	Up Regulated
N-myc	3.4	4.1	2.8	2.9	X63281	Oncogenes/Proto-oncogenes	Up Regulated
H-ras	2.9	3.6			M13011	Oncogenes/Proto-oncogenes	Up Regulated
c-akt	2.8	3.4			D30040	Oncogenes/Proto-oncogenes	Up Regulated
c-mos	2.6	3.2			X52952	Oncogenes/Proto-oncogenes	Up Regulated
c-fos	2.3	2.8	3.7	3.8	X06769	Oncogenes/Proto-oncogenes	Up Regulated
A-RAF	2.1	2.5			X06942	Oncogenes/Proto-oncogenes	Up Regulated
Growth hormone receptor	2.4	2.9			J04811	Hormone Receptors	Up Regulated
Serotonin receptor	2.6	3.2			L03202	Hormone Receptors	Up Regulated
Insulin receptor	2	2.4			M29014	Hormone Receptors	Up Regulated
