Functional	Gene	Genebank	Fold Induction
Cell Adhesion	CD61	J02703	5.4
Cell Adhesion	collagen 6 alpha 3 subunit	X52022	4.4
Cell Adhesion	paxillin	U14588	2.6
Cell Adhesion	biglycan	J04599	2.2
Cell Adhesion	ITGA5; VLA5; CD49E	X06256	2.1
Cytoskeletal	cytokeratin 19	Y00503	8.2
Cytoskeletal	cytokeratin 2E	M99061	4.2
Cytoskeletal	cytokeratin 18	M26326	2.5
Cytoskeletal	cytokeratin 1	M98776	2.4
Cytoskeletal	zyxin + zyxin-2	X94991	2.0
DNA Damage and Repair	DNA excision repair protein ERCC1	M13194	2.6
DNA Synthesis & Cell Cycle	DNA topoisomerase I (TOP1)	J03250	2.4
DNA Synthesis & Cell Cycle	p21CIP1/WAF1	U09579	2.2
Protease Related	MMP17	X89576	5.8
Protease Related	alpha-2-macroglobulin	M11313	3.0
Protease Related	MMP16	D50477	2.7
Protease Related	plasminogen activator inhibitor-1	X04429	2.7
Protease Related	TIMP1	X03124	2.0
Receptors	ephrin-B3	U66406	6.2
Receptors	axl	M76125	5.7
Receptors	IFN-gamma receptor	A09781	2.9
Receptors	notch4	U95299	2.8
Receptors	IFN-gamma receptor beta subunit precursor	U05875	2.3
Receptors	p68-trk-T3 oncoprotein	X03541	2.1
Signal Transducers	p21-rac2	M64595	4.0
Signal Transducers	caveolin-1	Z18951	3.3
Signal Transducers	PTPRF	Y00815	3.0
Signal Transducers	beta catenin	X87838	3.0
Signal Transducers	T-lymphoma invasion and metastasis inducing TIAM1	U16296	2.5
Signal Transducers	C-src	K03214	2.2
Signal Transducers	CCK4	U33635	2.1
Signalling Molecules	PDGF1	X06374	3.1
Signalling Molecules	DLK	U15979	3.0
Signalling Molecules	SDF1	U16752	3.0
Signalling Molecules	IL-10	M57627	2.9
Signalling Molecules	semaphorin III	L26081	2.8
Signalling Molecules	PDGF2	X02811	2.8
Signalling Molecules	IL-2	A14844	2.7
Signalling Molecules	IL-13	L06801	2.5
Signalling Molecules	placenta growth factors 1 + 2	X54936	2.2
Signalling Molecules	CD9	M38690	2.2
Signalling Molecules	B-cell growth factor 1	M15530	2.0
Transcription	IRF1	X14454	3.1
Transcription	early growth response protein 1	X52541	2.2
