gene	geneid	Z-ESR1	Z-ERBB2	Z-AURKA	Z-survival	cytoband	alias	description
AURKA	6790	0	0	inf	8.69676	20q13.2-q13.3	AIK|ARK1|AURA|AURORA2|BTAK|MGC34538|STK15|STK6|STK7	aurora kinase A
UBE2C	11065	-4.91901	0.757337	40.7448	7.50435	20q13.12	UBCH10|dJ447F3.2	ubiquitin-conjugating enzyme E2C
RACGAP1	29127	0.327126	-1.20451	35.4787	9.36976	12q13.13	HsCYK-4|ID-GAP|MgcRacGAP	Rac GTPase activating protein 1
DLG7	9787	-9.26878	-0.532647	35.4342	8.3668	14q22.3	DLG1|HURP|KIAA0008	discs, large homolog 7 (Drosophila)
TPX2	22974	-8.96026	-1.68758	35.1405	6.45519	20q11.2	C20orf1|C20orf2|DIL-2|DIL2|FLS353|GD:C20orf1|HCA519|HCTP4|REPP86|p100	TPX2, microtubule-associated, homolog (Xenopus laevis)
BUB1	699	-11.219	-2.91991	34.5271	8.38881	2q14	BUB1A|BUB1L|hBUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)
CCNB2	9133	-10.07	-1.13605	34.3281	8.9492	15q22.2	HsT17299	cyclin B2
CENPA	1058	-11.9083	-3.09516	34.1303	8.20237	2p24-p21	-	centromere protein A
PTTG1	9232	-8.35186	-3.05405	33.9524	7.2624	5q35.1	EAP1|HPTTG|MGC126883|MGC138276|PTTG|SECURIN|TUTR1	pituitary tumor-transforming 1
MELK	9833	-10.8799	-1.831	32.8711	9.21089	9p13.2	HPK38|KIAA0175	maternal embryonic leucine zipper kinase
CENPF	1063	-9.81895	-2.81866	32.3918	7.96768	1q32-q41	CENF|PRO1779|hcp-1	centromere protein F, 350/400ka (mitosin)
BIRC5	332	-4.2609	0.0100706	32.2669	7.72204	17q25	API4|EPR-1	baculoviral IAP repeat-containing 5 (survivin)
NEK2	4751	2.50842	-1.91214	32.1877	7.50829	1q32.2-q41	HsPK 21|HsPK21|NEK2A|NLK1	NIMA (never in mitosis gene a)-related kinase 2
FOXM1	2305	-11.1555	-5.22755	31.8211	6.49244	12p13	FKHL16|FOXM1B|HFH-11|HFH11|HNF-3|INS-1|MPHOSPH2|MPP-2|MPP2|PIG29|TRIDENT	forkhead box M1
KIF20A	10112	-6.1428	-0.483436	31.7993	7.46218	5q31	FLJ21151|MKLP2|RAB6KIFL	kinesin family member 20A
PRC1	9055	-1.37516	-0.972141	31.6631	7.65891	15q26.1	ASE1|MGC1671|MGC3669	protein regulator of cytokinesis 1
KIF2C	11004	-10.8489	-2.61132	31.3946	6.49147	1p34.1	KNSL6|MCAK	kinesin family member 2C
CKS2	1164	-3.26183	-1.26314	31.1861	6.68826	9q22	CKSHS2	CDC28 protein kinase regulatory subunit 2
DKFZp762E1312	55355	-9.14717	-1.05884	30.8784	7.62157	2q37.1	hFLEG1	hypothetical protein DKFZp762E1312
TOP2A	7153	0.892465	3.88787	30.4793	5.56888	17q21-q22	TOP2|TP2A	topoisomerase (DNA) II alpha 170kDa
ZWINT	11130	1.65176	4.04497	30.2683	7.6505	10q21-q22	HZwint-1|KNTC2AP|MGC117174	ZW10 interactor
MAD2L1	4085	-3.68106	-0.974601	30.195	8.09479	4q27	HSMAD2|MAD2	MAD2 mitotic arrest deficient-like 1 (yeast)
TRIP13	9319	-6.69251	-1.37538	29.9422	7.4575	5p15.33	16E1BP	thyroid hormone receptor interactor 13
ESPL1	9700	2.48802	-2.05237	29.93	6.18313	12q	ESP1|FLJ46492|KIAA0165|SEPARIN	extra spindle pole bodies homolog 1 (S. cerevisiae)
CDC2	983	-3.29601	0.961776	29.7946	6.89653	10q21.1	CDC28A|CDK1|DKFZp686L20222|MGC111195	cell division cycle 2, G1 to S and G2 to M
RRM2	6241	-7.71472	7.50835	29.7129	7.85967	2p25-p24	R2|RR2M	ribonucleotide reductase M2 polypeptide
CDCA8	55143	-12.3921	-2.0852	29.4352	7.2992	1p34.3	BOR|FLJ10468|FLJ12042	cell division cycle associated 8
