Name	Accession (Pathways)	Accession (cDNA)	Symbol	UGCluster	Linear fold change (cDNA)	Linear fold change (Pathways)	p-value (Pathways)	p-value (cDNA)
Integrin, alpha 6	NM_000210	NM_000210	ITGA6	Hs.133397	1.75	1.98	0.000367812	0.000243499
Growth arrest-specific 2	NM_005256	NM_005256	GAS2	Hs.135665	1.47	-2.48	0.000202449	0.045043746
Thrombospondin 1	NM_003246	NM_003246	THBS1	Hs.164226	1.32	-1.72	0.00065457	0.099479996
Cortactin	NM_005231	NM_005231	CTTN	Hs.206500	1.40	1.37	0.000822538	0.081083002
Interferon regulatory factor 2	NM_002199	NM_002199	IRF2	Hs.374097	1.18	1.42	0.000561869	0.01544523
Pre-B-cell leukemia transcription factor 3	NM_006195	NM_006195	PBX3	Hs.428027	-2.44	-3.71	2.27818E-05	6.57471E-05
Cytochrome c oxidase subunit VIa polypeptide 1	NM_004373	NM_004373	COX6A1	Hs.497118	-1.26	-1.24	0.001712408	0.002449675
Adenosine kinase	NM_006721	NM_006721	ADK	Hs.500118	-1.34	-1.63	0.001064408	0.03080163
Splicing factor 1	NM_004630	NM_004630	SF1	Hs.502829	-1.53	-1.37	0.000898617	0.000237345
Cyclin D3	NM_001760	NM_001760	CCND3	Hs.534307	-2.28	-1.87	0.000670486	2.67999E-05
Vascular cell adhesion molecule 1	NM_080682	NM_001078	VCAM1	Hs.109225	2.32	1.57	0.009109278	1.17733E-05
Echinoderm microtubule associated protein like 1	NM_004434	NM_004434	EML1	Hs.12451	1.89	1.38	0.04823452	7.44772E-05
RAD51-like 3 (S. cerevisiae)	AL117459	Y15572.1	RAD51L3	Hs.125244	1.70	1.01	0.946008828	8.73389E-05
Hemopoietic cell kinase	NM_002110	NM_002110	HCK	Hs.126521	-1.82	-2.45	0.018783414	0.000233601
Met proto-oncogene (hepatocyte growth factor receptor)	NM_000245	NM_000245	MET	Hs.132966	2.44	1.25	0.061234573	7.34136E-05
Periostin, osteoblast specific factor	NM_006475	NM_006475	POSTN	Hs.136348	2.45	-1.08	0.493029827	1.45789E-05
Syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	AK025488	J04621	SDC2	Hs.1501	2.45	1.12	0.244830878	0.000186571
B-cell CLL/lymphoma 2	NM_000633	NM_000633	BCL2	Hs.150749	1.74	1.71	0.002031875	0.000122036
Wingless-type MMTV integration site family, member 5A	NM_003392	NM_003392	WNT5A	Hs.152213	1.95	-1.02	0.700893626	0.000210312
Protein kinase C, delta	NM_006254	NM_006254	PRKCD	Hs.155342	-1.67	-1.59	0.005172212	0.000120538
Interferon-induced protein with tetratricopeptide repeats 1	NM_001548	NM_001548	IFIT1	Hs.20315	2.28	1.65	0.083703664	3.51501E-05
Lipocalin 2 (oncogene 24p3)	X83006	NM_005564	LCN2	Hs.204238	2.44	1.71	0.062099928	8.88585E-05
Estrogen receptor 1	NM_000125	NM_000125	ESR1	Hs.208124	2.42	1.30	0.044981688	1.21522E-05
Thrombospondin 4	NM_003248	NM_003248	THBS4	Hs.211426	1.88	1.05	0.86095393	0.000167561
Jagged 1 (Alagille syndrome)	NM_000214	T96855	JAG1	Hs.224012	1.85	-1.05	0.700006674	0.000309844
Ras homolog gene family, member A	NM_001664	NM_001664	RHOA	Hs.247077	-1.53	-1.35	0.008128907	6.84663E-05
Integrin, alpha X (antigen CD11C (p150), alpha polypeptide)	NM_000887	NM_000887	ITGAX	Hs.248472	-2.03	-1.33	0.121388957	0.000190569
Integrin, alpha X (antigen CD11C (p150), alpha polypeptide)	NM_000887	NM_000887	ITGAX	Hs.248472	-2.06	-1.33	0.121388957	4.56363E-05
Caspase 1, apoptosis-related cysteine protease (interleukin 1, beta, convertase)	NM_033295	NM_033292	CASP1	Hs.2490	-1.60	-1.09	0.379402904	0.000281774
Mitogen-activated protein kinase 10	NM_002753	NM_002753	MAPK10	Hs.25209	1.82	1.18	0.320862981	0.000141722
