Probe set ID	Gene name	Gene symbol	Gene ontology biologic process	Fold change
205242_at	Chemokine (C-X-C motif) ligand 13 (Beta-cell chemoattractant)	CXCL13	Cell–cell signaling/chemotaxis/cytosolic calcium ion concentration elevation/immune response	23,1
228592_at	Membrane-spanning 4-domains, subfamily A, member 1	MS4A1		7,6
217418_x_at				4,4
207238_s_at	Protein tyrosine phosphatase, receptor type, C	PTPRC	Cell surface receptor-linked signal transduction/protein amino acid dephosphorylation	3,0
205890_s_at	Ubiquitin D	UBD	Antimicrobial humoral response/proteolysis and peptidolysis/ubiqutin cycle	5,7
211919_s_at	Chemokine (C-X-C motif) receptor 4	CXCR4	G-protein coupled receptor protein signaling pathway	1,8
212587_s_at	Protein tyrosine phosphatase, receptor type, C	PTPRC	Cell surface receptor-linked signal transduction/protein amino acid dephosphorylation	2,7
212588_at	Protein tyrosine phosphatase, receptor type, C	PTPRC	Cell surface receptor-linked signal transduction/protein amino acid dephosphorylation	2,5
221601_s_at	Fas apoptotic inhibitory molecule 3	FAIM3	Anti-apoptosis/cellular defense response	3,4
217179_x_at	Hypothetical protein similar to KIAA0187 gene product	LOC96610		2,7
204118_at	CD48 antigen (B-cell membrane protein)	CD48	Defense response	2,3
205159_at	Colony-stimulating factor 2 receptor, beta, low affinity	CSF2RB	Antimicrobial humoral response/cytokine and chemokine-mediated signaling pathway/respiratory gaseous exchange	2,5
226218_at	Interleukin-7 receptor	IL7R	Antimicrobial humoral response/cell surface receptor-linked signal transduction/immune response	2,4
217028_at	Chemokine (C-X-C motif) receptor 4	CXCR4	G-protein coupled receptor protein signaling pathway	2,0
205659_at	Histone deacetylase 9	HDAC9	B-cell differentiation/chromatin modification/histone deacetylation/inflammatory response	2,2
208092_s_at	Family with sequence similarity 49, member A	FAM49A		2,6
210538_s_at	Baculoviral IAP repeat-containing 3	BIRC3	Anti-apoptosis/cell surface receptor-linked signal transduction/protein ubiquitination/regulation of apoptosis	2,2
212671_s_at	Major histocompatibility complex, class II, DQ alpha 1–2	HLA-DQA1	Antigen presentation, exogenous antigen/antigen processing, exogenous antigen via MHC class II/immune response	4,1
217478_s_at	Major histocompatibility complex, class II, DM alpha	HLA-DMA	Antigen presentation, exogenous antigen/antigen processing, exogenous antigen via MHC class II/detection of pest, pathogen or parasite	1,8
213603_s_at	Ras-related C3 botulinum toxin substrate 2	RAC2	Signal transduction/small GTPase-mediated signal transduction	2,2
217227_x_at	Immunoglobulin lambda light chain V region (Humla203)	IGLC2	Immune response	2,9
216836_s_at	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2	ERBB2	Cell proliferation/protein amino acid phosphorylation/transmembrane receptor protein tyrosine kinase signaling pathway	–1,5
212998_x_at	Major histocompatibility complex, class II, DQ beta 1	HLA-DQB1	Antigen presentation, exogenous antigen/antigen processing, exogenous antigen via MHC class II/immune response	2,3
222764_at	Asparaginase like 1	ASRGL1		1,9
