Accession Number	Gene Name	Gene Symbol	Locus Link	Reporter Id	Golub score	Sign#
AI869845	phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI)	PYGL	5836	2435216	2.365728	-
AA147640	phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI)	PYGL	5836	505573	2.362817	-
BX113924	lymphoid enhancer-binding factor 1	LEF1	51176	347036	2.090095	+
BX113900	Multiple Cluster Hits:326876&34145	SOX6	55553	197843	1.668758	+
AA630084	likely ortholog of mouse limb-bud and heart gene	LBH	81606	854678	1.652662	+
H09818	Hs cytoplasmic FMR1 interacting protein 2, mRNA (cDNA clone IMAGE:4939736), partial cds		81032	46896	1.642719	+
H12043	cytoplasmic FMR1 interacting protein 2	CYFIP2	26999	47475	1.637741	+
N68512	Hermansky-Pudlak syndrome 4	HPS4	89781	294089	1.56221	+
AA425983	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase; thyroid hormone binding protein p55)	P4HB	5034	769542	1.417618	-
AI015349	Hs transcribed sequence with weak similarity to protein ref:NP_055131.1 (H.s) calcium-regulated heat-stable protein (24kD) [Hs]		0	1637328	1.410615	+
H89664	amyloid beta (A4) precursor-like protein 2	APLP2	334	240249	1.393607	-
AA489232	Multiple Cluster Hits:183434&435933	ATP6AP2 / PHF10	10159, 55274	825076	1.39013	-
AA723035	zinc finger protein 36, C3H type-like 1	ZFP36L1	677	413633	1.377808	+
AA428209	carboxypeptidase D	CPD	1362	774154	1.375401	-
AA190339	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)	DUSP3	1845	627417	1.360881	-
N49996	Hs transcribed sequences		0	243648	1.339008	+
H59915	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24	934	204335	1.332215	+
AA504750	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5	B4GALT5	9334	825641	1.303836	-
T60117	Multiple Cluster Hits:522419&387905	SPTAN1	6709	76362	1.289562	+
AA190747	phosphoinositide-3-kinase, catalytic, beta polypeptide	PIK3CB	5291	627273	1.276614	-
R27644	synaptobrevin-like 1	SYBL1	6845	134476	1.251109	-
H73590	Multiple Cluster Hits:153261&448936		0	214441	1.229857	+
AA291163	glutaredoxin (thioltransferase)	GLRX	2745	700527	1.226783	+
T94642	Hs similar to MGC9515 protein (LOC374705), mRNA		374705	119914	1.205373	+
H77807	CD68 antigen	CD68	968	214236	1.204288	-
BX094383	myosin, heavy polypeptide 11, smooth muscle	MYH11	4629	824889	1.203871	+
R93149	KIAA0553 protein	KIAA0553	23131	197054	1.189718	+
N52994	musashi homolog 2 (Drosophila)	MSI2	124540	244227	1.183752	+
AA460542	microtubule-associated protein 1 light chain 3 beta	MAP1LC3B	81631	796650	1.175348	+
BX113579	Human mRNA, trinucleotide repeat sequence.		0	341317	1.174104	-
N74700	similar to Caenorhabditis elegans protein C42C1.9	KEO4	10613	298769	1.168608	-
AI669881	CCAAT/enhancer binding protein (C/EBP), alpha	CEBPA	1050	2312250	1.157555	-
H89788	FAD104	FAD104	64778	240295	1.154735	-
AA291163	glutaredoxin (thioltransferase)	GLRX	2745	700527	1.150797	+
AA436943	phosphorylase, glycogen; muscle (McArdle syndrome, glycogen storage disease type V)	PYGM	5837	759173	1.14955	-
BX096127	Pirin	PIR	8544	234237	1.143774	-
AA485353	lectin, galactoside-binding, soluble, 3 binding protein	LGALS3BP	3959	811000	1.136506	+
AA773358	TERA protein	TERA	58516	845723	1.12767	+
AA630376	Notch homolog 2 (Drosophila)	NOTCH2	4853	855336	1.119799	-
R10564	sentrin/SUMO-specific protease 3	SENP3	26168	128506	1.110638	+
BX113571	ras homolog gene family, member H	ARHH	399	302591	1.104691	+
H59471	single-stranded DNA binding protein 2	SSBP2	23635	205527	1.104309	+
AA406583	hypothetical protein MGC17943	MGC17943	90488	753330	1.103075	+
AA464152	Multiple Cluster Hits:77266&368861	QSCN6 / AKT1	5768, 207	810331	1.099538	-
R36409	ribophorin I	RPN1	6184	137189	1.097944	-
BX097679	GRB2-associated binding protein 1	GAB1	2549	193139	1.09528	+
AA448256	metal-regulatory transcription factor 1	MTF1	4520	782824	1.091596	-
R85840	Hs similar to nuclear pore complex interacting protein (LOC374745), mRNA		374745	275180	1.090287	+
