Rank	ProbeSet	Zscore	High	Gene	Chromosome	Description
1	36713_at	162.46	B	BIA2	1q44	BIA2
2	41744_at	108.93	B	OPTN	10p14	optineurin
3	37192_at	93.95	B	EPB49	8p21.1	erythrocyte membrane protein band 4.9 (dematin)
4	41279_f_at	74.14	B	MAPK8IP1	11p12-p11.2	mitogen-activated protein kinase 8 interacting protein 1
5	40064_at	63.43	B	ALS2CR3	2q33	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 3
6	37405_at	63.43	B	SELENBP1	1q21-q22	selenium binding protein 1
7	34795_at	62.36	B	PLOD2	3q23-q24	procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2
8	40063_at	56.48	NOT B	NDP52	17q21.33	nuclear domain 10 protein
9	36965_at	51.12	B	ANK3	10q21	ankyrin 3, node of Ranvier (ankyrin G)
10	33336_at	44.16	B	SLC4A1	17q21-q22	solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group)
11	40038_at	43.09	B	ST7	7q31.1-q31.3	suppression of tumorigenicity 7
12	37164_at	39.35	B	RHD	1p36.11	Rhesus blood group, D antigen
13	41742_s_at	37.20	B	OPTN	10p14	optineurin
14	39962_at	37.20	B	CDC42BPA	1q42.11	CDC42 binding protein kinase alpha (DMPK-like)
15	39208_i_at	36.13	B	PPBP	4q12-q13	pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)
16	39839_at	32.92	B	CSDA	12p13.1	cold shock domain protein A
17	40062_s_at	31.85	B	MYL4	17q21-qter	myosin, light polypeptide 4, alkali; atrial, embryonic
18	40013_at	24.89	B	CLIC2	Xq28	chloride intracellular channel 2
19	1115_at	22.75	N/A	PF4	4q12-q21	platelet factor 4 (chemokine (C-X-C motif) ligand 4)
20	1825_at	22.22	NOT B	IQGAP1	15q26.1	IQ motif containing GTPase activating protein 1
21	41535_at	21.15	N/A	CDK2AP1	12q24.31	CDK2-associated protein 1
22	39209_r_at	21.15	N/A	PPBP	4q12-q13	pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)
23	39025_at	20.61	B	TOMM7	7p15.3	translocase of outer mitochondrial membrane 7 homolog (yeast)
24	36990_at	19.54	B	UCHL1	4p14	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)
25	1577_at	19.54	N/A	AR	Xq11.2-q12	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)
26	428_s_at	19.00	N/A	B2M	15q21-q22.2	beta-2-microglobulin
27	41743_i_at	19.00	B	OPTN	10p14	optineurin
28	34330_at	18.47	B	COX7A2L	2p22.1	cytochrome c oxidase subunit VIIa polypeptide 2 like
29	38106_at	17.40	B	TINP1	5q13.3	TGF beta-inducible nuclear protein 1
30	31850_at	17.40	B	GCLC	6p12	glutamate-cysteine ligase, catalytic subunit
31	36560_at	16.33	B	HUCEP11	1q32.1	cerebral protein 11
32	35778_at	16.33	B	KIF5C	2q23.3	kinesin family member 5C
33	34610_at	16.33	N/A	GNB2L1	5q35.3	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1
34	36192_at	15.26	N/A	KIAA0193	7p14.3-p14.1	KIAA0193 gene product
35	31993_f_at	15.26	B	FLJ23743	10p13	hypothetical protein FLJ23743
36	41338_at	14.72	N/A	AES	19p13.3	amino-terminal enhancer of split
37	33412_at	14.72	NOT B	LGALS1	22q13.1	lectin, galactoside-binding, soluble, 1 (galectin 1)
38	33392_at	14.72	B	DKFZP434J154	7p22.2	DKFZP434J154 protein
39	39070_at	14.19	N/A	FSCN1	7p22	fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)
40	38376_at	14.19	NOT B	ACADVL	17p13-p11	acyl-Coenzyme A dehydrogenase, very long chain
41	37696_at	14.19	B	VDAC2	10q22	voltage-dependent anion channel 2
42	35662_at	14.19	B	CASP6	4q25	caspase 6, apoptosis-related cysteine protease
43	34776_at	14.19	B	CDC42EP4	17q24-q25	CDC42 effector protein (Rho GTPase binding) 4
44	1315_at	14.19	NOT B	OAZ1	19p13.3	ornithine decarboxylase antizyme 1
45	41609_at	13.12	N/A	HLA-DMB	6p21.3	major histocompatibility complex, class II, DM beta
46	39861_at	13.12	B	EMS1	11q13	ems1 sequence (mammary tumor and squamous cell carcinoma-associated (p80/85 src substrate)
47	34004_at	13.12	B	MPL	1p34	myeloproliferative leukemia virus oncogene
48	40953_at	12.58	B	CNN3	1p22-p21	calponin 3, acidic
49	40281_at	12.58	NOT B	NEDD5	2q37	neural precursor cell expressed, developmentally down-regulated 5
50	39550_at	12.58	B	C1orf17	1q25	chromosome 1 open reading frame 17
