Protein function	Gene name	GenBank accession no.	Gene symbol	Fold change in gene expression
Anti-apoptosis	v-myb myeloblastosis viral oncogene	AL121886	MYBL2	4.2
Factors involved in other aspect of apoptosis	CD27-binding (Siva) protein	AF401214	SIVA	2
Factors involved in other aspect of apoptosis	Tumour necrosis factor receptor superfamily, member 1A	AY131997	TNFRSF1A	1.3
Regulation of cell cycle	Adenomatosis polyposis coli	AY900441	APC	0.5
Regulation of cell cycle	Proliferating cell nuclear antigen	AF527838	PCNA	2.1
Regulation of cell cycle	Stratifin	AL034380	SFN	2.3
Cell growth and/or maintenance	v-jun sarcoma virus 17 oncogene	AL136985	JUN	0.3
Cell growth and/or maintenance	Pim-1 oncogene	AF386792	PIM1	0.4
Growth factors	Interleukin 1beta	AY137079	IL1B	2.25
Growth factors	Neurequlin 1	CR450288	NRG1	0.25
Growth factors	Platelet-derived growth factor beta	AH002986	PDGFB	2.4
Growth factors	Pleiotrophin	S50404	PTN	3
Regulation of cell proliferation and differentiation	Insulin-like growth factor-binding protein 5	AY534685	IGFBP5	2
Cell migration and motility	Trophoblast glycoprotein	AL121977	TPBG	0.34
Cell migration and motility	Coagulation factor II (thrombin) receptor	AF391809	F2R	2.3
Metalloendopeptidases (MMPs) and MMP inhibitors	Matrix metalloproteinase 2	AY738117	MMP2	2.8
G protein-coupled receptor protein signalling pathway	Guanine nucleotide-binding protein alpha13	AF493902	GNA13	0.4
Rho protein signal transduction	Rho GTPase-activating protein 5	BC075799	ARHGAP5	2.8
Small GTPase-mediated signal transduction	Frizzled-related protein	BC027855	FRZB	0.5
Other cancer-related genes	FOS-like antigen 2	BC022791	FOSL2	0.36
Other cancer-related genes	Tubulin alpha, ubiquitous	BC000696	K-a-1	2.53
Other cancer-related genes	Karyopherin alpha2	AJ303086	KPNA2	2.2
Other cancer-related genes	Lipocalin 2	AL590708	LCN2	2
Other cancer-related genes	Protein kinase, membrane-associated tyrosine/threonine 1	AF549406	PKMYT1	4.5
Other cancer-related genes	Peroxisome proliferative-activated receptor	AF246296	PPARD	2.1
Other cancer-related genes	Prostaglandin endoperoxide synthase 1	AF440204	PTGS1	0.44
Other cancer-related genes	Ribonucleotide reductase M1 polypeptide	AF107045	RRM1	2.8
Other cancer-related genes	Snail homologue 2 (Drosophila)	BC014890	SNAI2	0.43
Other cancer-related genes	Thymidine kinase 1, soluble	BC006484	TK1	4.6
Other cancer-related genes	Tyrosine kinase, non-receptor, 1	AF097738	TNK1	2.8
