U133 probe set	Gene description	Symbol	Location	GenBank Reference	Unigene Reference	Chi-square value	BCR-ABL above/ below	Fold change
224722_at	KIAA1323	KIAA1323	18q11.1	W80418	Hs.34892	100	Above	7.7
227377_at	FLJ12722	FLJ12722		AK022784.1	Hs.24739	100	Above	2446.3
237206_at	Homo sapiens cDNA FLJ39434	FLJ39434		AI452798	Hs.42128	100	Above	23.5
241505_at	ESTs			BF513468	Hs.196779	100	Above	13.2
205109_s_at	Rho guanine nucleotide exchange factor (GEF) 4	ARHGEF4	2q22	NM_015320.1	Hs.6066	92.6	Above	147
210650_s_at	piccolo (presynaptic cytomatrix protein)	PCLO	7q11.23-q21.3	BC001304.1	Hs.12376	92.6	Above	100.4
213558_at	piccolo (presynaptic cytomatrix protein)	PCLO	7q11.23-q21.3	AB011131.1	Hs.12376	92.6	Above	76.8
224720_at	KIAA1323 protein	KIAA1323	18q11.1	W80418	Hs.34892	92.6	Above	4.3
235694_at	Homo sapiens, clone IMAGE:4661943, mRNA, partial cds			N49233	Hs.46914	92.6	Above	9.2
202808_at	hypothetical protein FLJ20154	FLJ20154	10q24.32	AK000161.1	Hs.10346	92.2	Above	3.7
206032_at	desmocollin 3	DSC3	18q12.1	AI797281	Hs.41690	92.2	Above	53.6
206033_s_at	desmocollin 3	DSC3	18q12.1	NM_001941.2	Hs.41690	92.2	Above	354.6
224725_at	KIAA1323 protein	KIAA1323	18q11.1	W80418	Hs.34892	92.2	Above	3.6
204849_at	transcription factor-like 5 (basic helix-loop-helix)	TCFL5	20q13.3-qter	NM_006602.1	Hs.30696	86.2	Above	8.8
206231_at	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1	KCNN1	19p13.1	NM_002248.2	Hs.158173	86.2	Above	72.1
220451_s_at	baculoviral IAP repeat-containing 7 (livin)	BIRC7	20q13.3	NM_022161.1	Hs.256126	86.2	Above	25.2
211222_s_at	huntingtin-associated protein 1 (neuroan 1)	HAP1	17q21.2-q21.3	AF040723.1	Hs.158300	84.9	Above	80.2
228158_at	ESTs, Highly similar to A43542 lymphocyte-specific protein 1 - human			AI623211	Hs.374584	84.9	Above	8.2
