U133 probe set	Gene description	Symbol	Location	GenBank Reference	Chi-square	T-ALL above/below mean	Fold change	old or new
224722_at	KIAA1323	KIAA1323	18q11.1	W80418	75	 Above	7.6	 new
227377_at	FLJ12722	FLJ12722	17q21.32	AK022784.1	75	 Above	2446.3	 new
237206_at	Homo sapiens cDNA FLJ39434	FLJ39434	17p12	AI452798	75	 Above	23.7	 new
241505_at	EST			BF513468	75	 Above	13.4	 new
203184_at	Fibrillin 2 (congenital contractural arachnodactyly)	FBN2	5q23.2	NM_001999.2	69.1	 Above	14.4	 new
205109_s_at	Rho guanine nucleotide exchange factor (GEF) 4	ARHGEF4	2q22	NM_015320.1	69.1	 Above	148.1	 old
210650_s_at	Piccolo (presynaptic cytomatrix protein)	PCLO	7q21.11	BC001304.1	69.1	 Above	101.2	 old
213558_at	Piccolo (presynaptic cytomatrix protein)	PCLO	7q21.11	AB011131.1	69.1	 Above	77.5	 old
220451_s_at	baculoviral IAP repeat-containing 7 (livin)	BIRC7	20q13.3	NM_022161.1	69.1	 Above	25.4	 new
224720_at	KIAA1323	KIAA1323	18q11.1	W80418	69.1	 Above	4.3	 new
235694_at	Homo sapiens, clone IMAGE:4661943, mRNA, partial cds		20q13.33	N49233	69.1	 Above	9.3	 new
202808_at	Hypothetical protein FLJ20154	FLJ20154	10q24.32	AK000161.1	68.9	 Above	3.7	 old
206032_at	Desmocollin 3	DSC3	18q12.1	AI797281	68.9	 Above	54.1	 new
206033_s_at	Desmocollin 3	DSC3	18q12.1	NM_001941.2	68.9	 Above	357.1	 new
209228_x_at	Putative prostate cancer tumor suppressor gene	N33	8p22	U42349.1	68.9	 Above	20.8	 new
224725_at	KIAA1323	KIAA1323	18q11.1	W80418	68.9	 Above	3.6	 new
203910_at	PTPL1-associated RhoGAP 1	PARG1	1p22.1	NM_004815.1	64	 Above	7.1	 new
204849_at	Transcription factor-like 5 (basic helix-loop-helix)	TCFL5	20q13.33	NM_006602.1	64	 Above	8.9	 old
