UNIQID	Affyemtrix probe ID	Signature name	Gene symbol	Gene title consensus	Function	Reference
1468759	226799_at	Germinal center B cell		CDNA: FLJ23228 fis, clone CAE06654		---
1470176	228464_at	Germinal center B cell		Full-length cDNA clone CS0DF007YJ21 of Fetal brain of Homo sapiens (human)		---
1493748	204681_s_at	Germinal center B cell		Transcribed locus		---
1502969	224810_s_at	Germinal center B cell	ANKRD13 A	ankyrin repeat domain 13A		---
1463739	218862_at	Germinal center B cell	ASB13	ankyrin repeat and SOCS box-containing 13		---
1470422	228758_at	Germinal center B cell	BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	Transcriptional repressor	---
1473231	232103_at	Germinal center B cell	BPNT1	3(2), 5-bisphosphate nucleotidase 1		---
1464516	220059_at	Germinal center B cell	BRDG1	BCR downstream signaling 1	B cell receptor signaling adapter protein	---
1467363	225174_at	Germinal center B cell	DNAJC10	DnaJ (Hsp40) homolog, subfamily C, member 10		---
1469527	227684_at	Germinal center B cell	DNMT1	DNA (cytosine-5-)-methyltransferase 1		---
1485583	1555136_at	Germinal center B cell	FGD6	FYVE, RhoGEF and PH domain containing 6		---
1472700	231455_at	Germinal center B cell	FLJ42418	FLJ42418 protein		---
1491732	200944_s_at	Germinal center B cell	HMGN1	high-mobility group nucleosome binding domain 1		---
1455822	203723_at	Germinal center B cell	ITPKB	inositol 1,4,5-trisphosphate 3-kinase B		---
1469552	227713_at	Germinal center B cell	KATNAL1	katanin p60 subunit A-like 1		---
1475866	235353_at	Germinal center B cell	KIAA0746	KIAA0746 protein		---
1468060	226001_at	Germinal center B cell	KLHL5	kelch-like 5 (Drosophila)		---
1493553	204249_s_at	Germinal center B cell	LMO2	LIM domain only 2 (rhombotin-like 1)	Germinal center B cell-restricted transcription factor	---
1508437	1569034_a_a t	Germinal center B cell	LOC44086 4	hypothetical gene supported by BC040724		---
1454119	35974_at	Germinal center B cell	LRMP	lymphoid-restricted membrane protein		---
1454513	200644_at	Germinal center B cell	MARCKS L1	MARCKS-like 1		---
1493155	203434_s_at	Germinal center B cell	MME	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase)	CD10	---
1460908	213906_at	Germinal center B cell	MYBL1	v-myb myeloblastosis viral oncogene homolog (avian)-like 1	Germinal center B cell-restricted transcription factor	---
1502241	223158_s_at	Germinal center B cell	NEK6	NIMA (never in mitosis gene a)-related kinase 6		---
1467742	225626_at	Germinal center B cell	PAG1	phosphoprotein associated with glycosphingolipid microdomains 1	B cell receptor signaling adapter protein	---
1470595	228959_at	Germinal center B cell	PCYT1B	phosphate cytidylyltransferase 1, choline, beta		---
1501993	222699_s_at	Germinal center B cell	PLEKHF2	pleckstrin homology domain containing, family F (with FYVE domain) member 2		---
1458557	208820_at	Germinal center B cell	PTK2	PTK2 protein tyrosine kinase 2	Tyrosine Kinase	---
1506355	1554413_s_a t	Germinal center B cell	RUNDC2B	RUN domain containing 2B		---
1506074	1553499_s_a t	Germinal center B cell	SERPINA9	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 9	GCET1 is a germinal center-restricted gene	---
1455852	203787_at	Germinal center B cell	SSBP2	single-stranded DNA binding protein 2		12, 13
1492770	202693_s_at	Germinal center B cell	STK17A	serine/threonine kinase 17a (apoptosis-inducing)		---
1495936	209306_s_at	Germinal center B cell	SWAP70	SWAP-70 protein		---
1459629	211967_at	Germinal center B cell	TMEM123	transmembrane protein 123		---
1460463	213172_at	Germinal center B cell	TTC9	tetratricopeptide repeat domain 9		---
1466117	223089_at	Germinal center B cell	VEZT	vezatin, adherens junctions transmembrane protein		---
1497735	212399_s_at	Germinal center B	VGLL4	vestigial like 4 (Drosophila)		---
1457052	205922_at	Germinal center B cell	VNN2	vanin 2		---
1471301	229817_at	Germinal center B cell	ZNF608	zinc finger protein 608		---
1460413	213100_at	Stromal-1		Full-length cDNA clone CL0BB018ZE07 of Neuroblastoma of Homo sapiens (human)		---
1460461	213169_at	Stromal-1		Clone TUA8 Cri-du-chat region mRNA		---
1460639	213429_at	Stromal-1		CDNA FLJ26539 fis, clone KDN09310		---
1460788	213675_at	Stromal-1		CDNA FLJ25106 fis, clone CBR01467		---
1468303	226282_at	Stromal-1		Full length insert cDNA clone ZE03F06		---
1468787	226834_at	Stromal-1		Transcribed locus		---
1468990	227061_at	Stromal-1		CDNA FLJ44429 fis, clone UTERU2015653		---
1469059	227140_at	Stromal-1		CDNA FLJ11041 fis, clone PLACE1004405		---
1469408	227554_at	Stromal-1		MRNA; cDNA DKFZp686I18116 (from clone DKFZp686I18116)		---
1469471	227623_at	Stromal-1		MRNA; cDNA DKFZp313C0240 (from clone DKFZp313C0240)		---
1470269	228573_at	Stromal-1		Full-length cDNA clone CS0DD001YA12 of Neuroblastoma Cot 50-normalized of Homo sapiens (human)		---
1471087	229554_at	Stromal-1		Transcribed locus		---
1471290	229802_at	Stromal-1		CDNA FLJ14388 fis, clone HEMBA1002716		---
1471785	230391_at	Stromal-1		Transcribed locus		---
1475883	235371_at	Stromal-1				---
1476627	236179_at	Stromal-1		Transcribed locus		---
1476734	236297_at	Stromal-1		CDNA FLJ45742 fis, clone KIDNE2016327		---
1495233	208161_s_at	Stromal-1	ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3		---
1466265	223395_at	Stromal-1	ABI3BP	ABI gene family, member 3 (NESH) binding protein		---
1454623	200974_at	Stromal-1	ACTA2	actin, alpha 2, smooth muscle, aorta		---
1495515	208637_x_at	Stromal-1	ACTN1	actinin, alpha 1		---
1460853	213790_at	Stromal-1	ADAM12	ADAM metallopeptidase domain 12 (meltrin alpha)	Regulator of the extracellular matrix	---
1468739	226777_at	Stromal-1	ADAM12	CDNA FLJ31066 fis, clone HSYRA2001153	Regulator of the extracellular matrix	---
1457184	206134_at	Stromal-1	ADAMDE C1	ADAM-like, decysin 1	Regulator of the extracellular matrix	---
1469793	228000_at	Stromal-1	ADC	arginine decarboxylase		---
1459001	209869_at	Stromal-1	ADRA2A	adrenergic, alpha-2A-, receptor		---
1454952	201792_at	Stromal-1	AEBP1	AE binding protein 1		---
1455748	203563_at	Stromal-1	AFAP	actin filament associated protein		---
1470090	228367_at	Stromal-1	ALPK2	alpha-kinase 2		---
1460344	213001_at	Stromal-1	ANGPTL2	angiopoietin-like 2	Regulator of angiogenesis	---
1468965	227034_at	Stromal-1	ANKRD57	ankyrin repeat domain 57		---
1466967	224694_at	Stromal-1	ANTXR1	anthrax toxin receptor 1		---
1498087	213553_x_at	Stromal-1	APOC1	apolipoprotein C-I		---
1493134	203382_s_at	Stromal-1	APOE	apolipoprotein E		---
1467450	225283_at	Stromal-1	ARRDC4	arrestin domain containing 4		---
1499904	217904_s_at	Stromal-1	BACE1	beta-site APP-cleaving enzyme 1		---
1491932	201261_x_at	Stromal-1	BGN	biglycan	Component of the extracellular matrix	---
1471402	229942_at	Stromal-1	BNC2	basonuclin 2		---
1466454	223703_at	Stromal-1	C10orf11	chromosome 10 open reading frame 11		---
1459938	212423_at	Stromal-1	C10orf56	chromosome 10 open reading frame 56		---
1505457	242649_x_at	Stromal-1	C15orf21	chromosome 15 open reading frame 21		---
1466318	223484_at	Stromal-1	C15orf48	chromosome 15 open reading frame 48		---
1500541	219315_s_at	Stromal-1	C16orf30	chromosome 16 open reading frame 30		---
1464137	219506_at	Stromal-1	C1orf54	chromosome 1 open reading frame 54		---
1466327	223499_at	Stromal-1	C1QTNF5	C1q and tumor necrosis factor related protein 5		---
1497641	212067_s_at	Stromal-1	C1R	complement component 1, r subcomponent		---
1495585	208747_s_at	Stromal-1	C1S	complement component 1, s subcomponent		---
1466963	224690_at	Stromal-1	C20orf108	chromosome 20 open reading frame 108		---
1468715	226751_at	Stromal-1	C2orf32	chromosome 2 open reading frame 32		---
1463173	217767_at	Stromal-1	C3	complement component 3		---
1469447	227598_at	Stromal-1	C7orf29	chromosome 7 open reading frame 29		---
1500220	218541_s_at	Stromal-1	C8orf4	chromosome 8 open reading frame 4		---
1492134	201616_s_at	Stromal-1	CALD1	caldesmon 1		---
1454972	201850_at	Stromal-1	CAPG	capping protein (actin filament), gelsolin-like		---
1503033	225242_s_at	Stromal-1	CCDC80	coiled-coil domain containing 80		---
1468532	226545_at	Stromal-1	CD109	CD109 molecule		---
1457097	205988_at	Stromal-1	CD84	CD84 molecule		---
1494733	207173_x_at	Stromal-1	CDH11	cadherin 11, type 2, OB-cadherin (osteoblast)	Adhesion protein	---
1455981	204039_at	Stromal-1	CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	Transcription factor required for myeloid differentiation and function of macrophages.	---
1502961	224794_s_at	Stromal-1	CEECAM1	cerebral endothelial cell adhesion molecule 1		---
1467906	225817_at	Stromal-1	CGNL1	cingulin-like 1		---
1495985	209396_s_at	Stromal-1	CHI3L1	chitinase 3-like 1 (cartilage glycoprotein-39)		---
1495239	208168_s_at	Stromal-1	CHIT1	chitinase 1 (chitotriosidase)	Macrophage-specific expression.	---
1497795	212624_s_at	Stromal-1	CHN1	chimerin (chimaerin) 1		---
1497390	211709_s_at	Stromal-1	CLEC11A	C-type lectin domain family 11, member A		---
1465607	222043_at	Stromal-1	CLU	clusterin	Regulator of vascular smooth muscle cells	14
1470033	228297_at	Stromal-1	CNN3	calponin 3, acidic		---
1497123	211343_s_at	Stromal-1	COL13A1	collagen, type XIII, alpha 1	Component of the extracellular matrix	---
1456143	204345_at	Stromal-1	COL16A1	collagen, type XVI, alpha 1	Component of the extracellular matrix	---
1499706	217430_x_at	Stromal-1	COL1A1	Collagen, type I, alpha 1	Component of the extracellular matrix	---
1507057	1556499_s_a t	Stromal-1	COL1A1	collagen, type I, alpha 1	Component of the extracellular matrix	---
1492594	202403_s_at	Stromal-1	COL1A2	collagen, type I, alpha 2	Component of the extracellular matrix	---
1459989	212489_at	Stromal-1	COL5A1	collagen, type V, alpha 1	Component of the extracellular matrix	---
1465412	221730_at	Stromal-1	COL5A2	collagen, type V, alpha 2	Component of the extracellular matrix	---
1495856	209156_s_at	Stromal-1	COL6A2	collagen, type VI, alpha 2	Component of the extracellular matrix	---
1454807	201438_at	Stromal-1	COL6A3	collagen, type VI, alpha 3	Component of the extracellular matrix	---
1465526	221900_at	Stromal-1	COL8A2	collagen, type VIII, alpha 2	Component of the extracellular matrix	---
1456267	204570_at	Stromal-1	COX7A1	cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)		---
1458609	208978_at	Stromal-1	CRIP2	cysteine-rich protein 2		---
1496464	210340_s_at	Stromal-1	CSF2RA	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)	Growth factor receptor for the macrophage and granulocytic lineages.	---
1501550	221731_x_at	Stromal-1	CSPG2	chondroitin sulfate proteoglycan 2 (versican)	Component of the extracellular matrix	15
1494671	207030_s_at	Stromal-1	CSRP2	cysteine and glycine-rich protein 2		---
1456481	204971_at	Stromal-1	CSTA	cystatin A (stefin A)		---
1458645	209101_at	Stromal-1	CTGF	connective tissue growth factor	Regulator of the extracellular matrix. Member of the CTGF family that mediates fibrotic reactions.	16-19
1467788	225681_at	Stromal-1	CTHRC1	collagen triple helix repeat containing 1	Regulator of the extracellular matrix	---
1495383	208407_s_at	Stromal-1	CTNND1	catenin (cadherin-associated protein), delta 1		---
1492625	202450_s_at	Stromal-1	CTSK	cathepsin K	Regulator of the extracellular matrix	20
1501876	222484_s_at	Stromal-1	CXCL14	chemokine (C-X-C motif) ligand 14	Chemokine that is chemotactic for monocytes.	---
1455952	203979_at	Stromal-1	CYP27A1	cytochrome P450, family 27, subfamily A, polypeptide 1		---
1454744	201289_at	Stromal-1	CYR61	cysteine-rich, angiogenic inducer, 61	Regulator of the extracellular matrix. Member of the CTGF family.	---
1497477	211813_x_at	Stromal-1	DCN	decorin	Component of the extracellular matrix	---
1494441	206414_s_at	Stromal-1	DDEF2	development and differentiation enhancing factor 2		---
1467580	225442_at	Stromal-1	DDR2	discoidin domain receptor family, member 2	Regulator of the extracellular matrix	21
1496709	210762_s_at	Stromal-1	DLC1	deleted in liver cancer 1		---
1498779	215116_s_at	Stromal-1	DNM1	dynamin 1		---
1492027	201431_s_at	Stromal-1	DPYSL3	dihydropyrimidinase-like 3		---
1468773	226817_at	Stromal-1	DSC2	desmocollin 2	Cell adhesion	---
1498736	215016_x_at	Stromal-1	DST	dystonin		---
1493697	204556_s_at	Stromal-1	DZIP1	DAZ interacting protein 1		---
1455979	204036_at	Stromal-1	EDG2	endothelial  differentiation, lysophosphatidic acid G-protein-coupled receptor, 2
1467444	225275_at	Stromal-1	EDIL3	EGF-like repeats and discoidin I-like domains 3	Regulator of angiogenesis	22
1493657	204464_s_at	Stromal-1	EDNRA	endothelin receptor type A		---
1495964	209356_x_at	Stromal-1	EFEMP2	EGF-containing fibulin-like extracellular matrix protein 2	Component of the extracellular matrix	---
1467756	225645_at	Stromal-1	EHF	ets homologous factor		---
1493805	204797_s_at	Stromal-1	EML1	echinoderm microtubule associated protein like 1		---
1467275	225078_at	Stromal-1	EMP2	epithelial membrane protein 2	Cell adhesion	---
1464085	219432_at	Stromal-1	EVC	Ellis van Creveld syndrome		---
1460657	213455_at	Stromal-1	FAM114A 1	family with sequence similarity 114, member A1		---
1496273	209955_s_at	Stromal-1	FAP	fibroblast activation protein, alpha	Regulator of the extracellular matrix	---
1454869	201579_at	Stromal-1	FAT	FAT tumor suppressor homolog 1 (Drosophila)	Cell adhesion	---
1492804	202765_s_at	Stromal-1	FBN1	fibrillin 1	Component of the extracellular matrix	---
1471146	229623_at	Stromal-1	FLJ12993	hypothetical LOC441027		---
1497752	212464_s_at	Stromal-1	FN1	fibronectin 1	Component of the extracellular matrix	---
1471812	230422_at	Stromal-1	FPRL2	formyl peptide receptor-like 2		---
