GenBank ID	Common name	Description	Fold change	Standard deviation	Function
M24545	CCL2	Chemokine (C–C motif) ligand 2	3.78	±2.87	Cytokines
NM_005623	CCL8	Chemokine (C–C motif) ligand 8	17.17	±19.02	Cytokines
NM_001565	CXCL10	Chemokine (C–X–C motif) ligand 10	8.06	±1.97	Cytokines
NM_005746	PBEF1	Pre-B-cell colony enhancing factor 1	2.37	±1.14	Cytokines
NM_005746.1	PBEF1	Pre-B-cell colony enhancing factor 1	2.41	±1.11	Cytokines
U57059	TNFSF10	Tumor necrosis factor (ligand) superfamily, member 10	8.84	±5.21	Cytokines
NM_020740	ANKFY1	Ankyrin repeat and FYVE domain containing 1	2.05	±0.22	Transcriptional regulators
BC006322	ATF3	Activating transcription factor 3	4.1	±1.61	Transcriptional regulators
NM_138456.2	BATF2	Basic leucine zipper transcription factor, ATF-like 2	5.53	±2.30	Transcriptional regulators
BC020597	GTF2B	General transcription factor IIB	1.78	±0.26	Transcriptional regulators
U82811	HESX1	Homeobox, ES cell expressed 1	7.79	±4.81	Transcriptional regulators
AY358248	MAML2	Mastermind-like 2 (Drosophila)	2.15	±0.69	Transcriptional regulators
NM_012385	P8	Nuclear protein 1	3	±2.08	Transcriptional regulators
NM_002675	PML	Promyelocytic leukemia	2.77	±0.95	Transcriptional regulators
NM_006074	TRIM22	Tripartite motif-containing 22	3.78	±2.27	Transcriptional regulators
NM_021035	ZNFX1	Zinc finger, NFX1-type containing 1	2.12	±0.43	Transcriptional regulators
NM_181782	NCOA7	Nuclear receptor coactivator 7	2.53	±0.79	Transcriptional regulators
NM_080424	SP110	SP110 nuclear body protein	4.71	±2.34	Transcriptional regulators
NM_017414	USP18	Ubiquitin specific peptidase 18	10.67	±4.22	ISGylation and ubiquitinylation
AJ586979	USP41	Ubiquitin specific peptidase 41	3.26	±1.45	ISGylation and ubiquitinylation
BC007922	ISG20	Interferon stimulated exonuclease gene 20 kDa	5.66	±3.44	ISGylation and ubiquitinylation
NM_016323	HERC5	Hect domain and RLD 5	16.79	±12.97	ISGylation and ubiquitinylation
NM_017912	HERC6	Hect domain and RLD 6	4.47	±2.21	ISGylation and ubiquitinylation
NM_005101	G1P2	ISG15 ubiquitin-like modifier	10.07	±4.05	ISGylation and ubiquitinylation
X02492	G1P3	Interferon, alpha-inducible protein 6	3.62	±2.29	ISGylation and ubiquitinylation
X67325	IFI27	Interferon, alpha-inducible protein 27	6.97	±6.63	Interferon inducible and anti-viral genes
NM_005532	IFI27	Interferon, alpha-inducible protein 27	10.18	±12.10	Interferon inducible and anti-viral genes
BC022870	IFI44	Interferon-induced protein 44	8.73	±2.45	Interferon inducible and anti-viral genes
NM_006820	IFI44L	Interferon-induced protein 44-like	11.41	±7.01	Interferon inducible and anti-viral genes
BC032839	IFIT2	Interferon-induced protein with tetratricopeptide repeats 2	77	±16.52	Interferon inducible and anti-viral genes
NM_001547	IFIT2	Interferon-induced protein with tetratricopeptide repeats 2	21.3	±1.76	Interferon inducible and anti-viral genes
NM_001549	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	26.33	±6.67	Interferon inducible and anti-viral genes
U34605	IFIT5	Interferon-induced protein with tetratricopeptide repeats 5	3.5	±0.86	Interferon inducible and anti-viral genes
NM_012420	IFIT5	Interferon-induced protein with tetratricopeptide repeats 5	3.4	±0.89	Interferon inducible and anti-viral genes
J04164	IFITM1	Interferon-induced trans-membrane protein 1 (9–27)	5.47	±4.83	Interferon inducible and anti-viral genes
NM_021034	IFITM3	Interferon-induced trans-membrane protein 3 (1–8 U)	3.27	±2.18	Interferon inducible and anti-viral genes
BC009483	IRF1	Interferon regulatory factor 1	2.29	±0.31	Interferon inducible and anti-viral genes
NM_004031	IRF7	Interferon regulatory factor 7	4.83	±0.52	Interferon inducible and anti-viral genes
NM_139266	STAT1	Signal transducer and activator of transcription 1, 91 kDa	3.37	±1.69	Interferon inducible and anti-viral genes
BC038247	TRIM25	Tripartite motif-containing 25	3.17	±1.12	Interferon inducible and anti-viral genes
X04371	OAS1	2,5-Oligoadenylate synthetase 1, 40/46 kDa	4.22	±1.67	Interferon inducible and anti-viral genes
NM_016817	OAS2	2,5-Oligoadenylate synthetase 2, 69/71 kDa	3.7	±1.20	Interferon inducible and anti-viral genes
NM_006187	OAS3	2,5-Oligoadenylate synthetase 3, 100 kDa	7.16	±2.86	Interferon inducible and anti-viral genes
NM_003733	OASL	2,5-Oligoadenylate synthetase-like	9.6	±2.89	Interferon inducible and anti-viral genes
BC032602	MX1	Myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)	8.64	±2.58	Interferon inducible and anti-viral genes
M30818	MX2	Myxovirus (influenza virus) resistance 2 (mouse)	9.35	±4.10	Interferon inducible and anti-viral genes
NM_002463	MX2	Myxovirus (influenza virus) resistance 2 (mouse)	4.21	±1.26	Interferon inducible and anti-viral genes
BC002666	GBP1	Guanylate binding protein 1, interferon-inducible, 67 kDa	5.52	±2.73	Interferon inducible and anti-viral genes
NM_002053	GBP1	Guanylate binding protein 1, interferon-inducible, 67 kDa	6.56	±5.15	Interferon inducible and anti-viral genes
AL832576	GBP4	Guanylate binding protein 4	4.68	±3.51	Interferon inducible and anti-viral genes
NM_080657	RSAD2	Radical S-adenosyl methionine domain containing 2	13.83	±10.25	Interferon inducible and anti-viral genes
AF038963	DDX58	Dead (Asp-Glu-Ala-Asp) box polypeptide 58/RIG-1	12.81	±7.30	RNA helicases
AF095844	IFIH1	Interferon-induced with helicase C domain 1/MDA-5	5.09	±2.25	RNA helicases
BC040851	EIF2AK2	Eukaryotic translation initiation factor 2-alpha kinase 2/PKR	4.5	±2.10	RNA helicases
AK021416	LGP2	Likely ortholog of mouse D11lgp2	3.43	±1.60	RNA helicases
NM_002468.2	MYD88	Myeloid differentiation primary response gene (88)	2.14	±0.53	Miscellaneous immune system
BC014081	TAP1	Transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	2.31	±0.67	Miscellaneous immune system
BC007037	CD69	CD69 molecule	2.96	±0.71	Miscellaneous immune system
