M/NM ratio	Unigene	Accession	Description
2.46	Hs.184736	AL035494	Hypothetical protein FLJ10097
1.94	Hs.89414	L06797	Chemokine (C-X-C motif), receptor 4 (fusin)
1.73	Hs.211602	D80000	SMC1 (structural maintenance of chromosomes 1. yeast)-like 1
1.65	Hs.83656	X69549	Rho GDP dissociation inhibitor (GDI) beta
1.62	Hs.143482	D63861	Peptidylprolyl isomerase D (cyclophilin D)
1.6	Hs.177556	W26633	Melanoma antigen, family D, 1
1.57	Hs.75260	Z24725	Mitogen inducible 2
1.55	Hs.178112	M73547	DNA segment, single copy probe LNS-CAI/LNS-CAII
1.52	Hs.14368	AF042081	SH3 domain binding glutamic acid-rich protein like
1.51	Hs. 83532	X59408	MCP: membrane cofactor protein
1.51	Hs.75847	AL109701	CREBBP/EP300 inhibitory protein 1
1.5	Hs.194662	S80562	Calponin 3, acidic
1.5	Hs.7594	M20681	Solute carrier family 2 (facilitated glucose transporter), member 3
1.48		AL022394	Sequence from 20q
