U133 probe set	Gene description	Gene symbol	Location	GenBank Reference	Chi-square value	BCR-ABL above/below mean	Fold change	old or new
200600_at	Moesin (membrane-organizing extensio spike protein)	MSN	Xq11.2-q12	NM_002444.1	34	Above	1.9	old
200737_at	Phosphoglycerate kinase 1	PGK1	Xq13	NM_000291.1	34	Above	1.8	old
200980_s_at	Pyruvate dehydrogenase (lipoamide) alpha 1	PDHA1	Xp22.2-p22.1	NM_000284.1	34	Above	1.7	new
201136_at	Proteolipid protein 2 (colonic epithelium-enriched)	PLP2	Xp11.23	NM_002668.1	34	Above	3.3	old
201807_at	Vacuolar protein sorting 26 (yeast)	VPS26	10q21.1	NM_004896.1	34	Above	1.7	old
202214_s_at	Cullin 4B	CUL4B	Xq23	NM_003588.1	34	Above	1.9	new
202557_at	Stress 70 protein chaperone, microsome associated, 60 kD	STCH	21q11	AI718418	34	Above	2	new
202593_s_at	membrane interacting protein of RGS16	MIR16	16p12-p11.2	NM_016641.1	34	Below	1.6	new
203680_at	Protein kinase, cAMP-dependent, regulatory, type II, beta	PRKAR2B	7q22-q31.1	NM_002736.1	34	Above	3.3	new
204194_at	BTB and CNC homology 1, basic leucine zipper transcription factor 1	BACH1	21q22.11	NM_001186.1	34	Above	1.8	new
205324_s_at	FtsJ homolog 1 (E. coli)	FTSJ1	Xp11.23	NM_012280.1	34	Above	2.1	old
208598_s_at	Upstream regulatory element binding protein 1	UREB1	Xp11.22	NM_005703.2	34	Above	1.6	old
208861_s_at	Alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	ATRX	Xq13.1-q21.1	U72937.2	34	Above	1.7	old
211342_x_at	trinucleotide repeat containing 11 (THR-associated protein, 230 kDa subunit)	TNRC11	Xq13	BC004354.1	34	Above	1.8	new
216071_x_at	Trinucleotide repeat containing 11	TNRC11	Xq13	AF132033	34	Above	1.8	new
218573_at	APR-1 protein/melanoma-associated antigen	MAGEH1	Xp11.22	NM_014061.1	34	Above	3	new
219485_s_at	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	PSMD10	Xq22.3	NM_002814.1	34	Above	2.4	old
200655_s_at	Calmodulin 1 (phosphorylase kinase, delta)	CALM1	14q24-q31	NM_006888.1	30.1	Above	1.7	old
200738_s_at	Phosphoglycerate kinase 1	PGK1	Xq13	NM_000291.1	30.1	Above	1.8	old
200944_s_at	High-mobility group (nonhistone chromosomal) protein 14; member of the HMG 14/17 family	HMG14	21q22.2	NM_004965.1	30.1	Above	1.7	old
201092_at	Retinoblastoma binding protein 7	RBBP7	Xp22.31	NM_002893.2	30.1	Above	1.6	new
201100_s_at	Ubiquitin specific protease 9	USP9X	Xp11.4	NM_004652.2	30.1	Above	1.7	old
201688_s_at	Tumor protein D52	TPD52	8q21	BE974098	30.1	Below	4.1	new
201899_s_at	Ubiquitin-conjugating enzyme E2A (RAD6 homolog)	UBE2A	Xq24-q25	NM_003336.1	30.1	Above	1.8	old
202325_s_at	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6	ATP5J	21q21.1	NM_001685.1	30.1	Above	1.6	old
202829_s_at	Synaptobrevin-like 1	SYBL1	Xq28	NM_005638.1	30.1	Above	1.5	old
202854_at	Hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)	HPRT1	Xq26.1	NM_000194.1	30.1	Above	1.4	old
206846_s_at	Histone deacetylase 6	HDAC6	Xp11.23	NM_006044.2	30.1	Above	1.5	new
209370_s_at	SH3-domain binding protein 2	SH3BP2	4p16.3	AB000462.1	30.1	Above	3.1	new
209565_at	zinc finger protein 183 (RING finger, C3HC4 type)	ZNF183	Xq25-q26	BC000832.1	30.1	Above	2.2	new
212846_at	KIAA0179 protein.	KIAA0179	21q22.3	D80001.1	30.1	Above	2	old
217356_s_at	Phosphoglycerate kinase	PGK1	Xq13	S81916.1	30.1	Above	1.8	new
218163_at	MCT-1 protein	MCT-1	Xq22-24	NM_014060.1	30.1	Above	1.8	new
218386_x_at	Ubiquitin specific protease 16; de-ubiquitinates histone H2A; ubiquitous expression.	USP16	21q22.11	NM_006447.1	30.1	Above	1.7	new
218402_s_at	Hermansky-Pudlak syndrome 4	HPS4		NM_022081.1	30.1	Below	3.4	new
218495_at	Ubiquitously-expressed transcript	UXT	Xp11.23-p11.22	NM_004182.1	30.1	Above	1.5	new
218499_at	Mst3 and SOK1-related kinase/STE20-like kinase; contains a Ser/Thr protein kinase domain	MST4	Xq26.1	NM_016542.1	30.1	Above	2.5	new
218757_s_at	Similar to yeast Upf3, variant B	UPF3B	Xq25-q26	NM_023010.1	30.1	Above	2.3	new
219038_at	Hypothetical protein FLJ11565	FLJ11565	Xq22.2	NM_024657.1	30.1	Above	6.9	new
229967_at	Chemokine-like factor super family 2.	CKLFSF2	16q23.1	AA778552	30.1	Above	4.3	new
242794_at	EST		4q31.1	AI569476	30.1	Above	3.2	new
201132_at	Heterogeneous nuclear ribonucleoprotein H2 (H)	HNRPH2	Xq22	NM_019597.1	30	Above	2	old
201312_s_at	SH3 domain binding glutamic acid-rich protein like	SH3BGRL	Xq13.3	NM_003022.1	30	Above	1.6	old
201894_s_at	Decorin; glycoprotein that binds to type I collagen fibrils & plays a role in matrix assembly.	DCN	12q13.2	NM_001920.1	30	Above	1.5	new
201923_at	Peroxiredoxin 4	PRDX4	Xp22.13	NM_006406.1	30	Above	1.9	old
202371_at	Hypothetical protein FLJ21174	FLJ21174	Xq22.1	NM_024863.1	30	Above	3.6	old
203126_at	Inositol(myo)-1(or 4)-monophosphatase 2	IMPA2	18p11.2	NM_014214.1	30	Above	4.1	old
204219_s_at	proteasome (prosome, macropain) 26S subunit, ATPase, 1	PSMC1	19p13.3	NM_002802.1	30	Above	1.3	old
204835_at	polymerase (DNA directed), alpha	POLA	Xp22.1-p21.3	NM_016937.1	30	Above	2	old
212071_s_at	Spectrin, beta, non-erythrocytic 1	SPTBN1	2p21	BE968833	30	Below	1.7	new
212419_at	EST		10q22.3	AL049949.1	30	Above	13.1	new
212718_at	Hypothetical protein MGC5370	MGC5378	14q32.2	BG110231	30	Above	1.5	new
213502_x_at	Homo sapiens cDNA FLJ32313 fis, clone PROST2003232, weakly similar to BETA-GLUCURONIDASE PRECURSOR (EC 3.2.1.31)	FLJ32313	22q11.23	X03529	30	Below	1.8	old
214051_at	Thymosin, beta	TMSNB	Xq21.33-q22.3	BF677486	30	Above	3.1	new
226039_at	Mannosyl (alpha-1,3)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase	MGAT4A	2q11.2	AW006441	30	Above	3	new
227279_at	hypothetical protein MGC15737	MGC15737	Xq22.1	AA847654	30	Above	5.6	new
200642_at	Superoxide dismutase 1, soluble	SOD1	21q22.11	NM_000454.1	26.7	Above	2.3	old
200799_at	Heat shock 70kD protein 1A	HSPA1A	6p21.3	NM_005345.3	26.7	Above	2.7	old
200943_at	High-mobility group (nonhistone chromosomal) protein 14; member of the HMG 14/17 family	HMG14	21q22.2	NM_004965.1	26.7	Above	1.6	old
201018_at	Eukaryotic translation initiation factor 1A	EIF1A	Xp22.12	BE542684	26.7	Above	1.8	new
201311_s_at	SH3 domain binding glutamic acid-rich protein like	SH3BGRL	Xq13.3	AL515318	26.7	Above	1.6	old
201443_s_at	ATPase, H+ transporting, lysosomal interacting protein 2	ATP6IP2	Xq21	AF248966.1	26.7	Above	1.9	old
201472_at	Von Hippel-Lindau binding protein 1	VBP1	Xq28	NM_003372.2	26.7	Above	1.7	old
201689_s_at	Tumor protein D52	TPD52	8q21	BE974098	26.7	Below	4.3	new
202602_s_at	HIV TAT specific factor 1	HTATSF1	Xq26.1-q27.2	NM_014500.1	26.7	Above	1.5	old
203041_s_at	Lysosomal-associated membrane protein 2	LAMP2	Xq24	J04183.1	26.7	Above	3.1	old
203102_s_at	Mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	MGAT2	14q21	NM_002408.2	26.7	Above	1.6	new
203744_at	High-mobility group (nonhistone chromosomal) protein 4	HMG4	Xq28	NM_005342.1	26.7	Above	1.9	new
205518_s_at	Cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMP-N-acetylneuraminate monooxygenase)	CMAH	6p22-p23	NM_003570.1	26.7	Below	2.9	new
208683_at	Calpain 2, (m/II) large subunit; calcium-dependent Cys protease.	CAPN2	1q41-q42	M23254.1	26.7	Above	2.2	old
209440_at	Phosphoribosyl pyrophosphate synthetase 1; purine biosynthesis.	PRPS1	Xq21-q27	BC001605.1	26.7	Above	1.4	old
210786_s_at	Friend leukemia virus integration 1	FLI1	11q24.1-q24.3	M93255.1	26.7	Below	2.5	old
212070_at	G protein-coupled receptor 56	GPR56	16q13	AL554008	26.7	Above	2.4	new
213334_x_at	Three prime repair exonuclease 2	TREX2	Xq28	BE676218	26.7	Above	1.7	old
215117_at	Recombination activating gene 2; V(D)J recombinase.	RAG2	11p13	AW058148	26.7	Below	27.2	old
218694_at	ALEX1 protein	ALEX1	Xq21.33-q22.2	NM_016608.1	26.7	Above	2.8	new
222741_s_at	hypothetical protein FLJ11101	FLJ11101	6p21.1	AI761426	26.7	Above	1.5	new
223082_at	SH3-domain kinase binding protein 1	SH3KBP1	Xp22.1-p21.3	AF230904.1	26.7	Above	2	new
225105_at	clone MGC:23936 IMAGE:3838595, mRNA, complete cds		12q23.3	BF969397	26.7	Above	2.1	new
225406_at	Twisted gastrulation	TSG	18p11.3	AA195009	26.7	Above	1.9	new
225553_at	Homo sapiens cDNA FLJ12874 fis		14q22.2	AL042817	26.7	Above	1.6	new
226199_at	Hypothetical protein MGC23937	MGC23937	Xq13.1	AL563795	26.7	Above	2.1	new
226875_at	Hypothetical protein FLJ32122	FLJ32122	Xq24	AI742838	26.7	Above	2.3	new
232974_at	cDNA FLJ12417 fis		Xp22.31	AU148256	26.7	Above	3.1	new
46323_at	Ca2+-dependent endoplasmic reticulum nucleoside diphosphatase	SHAPY	17q25.3	AL120741	26.7	Above	1.7	new
203694_s_at	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 16	DDX16	6p21.3	NM_003587.2	26.3	Above	1.3	old
200658_s_at	Prohibitin	PHB	17q21	AL560017	26.3	Above	2	old
201898_s_at	ubiquitin-conjugating enzyme E2A (RAD6 homolog)	UBE2A	Xq24-q25	AI126625	26.3	Above	1.6	old
