U133 probe set	Gene description	Symbol	Location	GenBank Reference	Unigene Reference	Chi-square value	BCR-ABL above/ below	Fold change
226939_at	Homo sapiens cDNA FLJ37247 fis, clone BRAMY2006397			AI202327	Hs.44833	92.2	Above	7
219463_at	chromosome 20 open reading frame 103	C20orf103	20p12	NM_012261.1	Hs.22920	86.2	Above	24
204069_at	Meis1, myeloid ecotropic viral integration site 1 homolog	MEIS1	2p14-p13	NM_002398.1	Hs.170177	84.9	Above	73
203837_at	mitogen-activated protein kinase kinase kinase 5	MAP3K5	6q22.33	NM_005923.2	Hs.151988	77.3	Above	4
226415_at	KIAA1576 protein	KIAA1576	16q22.1	AA156723	Hs.22975	77.3	Above	40
222409_at	coronin, actin binding protein, 1C	CORO1C	12q24.1	AL162070.1	Hs.17377	71.1	Above	5
242172_at	ESTs			N50406	Hs.191349	71.1	Above	33
235879_at	ESTs			AI697540	Hs.310286	70	Above	4
231899_at	KIAA1726 protein	KIAA1726	11q23.1	AB051513.1	Hs.164719	65.6	Above	33
212386_at	Homo sapiens cDNA FLJ11918 fis, clone HEMBB1000272			AK021980.1	Hs.289068	64.5	Below	3
201153_s_at	muscleblind-like (Drosophila)	MBNL	3q25	NM_021038.1	Hs.28578	63.4	Above	2
218217_at	likely homolog of rat and mouse retinoid-inducible serine carboxypeptidase	RISC	17q23.2	NM_021626.1	Hs.106747	63.4	Above	3
201875_s_at	hypothetical protein FLJ21047	FLJ21047	1q23.2	NM_024569.1	Hs.14891	63	Above	2
205717_x_at	protocadherin gamma subfamily C, 3	PCDHGC3	5q31	NM_002588.1	Hs.284180	63	Above	5
205821_at	DNA segment on chromosome 12 (unique) 2489 expressed sequence	D12S2489E	12p13.2-p12.3	NM_007360.1	Hs.74085	63	Above	9
205899_at	cyclin A1	CCNA1	13q12.3-q13	NM_003914.1	Hs.79378	63	Above	104
209079_x_at	protocadherin gamma subfamily A, 1	PCDHGA1	5q31	AF152318.1	Hs.333404	63	Above	5
210660_at	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 1	LILRA1	19q13.4	AF025529.1	Hs.166156	63	Above	532
211066_x_at	protocadherin gamma subfamily C, 3	PCDHGC3	5q31	BC006439.1	Hs.284180	63	Above	5
215836_s_at	protocadherin gamma subfamily B, 7	PCDHGB7	5q31	AK026188.1	Hs.256783	63	Above	4
212135_s_at	calcium transporting ATPase plasma membrane  protein.	ATP2B4		AW517686	Hs.356388	62.6	Below	2
226668_at	hypothetical protein FLJ36175	FLJ36175		W80623	Hs.20848	62.4	Above	2
201152_s_at	muscleblind-like (Drosophila)	MBNL	3q25	NM_021038.1	Hs.28578	60.7	Above	2
218847_at	IGF-II mRNA-binding protein 2	IMP-2	3q28	NM_006548.1	Hs.30299	60.7	Above	23
238712_at	ESTs			BF801735	Hs.181574	60.7	Above	3
234032_at				AF119847.1		60.1	Above	4
218764_at	hypothetical protein MGC5363	MGC5363	14q22.1-q22.3	NM_024064.1	Hs.1880	59.3	Below	8
203345_s_at	likely ortholog of mouse metal response element binding transcription factor 2	M96	1p22.1	AI566096	Hs.31016	58.5	Below	2
203836_s_at	mitogen-activated protein kinase kinase kinase 5	MAP3K5	6q22.33	D84476.1	Hs.151988	58.5	Above	14
227999_at	hypothetical protein BC011630	LOC170394	10q26.3	AI290476	Hs.157728	58.5	Above	17
235479_at	ESTs, Moderately similar to  KIAA0940 protein [Homo sapiens] [H.sapiens]			AI948598	Hs.156469	58.5	Above	4
220643_s_at	Fas apoptotic inhibitory molecule	FAIM	3q23	NM_018147.1	Hs.173438	58.2	Above	3
201151_s_at	muscleblind-like (Drosophila)	MBNL	3q25	NM_021038.1	Hs.28578	56.8	Above	3
205668_at	lymphocyte antigen 75	LY75	2q24	NM_002349.1	Hs.153563	56.8	Above	2
52164_at	chromosome 11 open reading frame 24	C11orf24	11q13	AA065185	Hs.303025	56.4	Above	2
56256_at	CGI-40 protein	LOC51092	11q23.3	AA150165	Hs.33724	56.4	Above	2
228855_at	nudix (nucleoside diphosphate linked moiety X)-type motif 7	NUDT7		AI927964	Hs.115920	56.4	Above	6
235173_at	muscleblind-like (Drosophila)	MBNL	3q25	AA093668	Hs.28578	56	Above	41
241391_at	ESTs, Moderately similar to  hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]			AA654772	Hs.186564	56	Above	3
