Geneb	Accession number	Description	Raw Fold change
Paired box gene 6	X63963	Differentially spliced; M. musculus pax-6 mRNA for paired box protein; paired box gene 6, isoform b	?2.842
Rag1	M29475	Recombination activating gene 1	?2.740
Siat7e	AB030836	Sialyltransferase 7 ((alpha-N-acetylneuraminyl 2,3-betagalactosyl-1,3)-N-acetyl galactosaminide alpha-2,6-sialyltransferase) E	?2.649
U62674	H3 histone, family 2	?2.601
Nr4a1; Hmr; N10; TR3; Hbr1; NP10; TIS1; Gfrp; nur77; GFRP1; NGFIB	X16995	Mouse N10 gene for a nuclear hormonal binding receptor; nuclear receptor subfamily 4, group A, member 1	?2.582
Ccl3	J04491	Chemokine (C–C motif) ligand 3	?2.576
Jun	X12761	Jun oncogene	?2.571
Egr1; egr; TIS8; Zenk; NGFIA; Zfp-6; ETR103; Krox-1; Krox24; NGF1-A; Zif268	M28845	Mus musculus zinc finger protein (Krox-24) gene, exon 2; early growth response 1	?2.538
Alas2	M15268	Aminolevulinic acid synthase 2, erythroid	?2.488
Ier3	AV292869	Immediate early response 3	?2.357
H1f2; H1.2; His1a; H1c; H1var1	J03482	Mouse histone H1 gene, complete cds;H1 histone family, member 2	?2.295
Igl-5; Igll	X04770	Lambda(5) (AA 104–209) (259 is 2nd base in codon); Murine Ig-related lambda(5) gene (exon 3) transcibed selectively in pre-B-lymphocytes	?2.210
Btg2; Pc3; TIS21	M64292	TIS21; Mouse TIS21 gene; B-cell translocation gene 2, anti-proliferative	?2.145
Pim1	AA764261	Proviral integration site 1	?2.116
Il17r	U31993	Interleukin 17 receptor	?2.113
Ier2	M59821	Immediate early response 2	?2.100
Dusp2; PAC1	U09268	Mus musculus domesticus 129 tyrosine-threonine dual specificity phosphatase PAC-1 gene	?2.090
Dnajb10	AI843164	DnaJ (Hsp40) homolog, subfamily B, member 10	?2.061
Egr-2, Krox20, Zfp-6, Zfp-25	M24377	Zinc finger protein A; zinc finger protein B; Mouse zinc finger protein (krox-20) gene, exon 2	?2.024
Tgfb1i4	X62940	Transforming growth factor beta 1 induced transcript 4	?1.977
Tgif	X89749	TG interacting factor	?1.935
Gadd45a; Ddit1; GADD45	U00937	Mus musculus GADD45 protein (gadd45) gene, growth arrest and DNA-damage-inducible 45 alpha	?1.907
Cish3	AV374868	Cytokine inducible SH2-containing protein 3	?1.877
Gata6; AA410133	AJ243146	Mus musculus partial GATA-6 gene, exon 2	?1.860
Ccl4; Act-2; Mip1B; MIP-1B; Scya4; AT744.1	X62502	M. musculus MIP-1b gene for macrophage inflammatory protein 1b;chemokine (C-C motif) ligand 4	?1.859
Rgs2	U67187	Regulator of G-protein signaling 2	?1.848
Gadd45b	X54149	Growth arrest and DNA-damage-inducible 45 beta	?1.820
Ptrf	AF036249	Polymerase I and transcript release factor	?1.804
Ctla2b	X15592	Cytotoxic T lymphocyte-associated protein 2 beta; ctla-2-beta protein (141 AA)	?1.803
Gpr97	AI504074	G protein-coupled receptor 97	?1.799
Zfp125	AJ005350	Zinc finger protein 125	?1.790
Sfrs5	AF020308	Mus musculus HRS gene; splicing factor, arginine/serine-rich 5 (SRp40, HRS)	?1.742
Cipp	AF060539	Channel-interacting PDZ domain protein	?1.736
Tssc4	AI848914	Tumor-suppressing subchromosomal transferable fragment 4	?1.731
Ctla2a	X15591	Cytotoxic T lymphocyte-associated protein 2 alpha	?1.703
Pfdn2	Y17393	Prefoldin 2	?1.663
Sui1-rs1	Z50159	Suppressor of initiator codon mutations, related sequence 1 (S. cerevisiae)	?1.655
Gabarapl1	AW123904	Gamma-aminobutyric acid (GABA(A)) receptor-associated protein-like 1	?1.644
Ifrd1	V00756	Interferon-related developmental regulator 1	?1.637
Zfp216	AF062071	Zinc finger protein 216	?1.630
Satb1	U05252	Special AT-rich sequence binding protein 1	?1.630
Blcap	AW121500	Bladder cancer associated protein homolog (human)	?1.599
Eif4a2	X12507	Eukaryotic translation initiation factor 4A2	?1.596
Ddx9	U91922	DEAD (aspartate-glutamate-alanine-aspartate) box polypeptide 9	?1.587
Stx3	D29797	Syntaxin 3 isoform 3	?1.585
Mpl	Z22649	Myeloproliferative leukemia virus oncogene	?1.561
Cd53	X97227	CD53 antigen	?1.557
Irf1	M21065	Interferon regulatory factor 1	?1.552
Runx2	D14636	Runt related transcription factor 2	?1.551
Chkl	AB011000	Choline kinase-like; choline/ethanolamine kinase	?1.544
H3f3b	X13605	H3 histone, family 3B	?1.541
Prg	M34603	Proteoglycan, secretory granule	?1.507
Ltb	U16985	Lymphotoxin B	?1.506
