#prototype: prototype used as the explanatory variable in the linear model
#gene: gene symbol
#geneid: Entrez GeneID
#Z-ESR1: meta-analytical Z-score corresponding to partial coefficient test against ESR1 expression (adjusted for other prototypes)
#Z-ERRB2: ditto for ERBB2
#Z-AURKA: ditto for AURKA
#Z-survival: meta-analytical univariate Cox regression Z-score 
#cytoband: chromosomal location (from Entrez database)
#alias: alternative gene symbols
#description: gene description
prototype	gene	geneid	Z-ESR1	Z-ERBB2	Z-AURKA	Z-survival	cytoband	alias	description
ESR1	ESR1	2099	inf	0	0	-4.96308	6q25.1	DKFZp686N23123|ER|ESR|ESRA|Era|NR3A1	estrogen receptor 1
ESR1	GATA3	2625	35.3444	7.94901	-3.30795	-5.79846	10p15	HDR|MGC2346|MGC5199|MGC5445	GATA binding protein 3
ESR1	TBC1D9	23158	34.0607	5.0579	-9.08815	-5.25907	4q31.21	KIAA0882|MDR1	TBC1 domain family, member 9 (with GRAM domain)
ESR1	CA12	771	31.0992	6.21072	-4.67459	-3.93401	15q22	CAXII|FLJ20151|HsT18816	carbonic anhydrase XII
ESR1	FOXA1	3169	28.9852	19.5589	-7.01381	-3.45214	14q12-q13	HNF3A|MGC33105|TCF3A	forkhead box A1
ESR1	MYB	4602	26.7246	2.89448	-4.78664	-5.80623	6q22-q23	Cmyb|c-myb|c-myb_CDS|efg	v-myb myeloblastosis viral oncogene homolog (avian)
ESR1	AGR2	10551	26.6039	13.9452	-1.09466	-0.64203	7p21.3	AG2|GOB-4|HAG-2|XAG-2	anterior gradient 2 homolog (Xenopus laevis)
ESR1	NAT1	9	26.494	-0.886438	-8.19932	-6.16022	8p23.1-p21.3	AAC1|NATI	N-acetyltransferase 1 (arylamine N-acetyltransferase)
ESR1	XBP1	7494	25.9955	13.6327	-6.82422	-5.88859	22q12.1|22q12	TREB5|XBP2	X-box binding protein 1
ESR1	SLC39A6	25800	25.9246	1.2866	-2.25442	-4.0266	18q12.2	LIV-1	solute carrier family 39 (zinc transporter), member 6
ESR1	SCUBE2	57758	25.6946	-1.4544	-12.6805	-6.14911	11p15.3	CEGP1|Cegb1|Cegf1|FLJ16792|FLJ35234|MGC133057	signal peptide, CUB domain, EGF-like 2
ESR1	BCMP11	155465	25.5089	6.19047	-4.37999	-2.94539	7p21.1	HAG3|hAG-3	breast cancer membrane protein 11
ESR1	CELSR1	9620	25.4078	3.85786	-2.58425	-3.61002	22q13.3	CDHF9|DKFZp434P0729|FMI2|HFMI2|ME2	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)
ESR1	DNALI1	7802	25.4025	3.8019	-6.42704	-4.25887	1p35.1	P28|dJ423B22.5|hp28	dynein, axonemal, light intermediate chain 1
ESR1	AFF3	3899	25.3461	-0.39309	-5.00252	-5.84209	2q11.2-q12	LAF4|MLLT2-like	AF4/FMR2 family, member 3
ESR1	C6orf211	79624	25.026	1.45417	8.26888	-1.12532	6q25.1	DKFZp566I174|FLJ12910	chromosome 6 open reading frame 211
ESR1	GFRA1	2674	24.9037	-2.01242	3.02176	-1.8985	10q26	GDNFR|GDNFRA|GFR-ALPHA-1|MGC23045|RET1L|RETL1|TRNR1	GDNF family receptor alpha 1
ESR1	FBP1	2203	24.8917	9.14294	-1.96405	-2.28588	9q22.3	FBP	fructose-1,6-bisphosphatase 1
ESR1	ABAT	18	24.7647	-0.756346	-7.57222	-5.76029	16p13.2	GABA-AT|GABAT|NPD009	4-aminobutyrate aminotransferase
ESR1	ERBB4	2066	24.6266	0.366087	-9.46534	-4.68081	2q33.3-q34	HER4|MGC138404|p180erbB4	v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)
ESR1	MAGED2	10916	24.5935	8.59361	-3.06833	-1.87104	Xp11.2	11B6|BCG1|HCA10|JCL-1|MAGE-D2|MAGED|MGC8386	melanoma antigen family D, 2
ESR1	PH-4	54681	24.4441	4.74109	-1.91612	-2.61507	3p21.31	-	hypoxia-inducible factor prolyl 4-hydroxylase
ESR1	CYP2B6	1555	24.3523	1.82138	-0.187904	-2.3217	19q13.2	CPB6|CYP2B|CYPIIB6|IIB1|P450	cytochrome P450, family 2, subfamily B, polypeptide 6
ESR1	ACADSB	36	24.2786	-0.596025	-5.40766	-5.17024	10q26.13	2-MEBCAD|ACAD7|SBCAD	acyl-Coenzyme A dehydrogenase, short/branched chain
