Gene bank accession number	Gene name	Symbol	Fold change (Adnull)	Fold change (Ad5Delta24)
BC025541	Bcl2-like 14 (apoptosis facilitator)	Bcl2114	7.73	13.45
NM_007610	Caspase 2	Casp2	2.93	2.89
BC011437	Interleukin 1 beta	Illb	1.51	1.99
NM_011577	Transforming growth factor, beta 1	Tgfb1	4.44	5.28
NM_013749	Tumor necrosis factor receptor superfamily, member 12a	Tnfrsf1	29.04	35.51
NM_024290	Tumor necrosis factor receptor superfamily, member 23	Tnfrsf2	10.34	26.17
NM_009404	Tumor necrosis factor (ligand) superfamily, member 9	Tnfsf9	26.35	58.89
NM_011632	Tnf receptor-associated factor 3	Traf3	7.21	5.28
AJ297973	Transformation related protein 53	Trp53	3.97	5.94
NM_009811	Caspase 6	Casp6	-4.56	-2.33
U67321	Caspase 7	Casp7	-6.28	-2.31
NM_009894	Cell death-inducing DNA fragmentation factor, alpha subunit-	Cideb	-7.11	-5.03
AJ224740	CASP and RIPK domain containing adaptor with death	Cradd	-2.45	-2.13
BM248206	Growth arrest specific 2	Gas2	-3.97	-3.94
NM_008360	Interleukin 18	Ill8	-6.77	-5.46
