Order	F	ProbeSet	Contrast	p value	Boot- strap	Gene	Chromosome	Description
1	145.67	33908_at	980.2	0.002	11.1	CAPN1	11q13	calpain 1, (mu/I) large subunit
2	135.10	40200_at	630.54	0.010	20.9	HSF1	8q24.3	heat shock transcription factor 1
3	133.03	41753_at	1196.14	0.005	17.0	ACTN4	19q13	actinin, alpha 4
4	132.93	34879_at	-1154.9	0.002	12.4	DPM1	20q13.13	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit
5	126.76	40998_at	885.77	0.007	23.9	TNRC11	Xq13	trinucleotide repeat containing 11 (THR-associated protein, 230kDa subunit)
6	126.35	37040_at	1327.83	0.007	19.7	G2AN	11q12.3	alpha glucosidase II alpha subunit
7	125.09	440_at	634.23	0.005	20.8	NFIC	19p13.3	nuclear factor I/C (CCAAT-binding transcription factor)
8	123.14	39711_at	956.99	0.003	20.2	PRKCSH	19p13.1-p13.2	protein kinase C substrate 80K-H
9	121.66	38069_at	953.27	0.010	41.2	CLCN7	16p13	chloride channel 7
10	121.22	31901_at	1249.88	0.008	24.7	KCNAB2	1p36.3	potassium voltage-gated channel, shaker-related subfamily, beta member 2
11	112.96	40016_g_at	1090.52	0.026	52.0	KIAA030 3	5q13.1	KIAA0303 protein
12	111.67	40414_at	708.25	0.014	34.9	VARS2	6p21.3	valyl-tRNA synthetase 2
13	111.43	36796_at	838.49	0.019	50.0	SPN	16p11.2	sialophorin (gpL115, leukosialin, CD43)
14	110.97	35774_r_at	723.17	0.021	44.5	NDUFB7	19p13.12-p13.11	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa
15	109.60	41047_at	909.26	0.015	45.8	C9orf16	9q34.1	chromosome 9 open reading frame 16
16	109.26	38441_s_at	-1209.19	0.010	38.6	MCP	1q32	membrane cofactor protein (CD46, trophoblast-lymphocyte cross-reactive antigen)
17	108.15	37768_at	1068.11	0.010	42.6	MPG	16p13.3	N-methylpurine-DNA glycosylase
18	107.14	40955_at	872.64	0.013	40.6	PTOV1	19q13.33	prostate tumor overexpressed gene 1
19	105.71	37962_r_at	-1342.71	0.019	51.1	STXBP3	1p13.3	syntaxin binding protein 3
20	105.32	38003_s_at	998.01	0.013	45.2	DGKZ	11p11.2	diacylglycerol kinase, zeta 104kDa
21	102.74	36124_at	694.63	0.017	48.3	MPST	22q13.1	mercaptopyruvate sulfurtransferase
22	102.39	329_s_at	798.44	0.017	55.7			---
23	101.21	34316_at	1667.18	0.021	55.2	RPS15A	16p	ribosomal protein S15a
24	101.16	41657_at	546.55	0.023	69.1	STK11	19p13.3	serine/threonine kinase 11 (Peutz-Jeghers syndrome)
25	100.81	949_s_at	-926.56	0.007	40.5	PSMC6	14q22.1	proteasome (prosome, macropain) 26S subunit, ATPase, 6
26	99.11	40951_at	1434.98	0.015	59.7			---
27	98.08	41829_at	1021.36	0.017	67.3	LARP	5q33.2	likely ortholog of mouse la related protein
28	98.04	38019_at	751.1	0.019	71.4	CSNK1E	22q13.1	casein kinase 1, epsilon
29	97.19	35308_at	546.31	0.018	56.3	MGC2668	9q34.13	hypothetical protein MGC2668
30	95.29	41084_at	1126.01	0.011	70.2	MGC5108 2	19q13.32	hypothetical protein MGC51082
31	92.32	39128_r_at	851.26	0.035	96.7	PPP2R4	9q34	protein phosphatase 2A, regulatory subunit B (PR 53)
32	92.08	33826_at	517.12	0.018	64.8	CIZ1	9q34.1	Cip1-interacting zinc finger protein
33	91.01	32047_at	556.41	0.022	86.8	DFFA	1p36.3-p36.2	DNA fragmentation factor, 45kDa, alpha polypeptide
34	90.76	590_at	931.51	0.038	97.1	ICAM2	17q23-q25	intercellular adhesion molecule 2
35	89.71	33770_at	-1193.56	0.033	111.6	CHUK	10q24-q25	conserved helix-loop-helix ubiquitous kinase
36	88.88	34326_at	-864.5	0.019	72.3	COPB	11p15.2	coatomer protein complex, subunit beta
37	88.79	38794_at	828.9	0.040	100.1	UBTF	17q21.3	upstream binding transcription factor, RNA polymerase I
38	88.66	39076_s_at	630.29	0.024	83.0	DRAP1	11q13.3	DR1-associated protein 1 (negative cofactor 2 alpha)
39	88.46	37904_s_at	506.5	0.023	87.4	GNL1	6p21.3	guanine nucleotide binding protein-like 1
40	88.45	37387_r_at	762.31	0.021	90.1	KDELR1	19q13.3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1
41	86.89	37049_g_at	690.49	0.027	104.3	TOMM34		translocase of outer mitochondrial membrane 34
42	86.63	34302_at	1024.73	0.045	110.4	EIF3S4	19p13.2	eukaryotic translation initiation factor 3, subunit 4 delta, 44kDa
43	86.40	41565_at	734.49	0.033	102.0	A2LP	16p11	ataxin 2 related protein
44	86.39	41526_at	704.29	0.030	108.5	HMG20B	19p13.3	high-mobility group 20B
45	86.06	371_at	626.65	0.027	105.4	IRF3	19q13.3-q13.4	interferon regulatory factor 3
46	85.57	1707_g_at	648.94	0.026	99.4	ARAF1	Xp11.4-p11.2	v-raf murine sarcoma 3611 viral oncogene homolog 1
47	85.56	37652_at	947.69	0.014	94.4	CABIN1	22q11.23	calcineurin binding protein 1
48	85.32	37656_at	1069.68	0.021	83.3	SCAP	3p21.31	SREBP CLEAVAGE-ACTIVATING PROTEIN
49	84.82	33838_at	540.92	0.029	103.8	BAT3	6p21.3	HLA-B associated transcript 3
50	84.15	37685_at	-1011.15	0.020	94.4	PICALM	11q14	phosphatidylinositol binding clathrin assembly protein
