Probe set ID	Symbol	Description	RefSeq Transcript ID	Cytoband	Status
219159_s_at	SLAMF7	SLAM family member 7 /// SLAM family member 7	NM_021181	chr1q23.1-q24.1	Overexpressed in EBV+
219716_at	APOL6	apolipoprotein L, 6 /// apolipoprotein L, 6	NM_030641	chr22q13.1	Overexpressed in EBV+
203097_s_at	RAPGEF2	Rap guanine nucleotide exchange factor (GEF) 2 /// Rap guanine nucleotide exchange factor (GEF) 2	NM_014247	chr4q32.1	Overexpressed in EBV+
210176_at	TLR1	toll-like receptor 1 /// toll-like receptor 1	AL050262	chr4p14	Overexpressed in EBV+
213238_at	ATP10D	ATPase, Class V, type 10D	AI478147	chr4p12	Overexpressed in EBV+
218404_at	SNX10	sorting nexin 10 /// sorting nexin 10	NM_013322	chr7p15.2	Overexpressed in EBV+
208936_x_at	LGALS8	lectin, galactoside-binding, soluble, 8 (galectin 8)	AF074000	chr1q42-q43	Overexpressed in EBV+
205692_s_at	CD38	CD38 antigen (p45) /// CD38 antigen (p45)	NM_001775	chr4p15	Overexpressed in EBV+
221523_s_at	RRAGD	Ras-related GTP binding D	AL138717	chr6q15-q16	Overexpressed in EBV+
207571_x_at	C1orf38	chromosome 1 open reading frame 38	NM_004848	chr1p35.3	Overexpressed in EBV+
218035_s_at	FLJ20273	RNA-binding protein	NM_019027	chr4p13-p12	Overexpressed in EBV+
202304_at	FNDC3	fibronectin type III domain containing 3	NM_014923	chr13q14.12	Overexpressed in EBV+
216950_s_at	FCGR1A	Fc fragment of IgG, high affinity Ia, receptor for (CD64) /// Fc fragment of IgG, high affinity Ia, receptor for (CD64)	X14355	chr1q21.2-q21.3	Overexpressed in EBV+
219574_at	FLJ20668	hypothetical protein FLJ20668	NM_017923	chr4q32.2	Overexpressed in EBV+
204079_at	TPST2	tyrosylprotein sulfotransferase 2 /// tyrosylprotein sulfotransferase 2	NM_003595	chr22q12.1	Overexpressed in EBV+
221584_s_at	KCNMA1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1 /// potassium large conductance calcium-activated channel, subfamily M, alpha member 1	U11058	chr10q22-q23	Overexpressed in EBV+
205639_at	AOAH	acyloxyacyl hydrolase (neutrophil) /// acyloxyacyl hydrolase (neutrophil)	NM_001637	chr7p14-p12	Overexpressed in EBV+
211434_s_at	CCRL2	chemokine (C-C motif) receptor-like 2 /// chemokine (C-C motif) receptor-like 2	AF015524	chr3p21	Overexpressed in EBV+
208923_at	CYFIP1	cytoplasmic FMR1 interacting protein 1	BC005097	chr15q11	Overexpressed in EBV+
207565_s_at	MR1	major histocompatibility complex, class I-related /// major histocompatibility complex, class I-related	NM_001531	chr1q25.3	Overexpressed in EBV+
212761_at	TCF7L2	transcription factor 7-like 2 (T-cell specific, HMG-box)	AI949687	chr10q25.3	Overexpressed in EBV+
218217_at	SCPEP1	serine carboxypeptidase 1 /// serine carboxypeptidase 1	NM_021626	chr17q23.2	Overexpressed in EBV+
209566_at	INSIG2	insulin induced gene 2	AL080184	chr2q14.2	Overexpressed in EBV+
204224_s_at	GCH1	GTP cyclohydrolase 1 (dopa-responsive dystonia) /// GTP cyclohydrolase 1 (dopa-responsive dystonia)	NM_000161	chr14q22.1-q22.2	Overexpressed in EBV+
202441_at	C10orf69	chromosome 10 open reading frame 69	AL568449	chr10q21-q22	Overexpressed in EBV+
204417_at	GALC	galactosylceramidase (Krabbe disease) /// galactosylceramidase (Krabbe disease)	NM_000153	chr14q31	Overexpressed in EBV+
204204_at	SLC31A2	solute carrier family 31 (copper transporters), member 2 /// solute carrier family 31 (copper transporters), member 2	NM_001860	chr9q31-q32	Overexpressed in EBV+
