Human Gene bank accession number	Mouse Gene bank accession number	Gene name	Symbol	Human Fold change (Adnull)	Human Fold change (Ad5Delta24)	Mouse Fold change (Adnull)	Mouse Fold change (Ad5Delta24)
AI378406	BB284358	egl nine homolog 3 (C. elegans)	EGLN3	5.81	12.9	5.8	11
AF060922	AK018668	BCL2/adenovirus E1B 19 kDa interacting protein 3-like	BNIP3L	3.24	4.4	NC	2.09
BC015944	BG518542	TIA 1 cytotoxic granule-associated RNA binding protein	TIA1	3.03	3.53	2.3	3.97
NM_001775	BB256012	CD38 antigen (p45)	CD38	2.12	2.98	NC	2.49
AF078077	AK010420	Growth arrest and DNA-damage-in inducible, beta	GADD45B	2.14	2.83	49.18	67.98
BF224259	BG071121	Survival motor neuron domain containing 1	SMNDC1	NC	2.04	2.41	2.6
M13436	NM_008380	Inhibin, beta A (activin A, activin AB alpha polypeptide)	INHBA	2.2	2.9	10	10.6
U19599	BC018228	BCL2-associated X protein	BAX	2	2.86	4.5	5.5
NM_002583	BB398886	PRKC, apoptosis, WT1, regulator	PAWR	2.26	2.8	3.9	4.9
AI990766	AW557263	Fragile X mental retardation, autosomal homolog 1	FXR1	3.13	2.69	2.46	NC
AF082283	AF100339	B-cell CLL/lymphoma 10	BCL10	2.51	2.49	2.82	4.43
NM_004346	BG070529	Caspase 3, apoptosis-related cysteine protease	CASP3	2	3.03	2.28	3.23
U25804	NM_007609	Capase 4, apoptosis-related cysteine protease	CASP4	2.3	2.43	5.65	5.89
NM_015322	BM232562	Fem-1 homolog b (C.elegans)	FEM1B	2.1	NC	4.5	3.5
NM_013374	C76364	Programmed cell death 6 interacting protein	PDCD6IP	2.04	2.2	2.4	2.46
