Function	Gene	Genbank	Fold Suppression
Apoptosis	BAG-1	S83171	6.6
Apoptosis	CAS	U33286	6.6
Apoptosis	apoptosis-related protein TFAR15	AF022385	5
Apoptosis	caspase-3	U13737	4
Apoptosis	survivin	U75285	3.6
Apoptosis	DNA fragmentation factor 45 (DFF45)	U91985	3.6
Apoptosis	bax	L22474	3.4
Apoptosis	serine/threonine-protein kinase PCTAIRE 1 (PCTK1)	X66363	3.2
Apoptosis	DAP3	U18321	2.3
Apoptosis	TNF-alpha converting enzyme	U69611	2.2
Apoptosis	DAP6	AF015956	2
Cell Adhesion	fibronectin	X02761	5
Cell Adhesion	beta 3-endonexin	U37139	4.7
Cell Adhesion	integrin alpha 9 (ITGA9); integrin alpha-RLC	D25303	4.6
Cell Adhesion	nidogen precursor (NID); entactin	M30269	4.4
Cell Adhesion	thrombospondin 1	X14787	3
Cell Adhesion	collagen 16 alpha 1 subunit	M92642	2.9
Cell Adhesion	integrin beta 6 precursor (ITGB6)	M35198; J05522	2.7
Cell Adhesion	versican core protein	U16306	2.6
Cytoskeletal	malignant melanoma metastasis-suppressor (KiSS-1) gene	U43527	3.2
Cytoskeletal	Keratin 10	M19156	2.9
DNA Damage and Repair	DNA mismatch repair protein MSH6	U54777	4.7
DNA Damage and Repair	DNA topoisomerase II alpha (TOP2A)	J04088	4.6
DNA Damage and Repair	DNA-dependent protein kinase	U35835	4.2
DNA Damage and Repair	DNA-dependent protein kinase	U35835	4.2
DNA Damage and Repair	xeroderma pigmentosum group B complementing protein	M31899	4.0
DNA Damage and Repair	DNA mismatch repair protein MSH2	U04045	3.4
DNA Damage and Repair	GADD153	S40706	2.4
DNA Damage and Repair	DNA repair protein RAD51 homolog	D13804	2.1
DNA Synthesis & Cell Cycle	CDC16HS	U18291	9.5
DNA Synthesis & Cell Cycle	CDC2	X05360	7.2
DNA Synthesis & Cell Cycle	CDK1	X05360	7.2
DNA Synthesis & Cell Cycle	CDK2	M68520	7.1
DNA Synthesis & Cell Cycle	CDC6-related protein	U77949	5.6
DNA Synthesis & Cell Cycle	metastasis-associated protein 1 (MTA1)	U35113	5.4
DNA Synthesis & Cell Cycle	CDC10	S72008	5.3
DNA Synthesis & Cell Cycle	CDC-like kinase 3 (CLK3)	L29220	5.2
DNA Synthesis & Cell Cycle	Cyclin D2	M90813	4.5
DNA Synthesis & Cell Cycle	CDK10	L33264	4.4
DNA Synthesis & Cell Cycle	CDC2-related protein kinase CHED	M80629	4.3
DNA Synthesis & Cell Cycle	RATS1	U37688	4.2
DNA Synthesis & Cell Cycle	replication factor C 36-kDa subunit	L07540	3.6
DNA Synthesis & Cell Cycle	CDK7	L20320	3.1
DNA Synthesis & Cell Cycle	PCNA	M15796	2.9
DNA Synthesis & Cell Cycle	Cyclin D3	M92287	2.9
DNA Synthesis & Cell Cycle	wee1Hu CDK tyrosine 15-kinase	U10564	2.7
DNA Synthesis & Cell Cycle	replication protein A 70-kDa subunit	M63488	2.7
DNA Synthesis & Cell Cycle	CDK5 activator	X80343	2.6
DNA Synthesis & Cell Cycle	CDC37 homolog	U63131	2.5
DNA Synthesis & Cell Cycle	E2F1	M96577	2.5
DNA Synthesis & Cell Cycle	CDC25A	M81933	2.5
DNA Synthesis & Cell Cycle	CDC27HS	U00001	2.5
DNA Synthesis & Cell Cycle	CDK4	M14505	2.4
DNA Synthesis & Cell Cycle	CDK6	X66365	2.3
DNA Synthesis & Cell Cycle	Bcl2 & p53 binding protein Bbp/53BP2 (BBP/53BP2)	U58334	2.2
DNA Synthesis & Cell Cycle	Cyclin E	M73812	2.2
DNA Synthesis & Cell Cycle	Cyclin B1	M25753	2.1
DNA Synthesis & Cell Cycle	serine/threonine-protein kinase PLK1	U01038	2.0
Nucleotide Metabolism	HPRT	V00530	2.2
Protease Related	TIMP2	J05593	5.0
Protease Related	MMP18	Y08622	3.3
Protease Related	TIMP4	U76456	3.0
Protease Related	MMP12	L23808	2.7
Protease Related	urokinase-type plasminogen activator	M15476	2.6
Protease Related	MMP8	J05556	2.2
Receptors	insulin-like growth factor II receptor	Y00285; J03528	4.7
Receptors	RAR-alpha	X06538	3.9
Receptors	PDGFRB	M21616	3.8
Receptors	ephrin type-B receptor 4	U07695	3.6
Receptors	ERBB2	M95667	3.3
Receptors	trk-T3; P68 TRK-T3 oncoprotein	X85960	2.6
Receptors	IFN-alpha-R	X77722	2.2
Signal Transducers	alpha-2-MRAP	M63959	8.2
Signal Transducers	EB1 protein	U24166	5.7
Signal Transducers	neurofibromin 2	L11353	5.5
Signal Transducers	MAP kinase p38	L35253	4.4
Signal Transducers	rho/rac GEF	U11690	4.4
Signal Transducers	GRB10	U69276	4.2
Signal Transducers	AF-1P	U07707	4.0
Signal Transducers	PAK-alpha	U24152	3.9
Signal Transducers	rho GDP dissociation inihibitor 2	L20688	3.8
Signal Transducers	B-raf proto-oncogene (RAFB1)	M95712	3.5
Signal Transducers	integrin-linked kinase (ILK)	U40282	3.4
Signal Transducers	akt2	M77198	3.4
Signal Transducers	c-raf	X03484	3.0
Signal Transducers	c-akt; akt1	M63167	2.6
Signal Transducers	MAP kinase p38 gamma	X79483	2.2
Signal Transducers	focal adhesion kinase 2	U43522	2.1
Signal Transducers	ras-like protein TC10	M31470	2.1
Signal Transducers	TRAF6	U78798	2.1
Signal Transducers	JNK3A2	U34819	2.0
Signalling Molecules	TGF-beta2	M19154	12.2
Signalling Molecules	IFN-gamma antagonist	A25270	4.1
Signalling Molecules	Wnt-2; int-1 related protein (IRP)	X07876	4.1
Signalling Molecules	FGF6	X63454	3.5
Signalling Molecules	hepatocyte growth factor-like protein	M74178	3.1
Signalling Molecules	Wnt-8B	X91940	3.0
Signalling Molecules	EGF	X04571	2.7
Signalling Molecules	macrophage migration inhibitory factor	M25639	2.4
Signalling Molecules	FGF9	D14838	2.4
Signalling Molecules	hepatoma-derived growth factor	D16431	2.4
Signalling Molecules	FGF8	U36223	2.3
Signalling Molecules	manic fringe	U94352	2.3
Transcription	purine-rich single-stranded DNA-binding protein alpha	M96684	2.2
Unclassified	KIAA0014	D25216	4.9
