U133 probe set	Gene description	Symbol	Location	GenBank Reference	Chi-square	T-ALL above/below mean	Fold change	old or new
201137_s_at	major histocompatibility complex, class II, DP beta 1	HLA-DPB1	6p21.3	NM_002121.1	100	Below	21	old
202113_s_at	sorting nexin 2	SNX2	5q23	AF043453.1	100	Below	4.2	old
202114_at	sorting nexin 2	SNX2	5q23	NM_003100.1	100	Below	4.6	old
203675_at	nucleobindin 2	NUCB2	11p15.1-p14	NM_005013.1	100	Above	3.6	old
204670_x_at	major histocompatibility complex, class II, DR beta 3	HLA-DRB3	6p21.3	NM_002125.1	100	Below	13.4	old
205297_s_at	CD79B antigen (immunoglobulin-associated beta)	CD79B	17q23	NM_000626.1	100	Below	23.3	old
205456_at	CD3E antigen, epsilon polypeptide (TiT3 complex)	CD3E	11q23	NM_000733.1	100	Above	20.7	old
206398_s_at	CD19 antigen	CD19	16p11.2	NM_001770.1	100	Below	5693.6	old
208306_x_at	major histocompatibility complex, class II, DR beta 4	HLA-DRB4	6p21.3	NM_021983.2	100	Below	8.3	old
208894_at	major histocompatibility complex, class II, DR alpha	HLA-DRA	6p21.3	M60334.1	100	Below	20.9	old
209312_x_at	major histocompatibility complex, class II, DR beta 1	HLA-DRB1	6p21.3	U65585.1	100	Below	12.6	old
209619_at	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	CD74	5q32	K01144.1	100	Below	15.1	old
210116_at	SH2 domain protein 1A, Duncans disease (lymphoproliferative syndrome)	SH2D1A	Xq25-q26	AF072930.1	100	Above	150.7	old
210982_s_at	major histocompatibility complex, class II, DR alpha	HLA-DRA	6p21.3	M60333.1	100	Below	23.4	old
211990_at	major histocompatibility complex, class II, DP alpha 1	HLA-DPA1	6p21.3	M27487.1	100	Below	19.6	old
211991_s_at	major histocompatibility complex, class II, DP alpha 1	HLA-DPA1	6p21.3	M27487.1	100	Below	24.5	old
213539_at	CD3D antigen, delta polypeptide (TiT3 complex)	CD3D	11q23	NM_000732.1	100	Above	35.7	old
214049_x_at	CD7 antigen (p41)	CD7	17q25.2-q25.3	AI829961	100	Above	312.2	old
214551_s_at	CD7 antigen (p41)	CD7	17q25.2-q25.3	NM_006137.2	100	Above	228.1	old
217147_s_at	T-cell receptor interacting molecule	TRIM	3q13	AJ240085.1	100	Above	42.6	new
217478_s_at	MHC, class IIa, HLA-DMA	HLA-DMA		X76775	100	Below	11.9	old
221969_at	paired box gene 5 (B-cell lineage specific activator protein)	PAX5	9p13	BF510692	100	Below	3922	new
227646_at	early B-cell factor	EBF	5q34	BG435302	100	Below	85	new
229487_at	cDNA FLJ39389 fis	FLJ39389	5	W73890	100	Below	7685.7	new
229838_at	cDNA FLJ39156 fis	FLJ39156		AI377271	100	Above	12.7	old
232204_at	early B-cell factor	EBF	5q34	AF208502.1	100	Below	7129.1	new
203965_at	ubiquitin specific protease 20	USP20	9q34.12-q34.13	NM_006676.1	91.3	Above	9	old
204891_s_at	lymphocyte-specific protein tyrosine kinase	LCK	1p34.3	NM_005356.1	91.3	Above	13.8	old
205255_x_at	transcription factor 7 (T-cell specific, HMG-box)	TCF7	5q31.1	NM_003202.1	91.3	Above	8.4	old
207655_s_at	B-cell linker	BLNK	10q23.2-q23.33	NM_013314.1	91.3	Below	103.2	old
209771_x_at	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24	6q21	AA761181	91.3	Below	40.1	old
211796_s_at	T cell receptor beta locus	TRB	7q34	AF043179.1	91.3	Above	20.7	old
213792_s_at	insulin receptor	INSR	19p13.3-p13.2	AA485908	91.3	Below	8	old
215193_x_at	major histocompatibility complex, class II, DR beta 3	HLA-DRB3	6p21.3	AJ297586.1	91.3	Below	12.1	old
216379_x_at	KIAA1919 protein	KIAA1919	6q22.1	AK000168.1	91.3	Below	44	old
219191_s_at	bridging integrator 2	BIN2	12q13	NM_016293.1	91.3	Above	271	new
219563_at	hypothetical protein FLJ21276	FLJ21276	14q32.2	NM_024633.1	91.3	Below	5.8	new
219724_s_at	KIAA0748 gene product	KIAA0748	12q12	NM_014796.1	91.3	Above	11.6	new
221750_at	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	HMGCS1	5p14-p13	BG035985	91.3	Above	3.4	new
226157_at	cDNA FLJ39131 fis	FLJ39131	3	AI569747	91.3	Above	4.4	old
226496_at	hypothetical protein FLJ22611	FLJ22611	9p11.1	BG291039	91.3	Below	7.6	new
266_s_at	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24	6q21	L33930	91.3	Below	69.7	old
39318_at	T-cell leukemia/lymphoma 1A	TCL1A	14q32.1	X82240	91.3	Below	367.4	old
204214_s_at	RAB32, member RAS oncogene family	RAB32	6q24.3	NM_006834.1	90.6	Above	127.9	new
204777_s_at	mal, T-cell differentiation protein	MAL	2cen-q13	NM_002371.2	90.6	Above	96.8	old
204890_s_at	lymphocyte-specific protein tyrosine kinase	LCK	1p34.3	U07236.1	90.6	Above	18.6	old
205049_s_at	CD79A antigen (immunoglobulin-associated alpha)	CD79A	19q13.2	NM_001783.1	90.6	Below	11.4	old
205254_x_at	transcription factor 7 (T-cell specific, HMG-box)	TCF7	5q31.1	AW027359	90.6	Above	352	old
205504_at	Bruton agammaglobulinemia tyrosine kinase	BTK	Xq21.33-q22	NM_000061.1	90.6	Below	6.6	old
210915_x_at	T cell receptor beta locus	TRB	7q34	M15564.1	90.6	Above	15.9	old
211211_x_at	SH2 domain protein 1A, Duncans disease (lymphoproliferative syndrome)	SH2D1A	Xq25-q26	AF100542.1	90.6	Above	196305	old
213830_at	T cell receptor delta locus	TRD	14q11.2	AW007751	90.6	Above	7411.2	old
216191_s_at	T cell receptor delta locus	TRD	14q11.2	X72501.1	90.6	Above	253.7	old
217143_s_at	T cell receptor delta locus	TRD	14q11.2	X06557.1	90.6	Above	151.9	old
