Genename	Genesymbol	GenBankaccessionno.	IUD	Description
VonEbnersglandprotein1	Vegp1	X52016	13.53	Up regulated
Calpain6	CAPN6	BC000078	11.20	Up regulated
Serineproteinaseinhibitor,cladeA,member5	SERPINA5	BC005353	10.28	Up regulated
CytochromeP450,family26,subfamilyA,polypeptide1	CYP26A1	H11516	8.44	Up regulated
Glycoproteinhormones, a-polypeptide	CGA	AA476314	8.03	Up regulated
Tissuefactorpathwayinhibitor2	TFPI2	L27624	7.32	Up regulated
a-2-Glycoprotein1,zinc	AZGP1	AI041156	7.04	Up regulated
Matrixmetalloproteinase12	MMP12	H48216	7.04	Up regulated
MAPKkinase6	MAP2K6	U39657	6.57	Up regulated
Transcribedlocus	PITPN	AI028602	6.56	Up regulated
Transmembrane4litersixfamilymember4	TM4SF4	R22914	6.49	Up regulated
Catenin, a2	CTNNA2	R13007	6.40	Up regulated
Glyoxylatereductase/hydroxypyruvatereductase	GRHPR	AI028668	6.08	Up regulated
EpithelialV-likeantigen1	EVA1	H69578	6.02	Up regulated
Sorbitoldehydrogenase	SORD	AI025167	5.87	Up regulated
SerumamyloidA2	SAA1	BC007038	5.62	Up regulated
ATPase,Ca2 transporting,plasmamembrane2	ATP2B2	R19470	5.11	Up regulated
HypotheticalproteinMGC11242	MGC11242	BC007685	5.06	Up regulated
S100calciumbindingproteinP	S100P	BC006819	5.05	Up regulated
Majorhistocompatibilitycomplex,classII,DO b[p]	HLA-DOB	BC008921	4.93	Up regulated
CarbonicanhydraseII	CA2	BC011949	4.61	Up regulated
PPARy	PPARG	BC006811	4.56	Up regulated
Chemokineligand1	CXCL1	X12510	4.51	Up regulated
Keratin8	KRT8	BC008200	4.36	Up regulated
NuclearfactorI/B	NFIB	H43668	4.24	Up regulated
AnnexinA3	ANXA3	BC000871	4.08	Up regulated
Discs,largehomolog5	DLG5	AA490581	4.08	Up regulated
Branched chain keto acid dehydrogenase E1, b-polypeptide	BCKDHB	T80553	4.06	Up regulated
3 -phosphoadenosine 5 -phosphosulfate synthase 1	PAPSS1	AA001143	3.92	Up regulated
Phosphodiesterase9ª	PDE9A	BC009047	3.89	Up regulated
Solute carrier family 43,member 1	SLC43A1	R91733	3.79	Up regulated
Spermidine/spermineN1-acetyltransferase	SAT	BC001386	3.79	Up regulated
AnnexinIII	ANXA3	R33139	3.78	Up regulated
Matrixmetalloproteinase10	MMP10	X07820	3.75	Up regulated
Majorhistocompatibilitycomplex,classII,DMb	HLA-DMB	W72230	3.67	Up regulated
TumorproteinD52-like1	TPD52L1	BC001653	3.55	Up regulated
Aldehydedehydrogenase3family,memberB2	ALDH3B2	BC005807	3.52	Up regulated
CystatinB	CSTB	BC010532	3.41	Up regulated
Phosphoserineaminotransferase1	PSAT1	BC002865	3.41	Up regulated
CarboxypeptidaseB2	CPB2	N53447	3.37	Up regulated
Gprotein-coupledreceptor109B	GPR109B	R05515	3.35	Up regulated
NDRGfamilymember2	NDRG2	BC010458	3.35	Up regulated
Secretoglobin,family2A,member1	SCGB2A1	AA441787	3.34	Up regulated
Interferon- y receptor1	IFNGR1	J03143	3.31	Up regulated
V-crksarcomavirusCT10oncogenehomolog	CRK	BC008506	3.12	Up regulated
Metallothionein1X	MT1X	BC018190	3.04	Up regulated
Atearoyl-CoAdesaturase	SCD	BC008807	2.95	Up regulated
Hemoglobin, a2	HBA2	BC008572	2.91	Up regulated
Cancersusceptibilitycandidate4	ANK3	AI024298	2.90	Up regulated
Putativeanti-CNG a1 cation channel translation product	CNGA1	W73475	2.89	Up regulated
Serineproteinaseinhibitor,cladeB,member3	SERPINB3	AA393164	2.79	Up regulated
PHDfingerprotein8	PHF8	AI024940	2.76	Up regulated
Pirin	PIR	BC000644	2.75	Up regulated
Adenosylmethioninedecarboxylase1	AMD1	BC000171	2.73	Up regulated
CNDPdipeptidase2	CNDP2	BC004909	2.73	Up regulated
IAPhomologC	BIRC3	U37546	2.72	Up regulated
Chromosome6openreadingframe142	C6orf142	BC009010	2.71	Up regulated
Sulfotransferasefamily,cytosolic,1C,member1	SULT1C1	BC005348	2.68	Up regulated
Serinehydrolase-like	SERHL	AI018678	2.67	Up regulated
MitochondrialribosomalproteinL3	MRPL3	R19209	2.61	Up regulated
ATP-bindingcassette,subfamilyG,member1	ABCG1	R13431	2.60	Up regulated
Glycerophosphodiesterphosphodiesterasedomaincontaining3	MGC4171	BC002730	2.59	Up regulated
Familywithsequencesimilarity13,memberA1	FAM13A1	H69334	2.57	Up regulated
Carnitinepalmitoyltransferase1A	CPT1A	BC001755	2.54	Up regulated
Folatereceptor1	FOLR1	BC004555	2.53	Up regulated
Septin4	SEPT4	AI018682	2.51	Up regulated
Creatinekinase,brain	CKB	AI005571	2.50	Up regulated
Aldehydedehydrogenase6family,memberA1	ALDH6A1	BC002714	2.50	Up regulated
Cordon-bleuhomolog	COBL	AA449163	2.45	Up regulated
Cytochromeb5reductase2	CYB5R2	BC001346	2.44	Up regulated
Dicarbonyl/liter-xylulosereductase	DCXR	BC002517	2.38	Up regulated
Vestigiallike1	VGLL1	BC003362	2.36	Up regulated
Fucosyltransferase2	FUT2	BC003176	2.36	Up regulated
Gprotein-coupledreceptor132	GPR132	BC007783	2.35	Up regulated
Keratin6C	KRT6A	BC002947	2.31	Up regulated
Similartocommonsalivaryprotein1	LOC124220	BC009722	2.27	Up regulated
HypotheticalproteinLOC285458	LOC285458	BC008915	2.25	Up regulated
CD9antigen	CD9	BC011988	2.15	Up regulated
Glutathioneperoxidase3	GPX3	AI040990	-13.4	Down regulated
Glycodelin(placentalprotein14precursor)	PP14	M34046	-10.18	Down regulated
FXYDdomaincontainingiontransportregulator2	FXYD2	R07511	-9.43	Down regulated
Left-rightdeterminationfactor2	LEFTY2	U81523	-9.35	Down regulated
Dipeptidylpeptidase4	DPP4	N30001	-8.47	Down regulated
SimilartoG-proteincoupledreceptor111 [Pantroglodytes]	LEFTB	R63646	-7.94	Down regulated
TruncatedB-cellCLL/lymphoma11B/T-cellreceptor- s  constant region fusion protein	IGHM	W86653	-6.76	Down regulated
