Probe Set ID	Gene Title	Gene Symbol	LocusLink
36894_at	chromobox homolog 7	CBX7	23492
39175_at	phosphofructokinase, platelet	PFKP	5214
41796_at	phospholipase C-like 2	PLCL2	23228
34043_at	chromosome 6 open reading frame 105	C6orf105	84830
891_at	YY1 transcription factor	YY1	7528
1480_at	heat shock 70kDa protein 4	HSPA4	3308
33835_at	TSPY-like 4	TSPYL4	23270
34859_at	melanoma antigen, family D, 2	MAGED2	10916
36502_at	PFTAIRE protein kinase 1	PFTK1	5218
812_at	protein phosphatase 1, regulatory (inhibitor) subunit 2	PPP1R2	5504
38485_at	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1, 6kDa	NDUFC1	4717
36620_at	superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult))	SOD1	6647
33394_at	FLJ11126 protein	FLJ11126	55308
832_at	ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast)	UBE2D2	7322
38610_s_at	keratin 10 (epidermolytic hyperkeratosis; keratosis palmaris et plantaris)	KRT10	3858
36128_at	transmembrane trafficking protein	TMP21	10972
36948_at	CREBBP/EP300 inhibitor 1	CRI1	23741
39756_g_at	X-box binding protein 1	XBP1	7494
32847_at	myosin, light polypeptide kinase	MYLK	4638
41488_at	hypothetical protein A-211C6.1	LOC57149	57149
38993_r_at	trans-golgi network protein 2	TGOLN2	10618
39088_at	seven transmembrane domain protein	NIFIE14	10430
38005_at	solute carrier family 35, member D2	SLC35D2	11046
37303_at	poly (ADP-ribose) polymerase family, member 4	PARP4	143
32530_at	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	YWHAQ	10971
37729_at	exportin 1 (CRM1 homolog, yeast)	XPO1	7514
38820_at	15 kDa selenoprotein	15-Sep	9403
36489_at	phosphoribosyl pyrophosphate synthetase 1	PRPS1	5631
36188_at	general transcription factor IIIA	GTF3A	2971
36201_at	glyoxalase I	GLO1	2739
34782_at	Jumonji, AT rich interactive domain 2	JARID2	3720
37663_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1	DDX1	1653
38814_at	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G isoform 1	ATP6V1G1	9550
36553_at
41503_at	zinc fingers and homeoboxes 2	ZHX2	22882
40410_at	dynactin 3 (p22)	DCTN3	11258
31506_s_at	defensin, alpha 3, neutrophil-specific /// defensin, alpha 1, myeloid-related sequence	DEFA3 /// DEFA1	1667 /// 1668
32584_at	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	PSMD8	5714
34860_g_at	melanoma antigen, family D, 2	MAGED2	10916
39967_at	leucine zipper, down-regulated in cancer 1	LDOC1	23641
38654_at	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	HNRPU	3192
33865_at	zinc finger, MYND domain containing 11	ZMYND11	10771
32696_at	Pre-B-cell leukemia transcription factor 3	PBX3	5090
38839_at	profilin 2	PFN2	5217
36002_at	KIAA1012	KIAA1012	22878
38837_at	hypothetical protein DJ971N18.2		56255
32745_at	mitochondrial ribosomal protein L40	MRPL40	64976
34767_at	modulator of apoptosis 1	MOAP1	64112
355_s_at	FK506 binding protein 1B, 12.6 kDa	FKBP1B	2281
34192_at	Cohen syndrome 1	COH1	157680
