Probeset	RepresentativepublicID	Genetitle	Expression
206502_s_at	NM_002196	Insulinoma-associated 1	Genes underexpressed in MRD+
217281_x_at	AJ239383	IgM rheumatoid factor RF-TT9, variable heavy chain	Genes underexpressed in MRD+
217098_s_at	Z98745	Zinc finger protein 96	Genes underexpressed in MRD+
218736_s_at	NM_017734	Palmdelphin	Genes underexpressed in MRD+
207894_s_at	NM_020552	T-cell leukemia/lymphoma 6	Genes underexpressed in MRD+
220657_at	NM_018143	Kelch-like 11 (Drosophila)	Genes underexpressed in MRD+
206142_at	NM_003436	Zinc finger protein 135 (clone pHZ-17)	Genes underexpressed in MRD+
203702_s_at	AL043927	Tubulin tyrosine ligase-like family, member 4	Genes underexpressed in MRD+
207940_x_at	NM_001840	Cannabinoid receptor 1 (brain)	Genes underexpressed in MRD+
207979_s_at	NM_004931	CD8 beta polypeptide 1	Genes underexpressed in MRD+
218986_s_at	NM_017631	Hypothetical protein FLJ20035	Genes underexpressed in MRD+
215717_s_at	X62009	Fibrillin 2 (congenital contractural arachnodactyly)	Genes underexpressed in MRD+
212419_at	AA131324	Chromosome 10 open reading frame 56	Genes underexpressed in MRD+
219364_at	NM_024119	Likely ortholog of mouse D11lgp2	Genes underexpressed in MRD+
209760_at	AL136932	KIAA0922 protein	Genes underexpressed in MRD+
218033_s_at	NM_003498	Stannin	Genes underexpressed in MRD+
216444_at	AK024138	SMAD-specific E3 ubiquitin protein ligase 2	Genes underexpressed in MRD+
203276_at	NM_005573	Lamin B1	Genes underexpressed in MRD+
209502_s_at	BC002495	BAI1-associated protein 2	Genes underexpressed in MRD+
205888_s_at	AI962693	Jak and microtubule interacting protein 2	Genes underexpressed in MRD+
203422_at	NM_002691	Polymerase (DNA directed), delta 1, catalytic subunit 125 kDa	Genes underexpressed in MRD+
211717_at	BC005853	Ankyrin repeat domain 40	Genes underexpressed in MRD+
203963_at	NM_001218	Carbonic anhydrase XII	Genes underexpressed in MRD+
218115_at	NM_018154	ASF1 antisilencing function 1 homolog B (Scerevisiae)	Genes underexpressed in MRD+
219165_at	NM_021630	PDZ and LIM domain 2 (mystique)	Genes underexpressed in MRD+
209499_x_at	BF448647	Tumor necrosis factor (ligand) superfamily, member 13	Genes underexpressed in MRD+
202326_at	NM_006709	Euchromatic histone-lysine N-methyltransferase 2	Genes underexpressed in MRD+
222201_s_at	AB037736	CASP8-associated protein 2	Genes underexpressed in MRD+
38158_at	D79987	Extra spindle poles-like 1 (Scerevisiae)	Genes underexpressed in MRD+
218586_at	NM_018270	Chromosome 20 open reading frame 20	Genes underexpressed in MRD+
204804_at	NM_003141	Tripartite motif-containing 21	Genes underexpressed in MRD+
204599_s_at	NM_006428	Mitochondrial ribosomal protein L28	Genes underexpressed in MRD+
201429_s_at	NM_000998	Ribosomal protein L37a	Genes overexpressed in MRD+
200025_s_at	NM_000988	Ribosomal protein L27	Genes overexpressed in MRD+
200034_s_at	NM_000970	Ribosomal protein L6	Genes overexpressed in MRD+
200038_s_at	NM_000985	Ribosomal protein L17	Genes overexpressed in MRD+
200949_x_at	NM_001023	Ribosomal protein S20	Genes overexpressed in MRD+
212042_x_at	BG389744	Ribosomal protein L7	Genes overexpressed in MRD+
200716_x_at	NM_012423	Ribosomal protein L13a	Genes overexpressed in MRD+
208904_s_at	BC000354	Ribosomal protein S28	Genes overexpressed in MRD+
208856_x_at	BC003655	Ribosomal protein, large, P0	Genes overexpressed in MRD+
216520_s_at	AF072098	Tumor protein, translationally controlled 1	Genes overexpressed in MRD+
200019_s_at	NM_001997	Ribosomal protein S30	Genes overexpressed in MRD+
200927_s_at	AA919115	RAB14, member RAS oncogene family	Genes overexpressed in MRD+
202649_x_at	NM_001022	Ribosomal protein S19	Genes overexpressed in MRD+
200937_s_at	NM_000969	Ribosomal protein L5	Genes overexpressed in MRD+
211927_x_at	BE963164	Eukaryotic translation elongation factor 1 gamma	Genes overexpressed in MRD+
212773_s_at	BG165094	Translocase of outer mitochondrial membrane 20 homolog (yeast)	Genes overexpressed in MRD+
213890_x_at	AI200589	Ribosomal protein S16	Genes overexpressed in MRD+
208724_s_at	BC000905	RAB1A, member RAS oncogene family	Genes overexpressed in MRD+
200081_s_at	BE741754	Ribosomal protein S6	Genes overexpressed in MRD+
200005_at	NM_003753	Eukaryotic translation initiation factor 3, subunit 7 zeta, 66/67 kDa	Genes overexpressed in MRD+
217915_s_at	NM_016304	Chromosome 15 open reading frame 15	Genes overexpressed in MRD+
218268_at	NM_022771	TBC1 domain family, member 15	Genes overexpressed in MRD+
217747_s_at	NM_001013	Ribosomal protein S9	Genes overexpressed in MRD+
201259_s_at	AI768845	Synaptophysin-like 1	Genes overexpressed in MRD+
217719_at	NM_016091	Eukaryotic translation initiation factor 3, subunit 6 interacting protein	Genes overexpressed in MRD+
211937_at	NM_001417	Eukaryotic translation initiation factor 4B	Genes overexpressed in MRD+
218041_x_at	NM_018573	Solute carrier family 38, member 2	Genes overexpressed in MRD+
214351_x_at	AA789278	Ribosomal protein L13	Genes overexpressed in MRD+
221726_at	BE250348	Ribosomal protein L22	Genes overexpressed in MRD+
204102_s_at	NM_001961	Eukaryotic translation elongation factor 2	Genes overexpressed in MRD+
209510_at	AF064801	Ring finger protein 139	Genes overexpressed in MRD+
200024_at	NM_001009	Ribosomal protein S5	Genes overexpressed in MRD+
201337_s_at	NM_004781	Vesicle-associated membrane protein 3 (cellubrevin)	Genes overexpressed in MRD+
200632_s_at	NM_006096	N-myc downstream regulated gene 1	Genes overexpressed in MRD+
218084_x_at	NM_014164	FXYD domain containing ion transport regulator 5	Genes overexpressed in MRD+
212202_s_at	BG493972	DKFZP564G2022 protein	Genes overexpressed in MRD+
221646_s_at	AF267859	Zinc finger, DHHC-type containing 11	Genes overexpressed in MRD+
203544_s_at	NM_003473	Signal transducing adaptor molecule 1	Genes overexpressed in MRD+
218562_s_at	NM_018202	Transmembrane protein 57	Genes overexpressed in MRD+
206890_at	NM_005535	Interleukin 12 receptor, beta 1	Genes overexpressed in MRD+
204426_at	NM_006815	Coated vesicle membrane protein	Genes overexpressed in MRD+
208330_at	NM_021926	Aristaless-like homeobox 4	Genes overexpressed in MRD+
221718_s_at	M90360	A kinase (PRKA) anchor protein 13	Genes overexpressed in MRD+
209288_s_at	AL136842	CDC42 effector protein (Rho GTPase binding) 3	Genes overexpressed in MRD+
202393_s_at	NM_005655	Kruppel-like factor 10	Genes overexpressed in MRD+
209732_at	BC005254	C-type lectin domain family 2, member B	Genes overexpressed in MRD+
209795_at	L07555	CD69	Genes overexpressed in MRD+
212509_s_at	BF968134	Matrix-remodeling associated 7	Genes overexpressed in MRD+
209543_s_at	M81104	CD34	Genes overexpressed in MRD+
213075_at	AL050002	Olfactomedin-like 2A	Genes overexpressed in MRD+
201904_s_at	BF031714	CTD small phosphatase-like	Genes overexpressed in MRD+
215177_s_at	AV733308	Integrin, alpha 6	Genes overexpressed in MRD+
201325_s_at	NM_001423	Epithelial membrane protein 1	Genes overexpressed in MRD+
