U133 probe set	Gene description	Symbol	Location	GenBank Reference	Unigene Reference	Chi-square value	BCR-ABL above/ below	Fold change
201137_s_at	major histocompatibility complex, class II, DP beta 1	HLA-DPB1	6p21.3	NM_002121.1	Hs.814	100	Below	24.2
202113_s_at	sorting nexin 2	SNX2	5q23	AF043453.1	Hs.11183	100	Below	4.2
202114_at	sorting nexin 2	SNX2	5q23	NM_003100.1	Hs.11183	100	Below	4.7
203675_at	nucleobindin 2	NUCB2	11p15.1-p14	NM_005013.1	Hs.3164	100	Above	3.7
204670_x_at	major histocompatibility complex, class II, DR beta 3	HLA-DRB3	6p21.3	NM_002125.1	Hs.308026	100	Below	15.3
205297_s_at	CD79B antigen (immunoglobulin-associated beta)	CD79B	17q23	NM_000626.1	Hs.89575	100	Below	21.8
205456_at	CD3E antigen, epsilon polypeptide (TiT3 complex)	CD3E	11q23	NM_000733.1	Hs.3003	100	Above	20.8
206398_s_at	CD19 antigen	CD19	16p11.2	NM_001770.1	Hs.96023	100	Below	5693.6
208306_x_at	major histocompatibility complex, class II, DR beta 4	HLA-DRB4	6p21.3	NM_021983.2	Hs.318720	100	Below	9.8
208894_at	major histocompatibility complex, class II, DR alpha	HLA-DRA	6p21.3	M60334.1	Hs.76807	100	Below	27.5
209312_x_at	major histocompatibility complex, class II, DR beta 1	HLA-DRB1	6p21.3	U65585.1	Hs.375570	100	Below	14.6
209619_at	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	CD74	5q32	K01144.1	Hs.84298	100	Below	18.9
210116_at	SH2 domain protein 1A, Duncans disease (lymphoproliferative syndrome)	SH2D1A	Xq25-q26	AF072930.1	Hs.151544	100	Above	159
210982_s_at	major histocompatibility complex, class II, DR alpha	HLA-DRA	6p21.3	M60333.1	Hs.76807	100	Below	32.5
211990_at	major histocompatibility complex, class II, DP alpha 1	HLA-DPA1	6p21.3	M27487.1	Hs.914	100	Below	29.4
211991_s_at	major histocompatibility complex, class II, DP alpha 1	HLA-DPA1	6p21.3	M27487.1	Hs.914	100	Below	35.9
213539_at	CD3D antigen, delta polypeptide (TiT3 complex)	CD3D	11q23	NM_000732.1	Hs.95327	100	Above	37
214049_x_at	CD7 antigen (p41)	CD7	17q25.2-q25.3	AI829961	Hs.36972	100	Above	327.3
214551_s_at	CD7 antigen (p41)	CD7	17q25.2-q25.3	NM_006137.2	Hs.36972	100	Above	241.8
217147_s_at	T-cell receptor interacting molecule	TRIM	3q13	AJ240085.1	Hs.138701	100	Above	43.6
217478_s_at	MHC, class IIa, HLA-DMA	HLA-DMA		X76775		100	Below	14.1
221969_at	paired box gene 5 (B-cell lineage specific activator protein)	PAX5	9p13	BF510692	Hs.22030	100	Below	3922
227646_at	early B-cell factor	EBF	5q34	BG435302	Hs.32425	100	Below	79.2
229487_at	Homo sapiens cDNA FLJ39389			W73890	Hs.120785	100	Below	7685.7
229838_at	Homo sapiens cDNA FLJ39156			AI377271	Hs.376140	100	Above	13.4
232204_at	early B-cell factor	EBF	5q34	AF208502.1	Hs.32425	100	Below	7112.4
266_s_at	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24	6q21	L33930	Hs.286124	91.3	Below	135.5
39318_at	T-cell leukemia/lymphoma 1A	TCL1A	14q32.1	X82240	Hs.2484	91.3	Below	18114.7
203965_at	ubiquitin specific protease 20	USP20	9q34.12-q34.13	NM_006676.1	Hs.5452	91.3	Above	9.6
204891_s_at	lymphocyte-specific protein tyrosine kinase	LCK	1p34.3	NM_005356.1	Hs.1765	91.3	Above	14.3
205255_x_at	transcription factor 7 (T-cell specific, HMG-box)	TCF7	5q31.1	NM_003202.1	Hs.169294	91.3	Above	8.5
207655_s_at	B-cell linker	BLNK	10q23.2-q23.33	NM_013314.1	Hs.167746	91.3	Below	133.1
209771_x_at	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24	6q21	AA761181	Hs.286124	91.3	Below	51.5
211796_s_at	T cell receptor beta locus	TRB	7q34	AF043179.1	Hs.303157	91.3	Above	21.5
213792_s_at	insulin receptor	INSR	19p13.3-p13.2	AA485908	Hs.89695	91.3	Below	8.6
215193_x_at	major histocompatibility complex, class II, DR beta 3	HLA-DRB3	6p21.3	AJ297586.1	Hs.308026	91.3	Below	16.7
216379_x_at	KIAA1919 protein	KIAA1919	6q22.1	AK000168.1	Hs.381004	91.3	Below	56
219191_s_at	bridging integrator 2	BIN2	12q13	NM_016293.1	Hs.14770	91.3	Above	264.1
