Probe Set ID	Gene Title	Gene Symbol	Chromosomal Location
1405_i_at	chemokine (C-C motif) ligand 5	CCL5	17q11.2-q12
1478_at	IL2-inducible T-cell kinase	ITK	5q31-q32
32264_at	granzyme M (lymphocyte met-ase 1)	GZMM	19p13.3
32666_at	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	CXCL12	10q11.1
33238_at	lymphocyte-specific protein tyrosine kinase	LCK	1p34.3
36280_at	granzyme K (granzyme 3; tryptase II)	GZMK	5q11-q12
37219_at	chemokine (C-X-C motif) ligand 9	CXCL9	4q21
38147_at	SH2 domain protein 1A, Duncans disease (lymphoproliferative syndrome)	SH2D1A	Xq25-q26
38319_at	CD3d molecule, delta (CD3-TCR complex)	CD3D	11q23
39119_s_at	interleukin 32	IL32	16p13.3
39593_at	fibrinogen-like 2	FGL2	7q11.23
40757_at	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)	GZMA	5q11-q12
