Accession Number	Gene Name	Gene Symbol	Locus Link	Reporter Id	Golub score	Sign#
AA459901	MO25 protein	MO25	51719	809422	3.39682	+
BX095257	fatty-acid-Coenzyme A ligase, long-chain 3	FACL3	2181	310493	3.256252	+
H17228	engulfment and cell motility 1 (ced-12 homolog, C. elegans)	ELMO1	9844	51178	3.028104	-
H98621	Multiple Cluster Hits:78946&19306	CUL3 / RIC-8	8452, 60626	261481	2.935835	+
AA775355	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kDa)	XRCC5	7520	878676	2.786053	+
W52888	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1	SERPINB1	1992	338736	2.76467	-
AA459572	protein phosphatase 1, regulatory subunit 7	PPP1R7	5510	814508	2.75824	+
AA775355	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kDa)	XRCC5	7520	878676	2.696445	+
AA682533	tripin	TRIPIN	151246	431242	2.677823	+
H25917	actin related protein 2/3 complex, subunit 2, 34kDa	ARPC2	10109	162208	2.668469	+
W79511	KIAA0195 gene product	KIAA0195	9772	347031	2.556041	-
AA431749	discoidin, CUB and LCCL domain containing 1	DCBLD1	285761	782277	2.548763	-
AA159688	ecotropic viral integration site 2B	EVI2B	2124	593183	2.51179	+
W02976	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa	NDUFA10	4705	291341	2.508901	+
N68998	ATPase, Ca++ transporting, type 2C, member 1	ATP2C1	27032	289288	2.496607	-
AA621364	H. Sapiens transcribed sequences		0	1055146	2.409327	-
R83610	MAD, mothers against decapentaplegic homolog 1 (Drosophila)	MADH1	4086	187614	2.27421	-
AA406535	NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)	NDUFS1	4719	753457	2.238535	+
AA115248	H. Sapiens cDNA FLJ31353 fis, clone MESAN2000264.		0	501430	2.200375	+
R65792	enoyl Coenzyme A hydratase domain containing 1	ECHDC1	55862	140100	2.158973	+
AA159688	ecotropic viral integration site 2B	EVI2B	2124	593183	2.127422	+
AI927284	lectin, galactoside-binding, soluble, 1 (galectin 1)	LGALS1	3956	2461050	2.103897	+
AA029748	hypothetical protein FLJ21125	FLJ21125	79680	366783	2.091175	-
R19868	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	PIK3R1	5295	34184	2.052898	-
AA446108	endoglin (Osler-Rendu-Weber syndrome 1)	ENG	2022	774409	2.040232	-
BX093234	RecQ protein-like (DNA helicase Q1-like)	RECQL	5965	796365	2.039252	+
AI817699	sortilin-related receptor, L(DLR class) A repeats-containing	SORL1	6653	2413337	2.023264	-
AA449883	adaptor-related protein complex 1, sigma 2 subunit	AP1S2	8905	788641	1.953488	+
AA676899	N-terminal Asn amidase	LOC123803	123803	455179	1.941843	+
R54664	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1	SERPINB1	1992	154482	1.941174	-
AA453850	CASP8 and FADD-like apoptosis regulator	CFLAR	8837	813714	1.905075	+
AA888182	ribosomal protein S4, X-linked	RPS4X	6191	1492147	1.897956	-
BX096127	Pirin	PIR	8544	234237	1.8865	-
AA464406	ectonucleoside triphosphate diphosphohydrolase 6 (putative function)	ENTPD6	955	809815	1.876357	-
AA486275	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1	SERPINB1	1992	842836	1.864747	-
AA446108	endoglin (Osler-Rendu-Weber syndrome 1)	ENG	2022	774409	1.86313	-
AA487989	eukaryotic translation initiation factor 4E-like 3	EIF4EL3	9470	840556	1.835623	+
AI954844	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	ITGA5	3678	2550896	1.815218	-
AI302421	lectin-like NK cell receptor	LLT1	29121	1901749	1.803523	+
R52538	hypothetical gene supported by AF038182; BC009203	LOC90355	90355	39777	1.800399	-
R66816	chromosome 13 open reading frame 12	C13orf12	51371	140289	1.786935	+
AA666366	isocitrate dehydrogenase 1 (NADP+), soluble	IDH1	3417	859228	1.742201	+
AI682474	nuclear transport factor 2-like export factor 2	NXT2	55916	2322396	1.742128	+
N22178	Multiple Cluster Hits:380759&407833	C1D / FLJ32762	10438, 221016	254321	1.726949	+
AA488753	H. Sapiens mRNA for KIAA0981 protein, partial cds.		23058	824720	1.716302	+
H87459	H. Sapiens mRNA; cDNA DKFZp686L01105 (from clone DKFZp686L01105)		0	252491	1.700375	-
AA608568	cyclin A2	CCNA2	890	950690	1.699679	+
AA459213	polymyositis/scleroderma autoantigen 1, 75kDa	PMSCL1	5393	814270	1.697292	+
W76032	preimplantation protein 3	PREI3	25843	345423	1.686421	+
T94169	mitogen-activated protein kinase 8	MAPK8	5599	119133	1.676366	+
