Affy-ID	gene	chromosomal locus	expression with respect to all cases	expression with respect to cases with +11 and normal
215831_at	PRO1621	11	absent in all cases	absent in all cases
215837_x_at	PRO1621	11	present at least in one case	absent in all cases
212161_at	AP2A2	11	present at least in one case	present at least in one case
223707_at	MGC10850	11	present at least in one case	present at least in one case
216028_at	DKFZP564C152	11	present at least in one case	present at least in one case
227114_at	DKFZp547C195	11	present at least in one case	present at least in one case
215764_x_at	AP2A2	11	present at least in one case	present at least in one case
212159_x_at	AP2A2	11	present at least in one case	present at least in one case
211779_x_at	AP2A2	11	present at least in one case	present at least in one case
212203_x_at	IFITM3	11	present at least in one case	present at least in one case
203545_at	MGC2840	11pter-p15.5	present at least in one case	present at least in one case
222216_s_at	MRPL17	11p15.5-p15.4	absent in all cases	absent in all cases
214133_at	MUC6	11p15.5-p15.4	present at least in one case	present at least in one case
200908_s_at	RPLP2	11p15.5-p15.4	present at least in one case	present at least in one case
213897_s_at	MRPL23	11p15.5-p15.4	present at least in one case	present at least in one case
201234_at	ILK	11p15.5-p15.4	present at least in one case	present at least in one case
203175_at	ARHG	11p15.5-p15.4	present at least in one case	present at least in one case
201463_s_at	TALDO1	11p15.5-p15.4	present at least in one case	present at least in one case
200909_s_at	RPLP2	11p15.5-p15.4	present at least in one case	present at least in one case
201426_s_at	RPLP2	11p15.5-p15.4	present at least in one case	present at least in one case
207022_s_at	LDHC	11p15.5-p15.3	present at least in one case	present at least in one case
217981_s_at	FXC1	11p15.5-p15.3	present at least in one case	present at least in one case
222481_at	FXC1	11p15.5-p15.3	present at least in one case	present at least in one case
204673_at	MUC2	11p15.5	absent in all cases	absent in all cases
204910_s_at	TRIM3	11p15.5	absent in all cases	absent in all cases
204911_s_at	TRIM3	11p15.5	absent in all cases	absent in all cases
205693_at	TNNT3	11p15.5	absent in all cases	absent in all cases
206097_at	SLC22A1LS	11p15.5	absent in all cases	absent in all cases
206598_at	INS	11p15.5	absent in all cases	absent in all cases
207607_at	ASCL2	11p15.5	absent in all cases	absent in all cases
208291_s_at	TH	11p15.5	absent in all cases	absent in all cases
210737_at	TUB	11p15.5	absent in all cases	absent in all cases
210881_s_at	IGF2	11p15.5	absent in all cases	absent in all cases
211217_s_at	KCNQ1	11p15.5	absent in all cases	absent in all cases
213862_at		11p15.5	absent in all cases	absent in all cases
213884_s_at	TRIM3	11p15.5	absent in all cases	absent in all cases
219533_at	CDKN1C	11p15.5	absent in all cases	absent in all cases
219796_s_at	MUCDHL	11p15.5	absent in all cases	absent in all cases
220074_at	MUCDHL	11p15.5	absent in all cases	absent in all cases
220075_s_at	MUCDHL	11p15.5	absent in all cases	absent in all cases
220470_at	BET1L	11p15.5	absent in all cases	absent in all cases
220514_at	PRO0943	11p15.5	absent in all cases	absent in all cases
220561_at	IGF2AS	11p15.5	absent in all cases	absent in all cases
220629_at	HSA404617	11p15.5	absent in all cases	absent in all cases
222546_s_at	EPS8R2	11p15.5	absent in all cases	absent in all cases
223715_at	STK29	11p15.5	absent in all cases	absent in all cases
223935_at	TRPM5	11p15.5	absent in all cases	absent in all cases
224348_s_at	PRO2605	11p15.5	absent in all cases	absent in all cases
227886_at	LOC196214	11p15.5	absent in all cases	absent in all cases
228883_at	TUB	11p15.5	absent in all cases	absent in all cases
229020_x_at	EPS8R2	11p15.5	absent in all cases	absent in all cases
229494_s_at	TSSC3	11p15.5	absent in all cases	absent in all cases
230059_at	DEAF1	11p15.5	absent in all cases	absent in all cases
232554_at	DKFZp761L1518	11p15.5	absent in all cases	absent in all cases
232802_at	SYT8	11p15.5	absent in all cases	absent in all cases
236188_s_at	NAP1L4	11p15.5	absent in all cases	absent in all cases
240982_at	CARS	11p15.5	absent in all cases	absent in all cases
204486_at	KCNQ1	11p15.5	present at least in one case	absent in all cases
221198_at	SCT	11p15.5	present at least in one case	absent in all cases
228882_at	TUB	11p15.5	present at least in one case	absent in all cases
204927_at	C11orf13	11p15.5	present at least in one case	absent in all cases
215010_s_at	STK29	11p15.5	present at least in one case	present at least in one case
233795_at	ODF3	11p15.5	present at least in one case	present at least in one case
224350_at	HBG1	11p15.5	present at least in one case	present at least in one case
209264_s_at	TM4SF7	11p15.5	present at least in one case	present at least in one case
221913_at	SIRT3	11p15.5	present at least in one case	present at least in one case
202410_x_at	IGF2	11p15.5	present at least in one case	present at least in one case
221562_s_at	SIRT3	11p15.5	present at least in one case	present at least in one case
218180_s_at	EPS8R2	11p15.5	present at least in one case	present at least in one case
208431_s_at	TUB	11p15.5	present at least in one case	present at least in one case
221329_at	OR52A1	11p15.5	present at least in one case	present at least in one case
