Accession Number	Gene Name	Gene Symbol	Locus Link	Reporter Id	Golub score	Sign#
AA437140	hypothetical protein DKFZp434L0718	DKFZP434L0718	84079	757383	3.232097	-
AA778198	pre-B-cell leukemia transcription factor 3	PBX3	5090	448386	2.779403	-
AA486946	myotrophin	MTPN	136319	841067	2.343406	-
W78928	galactosylceramidase (Krabbe disease)	GALC	2581	415698	2.122056	-
AA707086	hypothetical protein FLJ30525	FLJ30525	113802	451587	1.86317	-
H28344	transcription elongation factor A (SII), 1	TCEA1	6917	163174	1.860439	-
AA778198	pre-B-cell leukemia transcription factor 3	PBX3	5090	448386	1.850547	-
BX108728	TATA box binding protein (TBP)-associated factor, RNA polymerase I, B, 63kDa	TAF1B	9014	135338	1.848972	-
AA666312	vesicle-associated membrane protein 1 (synaptobrevin 1)	VAMP1	6843	859192	1.844748	-
AA609348	KIAA1576 protein	KIAA1576	57687	743426	1.745862	-
R25823	Multiple Cluster Hits:278544&4112	ACAT2 / TCP1	39, 6950	36393	1.725442	+
BX099329	DNA segment on chromosome 12 (unique) 2489 expressed sequence	D12S2489E	22914	725473	1.720428	-
AA459909	6-pyruvoyl-tetrahydropterin synthase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1)	PCBD	5092	809421	1.66479	-
AA936138	BH3 interacting domain death agonist	BID	637	1551267	1.662652	-
AA406456	cell division cycle associated 7	CDCA7	83879	753198	1.658747	-
W48726	pre-B-cell leukemia transcription factor 3	PBX3	5090	325014	1.572066	-
R09869	Hermansky-Pudlak syndrome 4	HPS4	89781	128245	1.570918	+
AA489961	F-box only protein, helicase, 18	FBXO18	84893	839941	1.549594	-
AA459589	tumor protein p53 inducible nuclear protein 1	TP53INP1	94241	814528	1.546959	-
T76940	RAB2, member RAS oncogene family	RAB2	5862	23318	1.513145	+
BX094942	H. Sapiens transcribed sequence . weak similarity to ref:NP_060312.1 (H.sapiens) hypothetical protein FLJ20489 [H. Sapiens]		0	128561	1.499524	+
BX106676	sin3-associated polypeptide, 30kDa	SAP30	8819	502142	1.478425	-
H28344	transcription elongation factor A (SII), 1	TCEA1	6917	163174	1.465934	-
