Oligo ID	Gene ID	Accession Number	Gene Symbol	Gene Name	IM-R:M	PD-R:M	IM-R:B	PD-R: B
71217	283463, 730517	XM_497341, XM_001724478, NM_000610;NM_001001389;	MUC19, LOC730517	Mucin 19, oligomeric, Similar to MUC19	3,98	1,19	17,60	5,33
52452	960	NM_001001392;NM_001001390, NM_001001391	CD44	CD44 antigen (homing function and Indian blood group system)	2,79	3,07	16,03	16,45
39258	64411	NM_022481	CENTD3	Centaurin, delta 3	1,50	1,58	16,34	15,13
82344	169981	NM_001010862	SPIN3	Spindlin family, member 3	1,90	0,03	16,04	-6,62
87691	943	NM_152942;NM_001243	TNFRSF8	Tumor necrosis factor receptor superfamily, member 8	-1,79	-1,28	15,94	12,42
92255	4072	NM_002354	TACSTD1	Tumor-associated calcium signal transducer 1	-2,29	-3,94	12,35	15,72
86155	1278	NM_000089	COL1A2	Collagen, type I, alpha 2	0,32	2,40	-2,64	15,71
146077	93653	AF400039	ST7OT1	ST7OT1 mRNA, non-coding transcript.	1,69	0,83	15,36	7,80
56542	547	NM_004321	KIF1A	Kinesin family member 1A	0,43	1,76	2,94	15,34
94359	231	NM_001628	AKR1B1	Aldo-keto reductase family 1, member B1 (aldose reductase)	3,43	2,76	14,92	13,77
8514	9459	NM_004840	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6	1,45	1,07	14,77	10,55
108876	6899	NM_080647	TBX1	T-box 1	-1,95	-1,50	14,13	12,63
96875	8091	NM_003483;NM_001015886	HMGA2	High mobility group AT-hook 2	3,49	4,32	11,97	13,93
107586	5376	NM_153322;NM_153321; NM_000304	PMP22	Peripheral myelin protein 22	0,88	1,31	11,27	13,63
21438	23462	NM_012258;NM_001040708	HEY1	Hairy/enhancer-of-split related with YRPW motif 1	3,17	2,00	12,95	7,85
16511	4837	NM_006169	NNMT	Nicotinamide N-methyltransferase	1,13	1,40	9,99	12,17
11214	6894	NM_005646; NM_000610, NM_001001389	TARBP1	TAR (HIV) RNA binding protein 1	-0,82	-0,96	11,13	12,11
88479	960	NM_001001392;NM_001001390, NM_001001391	CD44	CD44 antigen (homing function and Indian blood group system)	3,16	3,13	12,02	11,94
18800	51480;425 054;51481; 26609	NM_016378, NM_001001888, NM_016379, NM_013452	VCX2	Variable charge, X-linked	2,42	1,54	11,96	6,75
89431	2697	NM_000165	GJA1	Gap junction protein, alpha 1, 43kda (connexin 43)	2,91	1,41	11,79	3,82
164220	55630	NM_130849	SLC39A4	Solute carrier family 39 (zinc transporter), member 4	-0,82	-0,20	11,71	-2,48
3974	8712	NM_003785	PAGE1	P antigen family, member 1 (prostate associated)	-1,13	-0,83	11,50	6,91
13575	8406	NM_006307	SRPX	Sushi-repeat-containing protein, X-linked	1,56	1,38	11,14	8,66
78771	90826	NM_138364	LOC90826	Hypothetical protein BC004337	0,44	1,17	0,72	10,88
97074	8519	NM_003641	IFITM1	Interferon induced transmembrane protein 1	-1,41	-1,37	10,84	9,85
28514	55013	NM_017918	CCDC109B	Coiled-coil domain containing 109B	1,70	0,91	10,75	3,48
5913	2040	NM_004099;NM_198194	STOM	Stomatin	1,93	2,03	10,68	9,10
9100	2660	NM_005259	GDF8	Growth differentiation factor 8	1,61	0,13	10,47	-6,13
10328	5649	NM_005045;NM_173054	RELN	Reelin	-2,19	-2,38	9,57	10,34
98987	5645	NM_002770	PRSS2	Protease, serine, 2 (trypsin 2)	1,40	2,13	6,39	10,23
98835	5292	NM_002648	PIM1	Pim-1 oncogene	-1,59	-1,27	10,21	7,65
66546		AF289566	AF289566	Clone pp6455	0,71	0,09	10,00	-5,53
50203	84856	NM_032770	MGC16291	Hypothetical protein MGC16291	1,12	1,20	9,26	9,91
35372	288	NM_020987;NM_001149	ANK3	Ankyrin 3, node of Ranvier (ankyrin G)	2,29	1,90	9,80	7,83
37393	8877	NM_021972;NM_182965	SPHK1	Sphingosine kinase 1 Cdna FLJ35461 fis, clone SMINT2004992,	-0,98	-0,74	9,68	6,56
159094		AK092780	LOC284958	moderately similar to CYTOSOLIC PURINE 5-NUCLEOTIDASE (EC 3.1.3.5).	1,30	0,69	9,65	3,03
74105	79993	NM_024930	ELOVL7	ELOVL family member 7, elongation of long chain fatty acids (yeast)	1,47	1,54	8,38	9,59
91147	26748	NM_001477	GAGE7B	G antigen 7B	-0,20	-1,06	-4,46	9,56
16999	7980	NM_006528	TFPI2	Tissue factor pathway inhibitor 2	3,03	1,14	9,54	-0,59
171755	6322;1038 9	NM_001037535;NM_0010375 36;NM_001037540;NM_0060 89; NM_006746	SCML2	Sex comb on midleg-like 1 (Drosophila)	-0,77	-0,81	9,04	9,50
8771	5169	NM_005021	ENPP3	Ectonucleotide pyrophosphatase/phosphodiesterase 3	0,98	0,55	9,44	4,91
90173	915	NM_001040651;NM_000732	CD3D	CD3D antigen, delta polypeptide (tit3 complex)	0,81	1,40	3,44	9,38
58026	113763	NM_138434	C7orf29	Chromosome 7 open reading frame 29	1,89	0,72	9,35	-0,42
1599	57460	NM_020700	PPM1H	Protein phosphatase 1H (PP2C domain containing)	-0,85	-0,50	9,07	3,55
83840	285533	NM_173662	RNF175	Ring finger protein 175	-1,47	-1,04	9,05	4,47
78366	359845	NM_182705	FAM101B	Family with sequence similarity 101, member B	1,51	1,55	9,03	8,73
47098	27086	NM_032682	FOXP1	Forkhead box P1	-1,52	-1,85	6,82	8,98
88404	963	NM_001040033;NM_000560	CD53	CD53 antigen	-1,51	-0,24	8,94	-5,21
83434	948	NM_001001547;NM_0010015 48;NM_000072	CD36	CD36 antigen (collagen type I receptor, thrombospondin receptor)	1,81	1,51	8,84	6,82
63486	128272	NM_153213	ARHGEF19	Rho guanine nucleotide exchange factor (GEF) 19	0,81	0,25	8,84	-1,77
94119	2000	NM_001421	ELF4	E74-like factor 4 (ets domain transcription factor)	-0,75	-0,67	8,68	5,58
47873	834;11476 9	NM_033292;NM_001017534;NM_052889;NM_001223	CASP1	Caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	1,28	0,45	8,65	-1,76
97423	5590	NM_001033581;NM_002744; NM_001033582	PRKCZ	Protein kinase C, zeta Immunoglobulin epsilon chain membrane-bound	0,76	0,24	8,44	-2,18
146621		S55277	S55277	form (3 region, C4 non-coding region, M:D, alternatively spliced, membrane domain exon 1)	0,11	0,78	-5,50	8,42
17072	10682	NM_006579	EBP	Emopamil binding protein (sterol isomerase)	-0,97	-0,54	8,32	2,10
114690	84861	NM_032775	KLHL22	Kelch-like 22 (Drosophila)	0,94	0,54	8,27	2,76
14971	4922	NM_006183	NTS	Neurotensin	2,42	0,27	8,16	-5,86
18756	5866	NM_013401	RAB3IL1	RAB3A interacting protein (rabin3)-like 1	-0,87	-0,43	8,08	-0,93
181621	148713	NR_002930	PTPRV	Protein tyrosine phosphatase, receptor type, V (pseudogene)	0,86	0,88	8,05	6,61
21718	6866	NM_001006667;NM_013251	TAC3	Tachykinin 3 (neuromedin K, neurokinin beta)	1,45	0,03	7,98	-6,54
146711	6444	AF010236	AF010236	mRNA from chromosome 5q31-33 region.	-1,45	0,63	7,93	-1,16
34411	55536	NM_018719	CDCA7L	Cell division cycle associated 7-like	0,50	1,08	0,41	7,89
81400	10079	NM_006045	ATP9A	Atpase, Class II, type 9A	2,38	2,76	6,98	7,87
94602	1001	NM_001793	CDH3	Cadherin 3, type 1, P-cadherin (placental)	0,70	1,00	5,40	7,84
94674	1284	NM_001846	COL4A2	Collagen, type IV, alpha 2	-1,15	-0,63	7,83	1,48
23814	50814	NM_015922	NSDHL	NAD(P) dependent steroid dehydrogenase-like	-0,86	-0,37	7,82	-0,31
83352	154	NM_000024	ADRB2	Adrenergic, beta-2-, receptor, surface	1,05	0,75	7,80	4,03
7005	8601	NM_170587;NM_003702	RGS20	Regulator of G-protein signalling 20	1,60	1,31	7,75	5,57
82243	554207	BC031469	LOC554207	Hypothetical LOC554207	1,15	0,35	7,72	-2,86
107947	1788	NM_175629;NM_153759; NM 022552	DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	-0,70	-0,41	7,71	0,98
101323	558	NM_001699;NM_021913	AXL	AXL receptor tyrosine kinase	1,80	1,55	7,65	6,00
141222	85411	NM_033069	C6orf114	Chromosome 6 open reading frame 114 (c6orf114)	0,77	0,27	7,64	-2,03
90718	174	NM_001134	AFP	Alpha-fetoprotein	0,81	-0,12	7,62	-5,55
155523	652995	AK092401	UCA1	Urothelial cancer associated 1	-1,02	-0,59	7,60	1,80
16524	4900	NM_006176	NRGN	Neurogranin (protein kinase C substrate, RC3)	1,17	1,01	7,57	5,11
67947	171483	NM_205849	FAM9B	Family with sequence similarity 9, member B	0,97	0,31	7,55	-3,20
149283	115123	NM_178450	3-Mar	Membrane-associated ring finger (C3HC4) 3	0,80	0,75	7,45	6,71
55140	140469	NM_138995	MYO3B	Myosin IIIB	1,22	1,70	3,86	7,42
78673	284942	BC019348;BC010172	MGC70863	Similar to RPL23AP7 protein	1,03	0,47	7,38	-0,73
154485		BC038541	BC038541	Clone IMAGE:5190399	-0,79	-0,82	6,91	7,35
36086	54438	NM_018988	GFOD1	Glucose-fructose oxidoreductase domain containing 1	0,69	0,98	2,75	7,27
43290	83982	NM_032036	FAM14A	Family with sequence similarity 14, member A	1,19	0,50	7,23	-1,20
93968	4717	NM_002494	NDUFC1	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1, 6kda	0,29	1,57	-5,33	7,23
116113	5742	NM_080591;NM_000962	PTGS1	Prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	1,04	1,24	5,94	7,06
176447	706	NM_007311;NM_000714	BZRP	Benzodiazapine receptor (peripheral)	-0,94	-0,30	6,94	-3,16
153614		AF146695	AF146695	Clone IMAGE:120162	0,61	1,08	1,00	6,90
135156	161502	NM_173528; NM_001024212;NM_005979;	C15orf26	Chromosome 15 open reading frame 26 (c15orf26)	0,84	0,55	6,81	2,21
10011	6284	NM_001024211;NM_001024210; NM_001024213	S100A13	S100 calcium binding protein A13	0,85	0,55	6,80	2,21
5840	767	NM_004056	CA8	Carbonic anhydrase VIII	-1,08	-0,25	6,71	-4,60
71793	54625	NM_017554	PARP14	Poly (ADP-ribose) polymerase family, member 14	-0,22	-0,89	-4,46	6,67
6292	1627	NM_080881;NM_004395	DBN1	Drebrin 1	1,26	0,81	6,64	1,55
79438	91461	NM_138370	LOC91461	Hypothetical protein BC007901	2,15	0,87	6,64	-1,76
55231	221120	NM_139178	DEPC-1	Prostate cancer antigen-1	0,34	0,87	-2,20	6,59
14861	10397	NM_006096	NDRG1	N-myc downstream regulated gene 1	2,16	2,06	6,57	6,06
100107	8507	NM_003633	ENC1	Ectodermal-neural cortex (with BTB-like domain)	1,89	0,86	6,55	-1,52
57591	94121	NM_080737	SYTL4	Synaptotagmin-like 4 (granuphilin-a)	0,72	0,64	6,54	5,17
11912	5293	NM_005026	PIK3CD	Phosphoinositide-3-kinase, catalytic, delta polypeptide	-1,21	-1,23	6,31	6,53
37645	64215	NM_022365	DNAJC1	Dnaj (Hsp40) homolog, subfamily C, member 1	-0,99	-0,91	6,48	5,60
14464	7737	NM_006978	RNF113A	Ring finger protein 113A	1,93	0,88	6,43	-1,09
17201	10874	NM_006681	NMU	Neuromedin U	-1,09	-1,10	5,78	6,39
18357	25790	NM_012337	CCDC19	Coiled-coil domain containing 19	0,96	0,79	6,37	4,28
128795	56952	NM_020200	PRTFDC1	Phosphoribosyl transferase domain containing 1	0,42	0,71	1,70	6,23
135868	11013	NM_021992	TMSL8	Thymosin-like 8	0,75	0,32	6,14	-2,23
12925	10217	NM_001008392;NM_005808	CTDSPL	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like	1,87	1,45	6,12	2,62
29206	51480	NM_016378	VCX2	Variable charge, X-linked 2	1,24	0,84	6,04	1,28
9979	4299	NM_005935	AFF1	AF4/FMR2 family, member 1	0,10	-0,88	-6,19	6,01
104557	119	NM_017486;NM_017485	ADD2	Adducin 2 (beta)	-0,35	-0,99	-2,02	6,00
103719	23462	NM_012258;NM_001040708	HEY1	Hairy/enhancer-of-split related with YRPW motif 1	0,66	0,77	5,72	5,98
104757	1893	NM_004425;NM_022664	ECM1	Extracellular matrix protein 1	1,19	0,66	5,97	0,11
55284	246184	NM_139286	CDC26	Cell division cycle 26	0,62	0,82	2,24	5,95
81605	55450	NM_018584	CAMK2N1	Calcium/calmodulin-dependent protein kinase II inhibitor 1	1,37	0,47	5,94	-3,17
