Accession Number	Gene Name	Gene Symbol	Locus Link	Reporter Id	Golub score	Sign#
R93767	Hs clone FBD3 Cri-du-chat critical region mRNA		0	197765	4.065616	-
T57609	histidine triad nucleotide binding protein 1	HINT1	3094	75415	3.72057	-
H11139	protein kinase C, delta	PRKCD	5580	47306	3.579726	+
AA676899	N-terminal Asn amidase	LOC123803	123803	455179	3.477506	+
AI025015	neural precursor cell expressed, developmentally down-regulated 5	NEDD5	4735	1631713	3.405514	+
AA449883	adaptor-related protein complex 1, sigma 2 subunit	AP1S2	8905	788641	3.384406	+
AW007636	ubiquinol-cytochrome c reductase core protein II	UQCRC2	7385	2511553	3.328073	+
AA448400	plectin 1, intermediate filament binding protein 500kDa	PLEC1	5339	781362	3.268368	-
W79511	KIAA0195 gene product	KIAA0195	9772	347031	3.224516	-
T99645	potassium channel tetramerisation domain containing 5	KCTD5	54442	123405	3.211695	+
AA460570	tripartite motif-containing 44	TRIM44	54765	795828	3.167961	-
AA862434	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2)	PSMB9	5698	1456118	3.163405	+
AA456324	dimethylarginine dimethylaminohydrolase 1	DDAH1	23576	813187	3.15263	-
AA775355	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kDa)	XRCC5	7520	878676	3.126318	+
AI017398	amiloride-sensitive cation channel 2, neuronal	ACCN2	41	1635320	3.117262	-
AA663058	ubiquinol-cytochrome c reductase core protein II	UQCRC2	7385	852520	3.071747	+
AI280139	zinc finger protein	AF020591	27300	1854323	3.00688	-
W56360	myeloid leukemia factor 1	MLF1	4291	340722	2.964533	-
AA704718	core-binding factor, runt domain, a subunit 2; translocated to, 1; cyclin D-related	CBFA2T1	862	450948	2.94049	-
H23535	Williams-Beuren syndrome chromosome region 5	WBSCR5	7462	52119	2.928955	+
AA464246	major histocompatibility complex, class I, C	HLA-C	3107	810142	2.923098	+
AI950312	methylmalonyl Coenzyme A mutase	MUT	4594	2464234	2.907653	+
AA676907	hypothetical protein FLJ10652	FLJ10652	55196	455204	2.890396	+
W32907	Hs similar to My016 protein (LOC339088), mRNA		339088	321605	2.857858	+
N54672	KIAA0114 gene product	KIAA0114	57291	283173	2.841123	-
AW073304	leucine rich repeat (in FLII) interacting protein 1	LRRFIP1	9208	2556457	2.822846	+
AA486942	capping protein (actin filament), gelsolin-like	CAPG	822	841059	2.816567	+
AA864479	proteasome (prosome, macropain) subunit, beta type, 5	PSMB5	5693	1460110	2.809904	-
R19868	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 (p85  )	PIK3R1	5295	34184	2.798491	-
BX098567	platelet/endothelial cell adhesion molecule (CD31 antigen)	PECAM1	5175	130541	2.748083	+
W74293	hypothetical protein MGC20262	MGC20262	138311	346545	2.730308	-
AA453789	Multiple Cluster Hits:90572&150684	PTK7 / XPO6	5754, 23214	813742	2.66436	-
AA480952	cisplatin resistance related protein CRR9p	CRR9	81037	814584	2.637143	-
W03469	catenin (cadherin-associated protein), delta 1	CTNND1	1500	291908	2.61256	+
AA455399	par-6 partitioning defective 6 homolog gamma (C. elegans)	PARD6G	84552	812161	2.606975	-
AA016290	retinoblastoma binding protein 6	RBBP6	5930	361239	2.597899	+
H94670	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	YWHAZ	7534	243238	2.547841	+
AA775355	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kDa)	XRCC5	7520	878676	2.530088	+
AA148532	Multiple Cluster Hits:375206&350229	MGC4655	84752, 339287	491527	2.506682	-
AA158345	nuclear ubiquitous casein kinase and cyclin-dependent kinase substrate	NUCKS	64710	591095	2.483816	+
AA598533	polyadenylate binding protein-interacting protein 1	PAIP1	10605	897813	2.468016	-
W52888	serine(or cysteine) proteinase inhibitor, clade B (ovalbumin), member1	SERPINB1	1992	338736	2.464826	-
