Affymetrix probe-set	No. in Fig. 2	Symbol	Gene	(Hypothetical) function	RefSeq	CRE probability score
38327_at	1	SILV	Silver homolog (mouse)	Pigmentation	NM_006928	0.07
32242_at	2	CRYAB	Crystallin, alpha B	Chaperon	NM_001885	No
41158_at	3	PLP1	Proteolipid protein 1 (Pelizaeus-Merzbacher disease, spastic paraplegia 2, uncomplicated)	Neural	NM_000533	No
37625_at	4	IRF4	IFN regulatory factor 4	DNA-binding	NM_002460	0.1
34922_at	5	CDH19	Cadherin 19, type 2	Cell adhesion	NM_021153	No
35367_at	6	LGALS3	Lectin, galactoside-binding, soluble, 3 (galectin 3)	Cell adhesion	NM_002306	No
36040_at	7	SH3BGR	SH3 domain-binding glutamic acid-rich protein	SH3/SH2 adaptor protein activity	NM_007341	0.12
36800_at	8	OCA2	Oculocutaneous albinism II (pink-eye dilution homolog, mouse)	Pigmentation	NM_000275	No
35817_at	9	MBP	Myelin basic protein	Neural	NM_002385	No
32112_s_at	10	AIM1	Absent in melanoma 1	Cell adhesion		n.a.
37701_at	11	RGS2	Regulator of G-protein signalling 2, 24kDa	GTPase activator	NM_002923	0.11
40671_g_at	12	KYNU	Kynureninase (L-kynurenine hydrolase)	Amino acid metabolism	NM_003937	No
33442_at	13	KIAA0367	KIAA0367 protein			n.a.
39301_at	14	CAPN3	Calpain 3, (p94)	Protease	NM_000070	No
33193_at	15	KIAA1001	Hypothetical protein FLJ10055	Sulfuric ester hydrolase	NM_014960	No
32154_at	16	TFAP2A	Transcription factor AP-2 alpha (activating enhancer binding protein 2  alpha)	DNA-bind	NM_003220	No
610_at	17	ADRB2	Adrenergic,  Beta-2-, receptor, surface	cyclic AMP signaling	NM_000024	No
1202_g_at	18	RAB33A	RAB33A, member RAS oncogene family	Small GTPase mediated signal transduction	NM_004794	No
36018_at	19	SOX10	SRY (sex determining region Y)-box 10	DNA-binding	NM_006941	No
38119_at	20	GYPC	Glycophorin C (Gerbich blood group)	Membrane stability	NM_002101	No
32787_at	21	ERBB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	Transmembrane receptor protein tyrosine kinase signaling	NM_001982	No
38228_g_at	22	MITF	Microphthalmia-associated transcription factor	Pigmentation	NM_000248	No
32083_at	23	TM7SF1	Transmembrane 7 superfamily member 1 (upregulated in kidney)	Membrane	NM_003272	0.25
39690_at	24	ALP	alpha-Actinin-2-associated LIM protein	Motor protein	NM_014476	0.33
32066_g_at	25	CREM	CRE modulator	cAMP-dependent gene transcription	NM_001881	0.12
31901_at	26	KCNAB2	Potassium voltage-gated channel, shaker-related subfamily, Beta member 2	Neural ion channel	NM_003636	0.28
39424_at	27	TNFRSF14	Tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	Cell signaling	NM_003820	No
226_at	28	PRKAR1A	Protein kinase, cAMP dependent, regulatory, type I, alpha (tissue-specific extinguisher 1)	cAMP-dependent protein kinase, regulator activity	NM_002734	No
33439_at	29	SNF1LK	SNF1-like kinase	Protein kinase	NM_030751	No
32962_at	30	CTH	Cystathionase (cystathionine gamma-lyase)	Amino acid metabolism	NM_001902	0.28
35966_at	31	QPCT	Glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	Protein modification	NM_012413	No
36014_at	32	GPR126	G protein-coupled receptor 126	G protein coupled neuropeptide receptor activity		n.a.
33141_at	33	HSD17B1	Hydroxysteroid (17- Beta) dehydrogenase 1	Steroid metabolism	NM_000413	No
37914_at	34	ENDOFIN	Endosome-associated FYVE-domain protein	Endosome	NM_014733	No
41549_s_at	35	AP1S2	Adaptor-related protein complex 1, sigma 2 subunit	Endocytosis	NM_003916	No
34693_at	36	STHM	Sialyltransferase	Protein glycosylation	NM_006456	No
595_at	37	TNFAIP3	Tumor necrosis factor,  alpha-induced protein 3	DNA-binding	NM_006290	0.53
38104_at	38	DECR1	2,4-Dienoyl CoA reductase 1, mitochondrial	Lipid metabolism	NM_001359	No
40147_at	39	VATI	Vesicle amine transport protein 1 homolog (T californica)	Neural	NM_006373	No
32186_at	40	SLC7A5	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	Amino acid uptake	NM_003486	0.07
40841_at	41	TACC1	Transforming, acidic coiled-coil containing protein 1	Embryogenesis	NM_006283	No
540_at	42	HSPB2	Heat shock 27kDa protein 2	Heat shock	NM_001541	0.2
38110_at	43	SDCBP	Syndecan binding protein (syntenin)	Cell signaling	NM_005625	No
37544_at	44	NFIL3	Nuclear factor, interleukin 3 regulated	DNA-binding	NM_005384	No
36938_at	45	ASAH1	N-Acylsphingosine amidohydrolase (acid ceramidase) 1	Lipid metabolism	NM_004315	No
33532_at	46	CART1	Cartilage paired-class homeoprotein 1	Chondrocyte differentiation	NM_006982	No
40876_at	47	GYG	Glycogenin	Carbohydrate metabolism	NM_004130	No
506_s_at	48	STAT5A	Signal transducer and activator of transcription 5A	DNA-binding	NM_003152	No
36168_at	49	FGFR1	Fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	Cell signaling		n.a.
33452_at	50	PLAT	Plasminogen activator, tissue	Extracellular matrix	NM_000930	No
41320_s_at	51	LRRFIP1	Leucine rich repeat (in FLII) interacting protein 1	Transcriptional regulation	NM_004735	No
37272_at	52	ITPKB	Inositol 1,4,5-trisphosphate 3-kinase B	Cell signaling	NM_002221	No
32563_at	53	ATP1B3	ATPase, Na+/K+ transporting, Beta 3 polypeptide	Na/K transport	NM_001679	No
1833_at	54	CDK2	Cyclin-dependent kinase 2	Cyclin-dependent protein kinase activity	NM_001798	0.29
