HUGO ID	Description	Significance Analysis of Microarrays rank	3q band
FLJ39749	Hypothetical protein	6	29
MYNN	Myoneurin zinc finger protein	9	26.2
RFC4	Replication factor C4	16	27.3
EHHADH	Enoyl-CoA	19	27.2
MGC15397	Hypothetical protein	21	28
TFDP2	Transcription factor Dp-2 (E2F dimerization partner 2)	30	23
MGC64882	Hypothetical protein	32	29
NDUFB5	NADH dehydrogenase 1 hsubcomplex, 5	33	26.3
OPA1	Optic atrophy 1	38	28-29
RAP2B	Ras-related GTPase	47	25.2
FLJ35794	Hypothetical protein	49	29
HES1	Hairy and enhancer of split 1	50	29
FLJ10560	Hypothetical protein	54	28
SMARCA3	Actin-dependent regulator of chromatin	60	25.1
EIF2B5	Subunit 5q for eukaryotic translation initiation factor 2B	61	27.1
ACTL6	Actin-like protein 6A	65	26.3
PDCD10	Programmed cell death 10	67	26.2
POLR2H	Polymerase (RNA) II (DNA directed) polypeptide H	77	28
