Affy ID	Experiment	Control	T score	P value	fold change	annotation
204127_at	8534.8475	15498.01	-10.500978	0	0.577787	gb:BC000149.2 /DB_XREF=gi:12803002 /FEA=FLmRNA /CNT=89 /TID=Hs.115474.0 /TIER=FL /STK=0 /UG=Hs.115474 /LL=5983 /UG_GENE=RFC3 /DEF=Homo sapiens, replication factor C (activator 1) 3 (38kD), clone MGC:5276, mRNA, complete cds. /PROD=replication factor C (activator 1) 3 (38kD) /FL=gb:BC000149.2 gb:L07541.1 gb:NM_002915.1
204128_s_at	5563.99375	10893.75	-9.883791	0	0.544567	gb:NM_002915.1 /DB_XREF=gi:4506488 /GEN=RFC3 /FEA=FLmRNA /CNT=89 /TID=Hs.115474.0 /TIER=FL /STK=0 /UG=Hs.115474 /LL=5983 /DEF=Homo sapiens replication factor C (activator 1) 3 (38kD) (RFC3), mRNA. /PROD=replication factor C (activator 1) 3 (38kD) /FL=gb:BC000149.2 gb:L07541.1 gb:NM_002915.1
214502_at	2051.3525	3792.04	-9.35244	0	0.493823	gb:NM_021058.1 /DB_XREF=gi:10800145 /GEN=H2BFR /FEA=FLmRNA /CNT=6 /TID=Hs.285735.0 /TIER=FL /STK=0 /UG=Hs.285735 /LL=8970 /DEF=Homo sapiens H2B histone family, member R (H2BFR), mRNA. /PROD=H2B histone family, member R /FL=gb:NM_021058.1
218100_s_at	4365.7575	6540.7	-7.522395	0.000001	0.67914	gb:NM_018010.1 /DB_XREF=gi:8922255 /GEN=FLJ10147 /FEA=FLmRNA /CNT=170 /TID=Hs.170318.0 /TIER=FL+Stack /STK=48 /UG=Hs.170318 /LL=55081 /DEF=Homo sapiens hypothetical protein FLJ10147 (FLJ10147), mRNA. /PROD=hypothetical protein FLJ10147 /FL=gb:AF245220.1 gb:NM_018010.1 gb:AF139576.1
202334_s_at	3404.7975	5336.0225	-7.872491	0	0.663194	gb:AI768723 /DB_XREF=gi:5235232 /DB_XREF=wh25c12.x1 /CLONE=IMAGE:2381782 /FEA=FLmRNA /CNT=187 /TID=Hs.811.0 /TIER=Stack /STK=29 /UG=Hs.811 /LL=7320 /UG_GENE=UBE2B /UG_TITLE=ubiquitin-conjugating enzyme E2B (RAD6 homolog) /FL=gb:NM_003337.1 gb:M74525.1
205352_at	4765.57	15179.9925	-24.314535	0	0.31594	gb:NM_005025.1 /DB_XREF=gi:4826903 /GEN=SERPINI1 /FEA=FLmRNA /CNT=41 /TID=Hs.78589.0 /TIER=FL+Stack /STK=21 /UG=Hs.78589 /LL=5274 /DEF=Homo sapiens protease inhibitor 12 (neuroserpin) (SERPINI1), mRNA. /PROD=protease inhibitor 12 (neuroserpin) /FL=gb:NM_005025.1
209421_at	13647.84	24966.8875	-7.708726	0	0.592302	gb:U04045.1 /DB_XREF=gi:432997 /GEN=hMSH2 /FEA=FLmRNA /CNT=125 /TID=Hs.78934.0 /TIER=FL /STK=0 /UG=Hs.78934 /LL=4436 /UG_TITLE=mutS (E. coli) homolog 2 (colon cancer, nonpolyposis type 1) /DEF=Human (hMSH2) mRNA, complete cds. /FL=gb:L47582.1 gb:L47581.1 gb:L47583.1 gb:U03911.1 gb:U04045.1 gb:NM_000251.1
214542_x_at	2170.77125	4034.3725	-8.443992	0	0.542518	gb:NM_003509.1 /DB_XREF=gi:4504238 /GEN=H2AFC /FEA=FLmRNA /CNT=4 /TID=Hs.137592.0 /TIER=FL /STK=0 /UG=Hs.137592 /LL=8329 /DEF=Homo sapiens H2A histone family, member C (H2AFC), mRNA. /PROD=H2A histone family, member C /FL=gb:NM_003509.1
206613_s_at	3415.53875	5887.1025	-10.380587	0	0.589389	gb:NM_005681.1 /DB_XREF=gi:5032142 /GEN=TAF1A /FEA=FLmRNA /CNT=14 /TID=Hs.153088.0 /TIER=FL /STK=0 /UG=Hs.153088 /LL=9015 /DEF=Homo sapiens TATA box binding protein (TBP)-associated factor, RNA polymerase I, A, 48kD (TAF1A), mRNA. /PROD=TATA box binding protein (TBP)-associatedfactor, RNA polymerase I, A, 48kD /FL=gb:NM_005681.1 gb:L39060.1
201765_s_at	4973.2675	8635.6925	-9.023385	0	0.54467	gb:AL523158 /DB_XREF=gi:12786651 /DB_XREF=AL523158 /CLONE=CS0DC001YM06 (3 prime) /FEA=FLmRNA /CNT=192 /TID=Hs.119403.0 /TIER=Stack /STK=50 /UG=Hs.119403 /LL=3073 /UG_GENE=HEXA /UG_TITLE=hexosaminidase A (alpha polypeptide) /FL=gb:NM_000520.2
