Gene Description	AccessionNo.	P Value	Fold-Change	Function
Arachidonate 12-lipoxygenase	M62982	3.70E-05	-6.4	Metabolic
Neuron-specific enolase	X51956	9.40E-05	4.1	Metabolic
Aldehyde oxidase (AOX1)	AF017060	2.50E-04	-3.7	Metabolic
Fructose 6-phosphate, 2-kinase/fructose 2,6-bisphosphatase	D49818	4.40E-04	2.8	Metabolic
Iduronate 2-sulfatase (IDS)	L13329	1.90E-04	-2.6	Metabolic
Inositol polyphosphate 1-phosphatase	L08488	2.40E-04	-2.5	Metabolic
Medium-chain acyl-CoA dehydrogenase (MCAD)	M91432	2.90E-04	-2.4	Metabolic
beta-Hexosaminidase alpha chain (HEXA)	M16424	6.90E-04	2.4	Metabolic
alpha-L-Fucosidase	M29877	3.50E-04	-2.3	Metabolic
S-adenosylmethionine decarboxylase	M21154	4.10E-04	-2	Metabolic
Monoamine oxidase B (MAOB)	M69177	1.20E-04	-3.5	Metabolic
NEFA (DNA binding/EF-hand/leucine zipper protein)	X76732	4.70E-06	-4	Signaling
ARA9 (immunophilin homolog)	U78521	2.00E-05	-3.2	Signaling
rab11a GTPase	AF000231	4.00E-04	-2.5	Signaling
SH3 domain-containing protein (SH3P18)	U61167	1.00E-04	-2.5	Signaling
Myeloid differentiation primary response protein MyD88	U70451	1.00E-03	-2.2	Signaling
Homer-3 synaptic proteins	AF093265	2.10E-05	3.6	Structural
Mutated allele of a myosin class I (myh-1c)	AJ001381	1.00E-04	3.4	Structural
Serine/threonine kinase (BTAK)	AF011468	5.80E-04	2.7	Structural
Myosin VIIA (USH1B)	U39226	1.90E-04	2.7	Structural
5-Terminal region of UMK	D78335	6.70E-04	2.3	Structural
NAD(+)-dependent 15 hydroxyprostaglandin dehydrogenase	L76465	2.30E-04	-8.2	Miscellaneous
Sciellin (SCEL)	AF045941	1.20E-07	-7.8	Miscellaneous
TR3 orphan receptor	L13740	3.70E-04	-5.5	Miscellaneous
Prostatic acid phosphatase	M24902	7.30E-06	-4.6	Miscellaneous
Prolyl 4-hydroxylase . (II) subunit	U90441	6.40E-05	4.3	Miscellaneous
Nonsyndromic hearing impairment protein (DFNA5)	AF073308	9.80E-05	4	Miscellaneous
Prostaglandin D2 synthase	M98539	1.20E-05	-3.8	Miscellaneous
Lysyl hydroxylase	L06419	2.20E-04	3.7	Miscellaneous
Prostaglandin D synthase	AI207842	1.90E-05	-3.7	Miscellaneous
Neuromedin U (NmU)	X76029	7.20E-05	-3.3	Miscellaneous
Ras-like protein Tc21	HG1111HT1111	5.40E-04	3.2	Miscellaneous
fls353	AB024704	5.70E-05	3.2	Miscellaneous
Ubiquitin carrier protein (E2-EPF)	M91670	2.20E-04	3.1	Miscellaneous
Rad2	HG4074HT4344	7.90E-05	3	Miscellaneous
Cellular retinoic acid–binding protein	S74445	3.50E-04	-3	Miscellaneous
Type 2 iodothyronine deiodinase	AF093774	1.80E-05	-2.9	Miscellaneous
GTPase (rhoC)	L25081	1.50E-04	2.8	Miscellaneous
Cytotoxic T-lymphocyte–associated serine esterase 1	M57888	3.10E-04	-2.8	Miscellaneous
Guanosine 5-monophosphate synthase	U10860	4.70E-04	2.8	Miscellaneous
Lysophospholipase homolog (HU-K5)	U67963	2.30E-05	-2.7	Miscellaneous
P311 HUM (3.1) (glioblastoma invasion gene)	U30521	6.70E-04	2.6	Miscellaneous
Insulin-like growth factor–binding protein-3	M35878	6.50E-04	2.6	Miscellaneous
Lysyl hydroxylase isoform 3 (PLOD3)	AF046889	2.10E-04	2.5	Miscellaneous
Lsm4 protein	AJ238096	3.10E-04	2.5	Miscellaneous
Cystatin B	U46692	4.90E-06	-2.4	Miscellaneous
Elk ligand gene (EPLG2)	U09303	2.50E-04	2.4	Miscellaneous
Lipocortin	X05908	5.30E-04	-2.3	Miscellaneous
Thymidine kinase	K02581	8.60E-04	2.3	Miscellaneous
ZAKI-4 (thyroid hormone–responsive gene)	D83407	6.60E-04	-2.2	Miscellaneous
IMP dehydrogenase type 1	J05272	9.30E-04	2.2	Miscellaneous
