Gene name	Symbol	Fold change	Accession no.
GA733-1 protein precursor	TROP2	11.4	J04152
Similar to LDL receptor-like protein: tSXV motif	MEGF7	8.6	AB011540
Tenascin-C	TNC	7.9	X78565
Fibronectin	FN1	7.3	M10905
Dioxin-inducible cytochrome P450	GLC3A	7.3	U03688
alpha1-Antitrypsin	AAT	6.9	X01683
Melanocyte-specific gene 1	MSG1	6.3	U65092
Intermediate conductance calcium-activated potassium channel	hSK4	5.3	AF022797
Dual specificity protein phosphatase	HVH3	5.2	U15932
NRP-2	NRP2	4.9	D83018
MAP kinase phosphatase	MKP-2	4.7	U48807
Keratin 19	KRT19	4.7	Y00503
S plasma protein	PROS	4.5	M15036
Galectin-3	GALBP	4.4	AB006780
Glutamine cyclotransferase	GCT	4.2	X71125
Tissue inhibitor of metalloproteinases	TIMP	4.1	D11139
G Protein-coupled receptor	GABABR2	4	AF056085
Human cytokine (GRO- beta)	MIP2A	3.9	M36820
Precursor alkaline phosphatase	HUSI-I	3.8	X04470
TGF alpha	TGFA	3.8	X70340
Signal sequence for secretion by HUVEC	SIG13	3.5	AF015287
Dystrophin	DMD	3.4	M18533
KJAA0942 protein	KIAA0942	3.4	AB023159
Lipocortin	LPC1	3.3	X05908
Virally, encoded semaphorin protein receptor	PLXN-C1	3.3	AF030339
Adrenomedullin	AM	3.3	D14874
Preprocathepsin H	CPSB	3.1	X16832
Breast epithelial antigen 46	BA46	3	U58516
Sky	RSE	2.9	D17517
Ryudocan core protein	SYND4	2.9	D79206
Skeletal muscle ryanodine receptor gene	CCO	2.9	U48508
Epidermal growth factor receptor kinase substrate	Eps8	2.9	U12535
MET protooncogene protein	HGFR	2.7	J02958
HER3 protein precursor	HER3	2.7	M34309
Cathepsin C	CPP1	2.6	X87212
Nuclear factor RIP140	RIP140	2.5	X84373
TGF beta-stimulated clone 22	TSC-22	2.5	AJ222700
alpha1 (VIII) collagen	COL8A1	2.5	X57527
Aryl hydrocarbon receptor	AHR	2.4	L19872
SOX-4 protein	SOX-4	2.4	X70683
Aldehyde dehydrogenase	ALDH4	2.2	U10868
Small GTP-binding protein	RAB27	2.2	U57094
N-Acetylglucosamine-6-O-sulfotransferase	GN6ST	2.2	AB014679
Single-strand DNA-binding protein	HSPC116	2.1	AL080076
GM3 synthase	SIATGM3S	2.1	AB018356
MHC class II HLA-DQ-beta	HLA-DQ	2.1	M81141
Dihydrouracil dehydrogenase	DPD	2.1	U20938
Serine protease hepsin	TMPRSS1	2.1	X07732
