U133 probe set	Gene description	Symbol	Location	GenBank Reference	Chi-square	T-ALL above/below mean	Fold change	old or new
201579_at	FAT tumor suppressor homolog 1 (Drosophila)	FAT	4q34-q35	NM_005245.1	88	Above	9.9	old
201695_s_at	nucleoside phosphorylase	NP	14q13.1	NM_000270.1	88	Above	3.8	old
204674_at	lymphoid-restricted membrane protein	LRMP	12p12.3	NM_006152.1	88	Above	5.8	old
205253_at	pre-B-cell leukemia transcription factor 1	PBX1	1q23	NM_002585.1	88	Above	3549.2	old
212148_at	pre-B-cell leukemia transcription factor 1, splice variant	PBX1	1q23	BF967998	88	Above	5283.5	old
212151_at	pre-B-cell leukemia transcription factor 1, splice variant	PBX1	1q23	BF967998	88	Above	7472.2	old
212371_at	DKFZp586C1019	DKFZp586C1019	1	AL049397.1	88	Above	2.5	old
219155_at	retinal degeneration B beta	RDGBB	17q24.2	NM_012417.1	88	Above	2.7	new
225483_at	hypothetical protein MGC10485	MGC10485	11q25	AI971602	88	Above	7.7	new
227439_at	E2a-Pbx1-associated protein	EB-1	12	AW005572	88	Above	269.8	new
227949_at	Q9H4T4 like	H17739	20q13.32	AL357503	88	Above	59.3	new
230306_at	hypothetical protein MGC10485	MGC10485	11q25	AA514326	88	Above	19.2	new
231095_at	retinal degeneration B beta	RDGBB	17q24.2	AW193811	88	Above	25.6	new
203372_s_at	STAT induced STAT inhibitor-2	SOCS2	12q	AB004903.1	80.6	Below	23.4	old
206028_s_at	c-mer proto-oncogene tyrosine kinase	MERTK	2q14.1	NM_006343.1	80.6	Above	23.7	old
206181_at	signaling lymphocytic activation molecule	SLAM	1q22-q23	NM_003037.1	80.6	Above	6.3	old
208788_at	homolog of yeast long chain polyunsaturated fatty acid elongation enzyme 2	HELO1	6p21.1-p12.1	AL136939.1	80.6	Above	2.2	old
209760_at	KIAA0922 protein	KIAA0922	4q31.23	AL136932.1	80.6	Above	2.9	old
35974_at	lymphoid-restricted membrane protein	LRMP	12p12.3	U10485	80.6	Above	6.2	old
38340_at	huntingtin interacting protein 12	HIP12	12q24	AB014555	80.6	Above	3.8	old
208644_at	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)	ADPRT	1q41-q42	M32721.1	80.2	Above	3	old
212789_at	KIAA0056 protein	KIAA0056	11q25	AI796581	80.2	Above	3.9	old
221113_s_at	wingless-type MMTV integration site family, member 16	WNT16	7q31	NM_016087.1	80.2	Above	2547.6	new
224022_x_at	wingless-type MMTV integration site family, member 16	WNT16	7q31	AF169963.1	80.2	Above	569.1	new
231040_at	EST		9	AW512988	80.2	Above	16.4	new
232289_at	FLJ14167	FLJ14167	17	BF237871	80.2	Above	144.1	new
235666_at	EST	FLJ20489	10	AA903473	80.2	Above	654.6	new
203373_at	STAT induced STAT inhibitor-2	SOCS2	12q	NM_003877.1	74.2	Below	24.8	old
210785_s_at	basement membrane-induced gene	ICB-1	1p35.3	AB035482.1	74.2	Below	4.1	old
224733_at	chemokine-like factor super family 3	CKLFSF3	16q23.1	AL574900	74.2	Below	41.7	new
225235_at	hypothetical protein MGC14859	MGC14859	5q35.3	AW007710	74.2	Above	3.6	new
204114_at	nidogen 2 (osteonidogen)	NID2	14q21-q22	NM_007361.1	73.1	Above	15.1	old
211913_s_at	c-mer proto-oncogene tyrosine kinase	MERTK	2q14.1	L08961.1	72.8	Above	37.7	old
219551_at	uncharacterized bone marrow protein BM040	BM040	3q21.1	NM_018456.1	72.8	Above	3	new
223693_s_at	hypothetical protein FLJ10324	FLJ10324	7p22	AL136731.1	72.8	Above	65.6	new
200600_at	moesin	MSN	Xq11.2-q12	NM_002444.1	72.5	Below	2.2	old
213909_at	FLJ12280	FLJ12280	3	AU147799	72.5	Above	12.5	new
221669_s_at	acyl-Coenzyme A dehydrogenase family, member 8	ACAD8	11q25	BC001964.1	72.5	Above	2.6	new
235911_at	ESTs, Weakly similar to PIHUB6 salivary proline-rich protein precursor PRB1 (large allele)		3	AI885815	72.5	Above	36.6	new
243533_x_at	ESTs			H09663	72.5	Above	23.2	new
202615_at	DKFZp686D0521	DKFZp686D0521	9	BF222895	68.6	Below	6.2	old
204774_at	ecotropic viral integration site 2A	EVI2A	17q11.2	NM_014210.1	68.6	Below	3	new
218283_at	synovial sarcoma translocation gene on chromosome 18-like 2	SS18L2	3p21	NM_016305.1	68.6	Above	1.6	new
209130_at	synaptosomal-associated protein, 23kDa	SNAP23	15q14	BC003686.1	67.8	Below	1.9	new
228580_at	serine protease HTRA3	HTRA3	4p16.1	AI828007	66.6	Above	3.8	new
202796_at	synaptopodin	KIAA1029	5q33.1	NM_007286.1	66.5	Above	52.3	old
218640_s_at	phafin 2	FLJ13187	8q21.3	NM_024613.1	66.5	Above	3.1	new
235099_at	ESTs, Weakly similar to PLLP_HUMAN Plasmolipin [H.sapiens]		3	AW080832	66.5	Above	6.7	new
201889_at	family with sequence similarity 3, member C	FAM3C	7q22.1-q31.1	NM_014888.1	65.3	Above	4.6	new
202106_at	golgi autoantigen, golgin subfamily a, 3	GOLGA3	12q24.33	NM_005895.1	65.3	Above	3.3	old
202208_s_at	ADP-ribosylation factor-like 7	ARL7	2q37.2	BC001051.1	65.3	Above	3.2	old
205173_x_at	CD58 antigen, (lymphocyte function-associated antigen 3)	CD58	1p13	NM_001779.1	65.3	Above	2.4	old
211744_s_at	CD58 antigen, (lymphocyte function-associated antigen 3)	CD58	1p13	BC005930.1	65.3	Above	2.5	old
212552_at	hippocalcin-like 1	HPCAL1	2p25.1	BE617588	65.3	Below	2.6	old
213358_at	KIAA0802 protein	KIAA0802	18p11.21	AB018345.1	65.3	Above	12.7	old
222699_s_at	phafin 2	FLJ13187	8q21.3	BF439250	65.3	Above	3.5	new
225618_at	EST		17	AI769587	65.3	Below	5.3	new
238778_at	DKFZp451L157	DKFZp451L157	10	AI244661	65.3	Above	23.5	new
239427_at	ESTs		1	AA131524	65.3	Above	13.7	new
