Probe Set ID	Gene Title	Gene Symbol	Chromosomal Location
1197_at	actin, gamma 2, smooth muscle, enteric	ACTG2	2p13.1
1288_s_at	eukaryotic translation elongation factor 1 alpha 1	EEF1A1	6q14.1
1364_at	protein tyrosine phosphatase, receptor-type, Z polypeptide 1	PTPRZ1	7q31.3
1693_s_at	TIMP metallopeptidase inhibitor 1	TIMP1	Xp11.3-p11.23
201_s_at	beta-2-microglobulin	B2M	15q21-q22.2
2092_s_at	secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	SPP1	4q21-q25
256_s_at	ribosomal protein SA /// similar to Laminin receptor 1 /// similar to 40S ribosomal protein SA (p40) (34/67 kDa laminin receptor) /// similar to laminin receptor 1 (ribosomal protein SA) /// similar to laminin receptor 1 (ribosomal protein SA) /// similar to laminin receptor 1 (ribosomal protein SA) /// similar to 40S ribosomal protein SA (p40) (34/67 kDa laminin receptor)	RPSA /// LOC388524 /// LOC643954 /// LOC644464 /// LOC645326 /// LOC647643 /// LOC651127	3p22.2 /// 19p12 /// 6q22.1 /// Xp11.3 /// 3p22.3
311_s_at	---	---	---
31505_at	ribosomal protein L8	RPL8	8q24.3
31511_at	ribosomal protein S9	RPS9	19q13.4
31525_s_at	hemoglobin, alpha 1 /// hemoglobin, alpha 2	HBA1 /// HBA2	16p13.3
31527_at	ribosomal protein S2	RPS2	16p13.3
31545_at	ribosomal protein S18	RPS18	6p21.3
31557_at	thymosin, beta 4, X-linked	TMSB4X	Xq21.3-q22
31687_f_at	hemoglobin, beta	HBB	11p15.5
31719_at	fibronectin 1	FN1	2q34
31720_s_at	fibronectin 1	FN1	2q34
31722_at	ribosomal protein L3	RPL3	22q13
31957_r_at	ribosomal protein, large, P1	RPLP1	15q22
31962_at	ribosomal protein L37a	RPL37A	2q35
32052_at	hemoglobin, beta /// hemoglobin, beta	HBB	11p15.5
32412_at	ribosomal protein S14	RPS14	5q31-q33
32466_at	ribosomal protein L41	RPL41	12q13
32538_at	transferrin	TF	3q22.1
33327_at	chromosome 11 open reading frame 9	C11orf9	11q12-q13.1
33674_at	ribosomal protein L29	RPL29	3p21.3-p21.2
33825_at	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	SERPINA3	14q32.1
34297_at	G protein-coupled receptor 37 (endothelin receptor type B-like)	GPR37	7q31
34342_s_at	secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	SPP1	4q21-q25
34593_g_at	ribosomal protein S17	RPS17	15q
34643_at	ribosomal protein S4, X-linked	RPS4X	Xq13.1
347_s_at	ribosomal protein S23	RPS23	5q14.2
35083_at	ferritin, light polypeptide	FTL	19q13.3-q13.4
35905_s_at	glyceraldehyde-3-phosphate dehydrogenase	GAPDH	12p13
36546_r_at	Sfi1 homolog, spindle assembly associated (yeast)	SFI1	22q12.2
36681_at	apolipoprotein D	APOD	3q26.2-qter
36927_at	interferon-induced protein 44-like	IFI44L	1p31.1
37402_at	ribonuclease, RNase A family, 1 (pancreatic)	RNASE1	14q11.2
37746_r_at	suppression of tumorigenicity 5	ST5	11p15
37868_s_at	myelin oligodendrocyte glycoprotein	MOG	6p22.1
38124_at	midkine (neurite growth-promoting factor 2)	MDK	11p11.2
38584_at	interferon-induced protein with tetratricopeptide repeats 3	IFIT3	10q24
39325_at	left-right determination factor 2	LEFTY2	1q42.1
39605_at	forkhead box G1B	FOXG1B	14q12-q13
39878_at	protocadherin 9	PCDH9	13q14.3-q21.1
40095_at	carbonic anhydrase II	CA2	8q22
40887_g_at	eukaryotic translation elongation factor 1 alpha 1	EEF1A1	6q14.1
41164_at	immunoglobulin heavy constant mu	IGHM	14q32.33
41165_g_at	immunoglobulin heavy constant mu	IGHM	14q32.33
AFFX-HSAC07/X00351_3_at	actin, beta	ACTB	7p15-p12
AFFX-HSAC07/X00351_5_at	actin, beta	ACTB	7p15-p12
AFFX-HSAC07/X00351_M_at	actin, beta	ACTB	7p15-p12
AFFX-hum_alu_at	---	---	---
AFFX-M27830_5_at	---	---	---
