Probe set ID	Gene name	Gene symbol	Gene ontology biologic process	Fold change
205890_s_at	Ubiquitin D	UBD	Antimicrobial humoral response/proteolysis and peptidolysis/ubiquitin cycle	7,0
209774_x_at	Shemokine (C-X-C motif) ligand 2	CXCL2	G-protein coupled receptor protein signaling pathway/chemotaxis/immune response/inflammatory response	6,3
217478_s_at	Major histocompatibility complex, class II, DM alpha	HLA-DMA	Antigen presentation, exogenous antigen/antigen processing, exogenous antigen via MHC class II/detection of pest, pathogen, or parasite	1,8
211656_x_at	Major histocompatibility complex, class II, DQ beta 1	HLA-DQB1	Antigen presentation, exogenous antigen/antigen processing, exogenous antigen via MHC class II/immune response	2,8
202018_s_at	Lactotransferrin	LTF	Defense response to bacteria/humoral immune response/iron ion homeostasis/iron ion transport	3,9
209823_x_at	Major histocompatibility complex, class II, DQ beta 1	HLA-DQB1	Antigen presentation, exogenous antigen/antigen processing, exogenous antigen via MHC class II/immune response	3,6
209924_at	Chemokine (C-C motif) ligand 18	CCL18	Antimicrobial humoral response/cell–cell signaling/chemotaxis/immune response	4,4
212671_s_at	Major histocompatibility complex, class II, DQ alpha 1–2	HLA-DQA1	Antigen presentation, exogenous antigen/antigen processing, exogenous antigen via MHC class II/immune response	3,2
211990_at	Major histocompatibility complex, class II, DP alpha 1	HLA-DPA1	Antigen presentation, exogenous antigen/antigen processing, exogenous antigen via MHC class II/immune response	2,0
213537_at	Major histocompatibility complex, class II, DP alpha 1	HLA-DPA1	Antigen presentation, exogenous antigen/antigen processing, exogenous antigen via MHC class II/immune response	2,5
206134_at	ADAM-like, decysin 1	ADAMDEC1	Integrin-mediated signaling pathway/negative regulation of cell adhesion/proteolysis and peptidolysis	2,6
212588_at	Protein tyrosine phosphatase, receptor type, C	PTPRC	Cell surface receptor-linked signal transduction/protein amino acid dephosphorylation	1,9
217767_at	Complement component 3	C3	G-protein coupled receptor protein signaling pathway/complement activation, alternative pathway/complement activation, classical pathway	2,6
212998_x_at	Major histocompatibility complex, class II, DQ beta 1	HLA-DQB1	Antigen presentation, exogenous antigen/antigen processing, exogenous antigen via MHC class II/immune response	2,2
207238_s_at	Protein tyrosine phosphatase, receptor type, C	PTPRC	Cell surface receptor-linked signal transduction/protein aminoacid dephosphorylation	2,0
211430_s_at	Immunoglobulin heavy constant gamma 1	IGHG1	Immune response	2,5
226878_at	Major histocompatibility complex, class II, DO alpha	HLA-DOA	Antigen presentation, exogenous antigen/antigen processing, exogenous antigen via MHC class II/immune response	1,7
203936_s_at	matrix metalloproteinase 9	MMP9	Collagen catabolism	1,9
212587_s_at	protein tyrosine phosphatase, receptor type, C	PTPRC	Cell surface receptor-linked signal transduction/protein amino acid dephosphorylation	2,0
202510_s_at	Tumor necrosis factor, alpha-induced protein 2	TNFAIP2	Angiogenesis	1,9
217388_s_at	Kynureninase (L-kynurenine hydrolase)	KYNU	Tryptophan catabolism	3,6
215193_x_at	Major histocompatibility complex, class II, DR beta 1	HLA-DRB1	Antigen presentation, exogenous antigen/antigen processing, exogenous antigen via MHC class II/immune response	1,9
227186_s_at	Mitochondrial ribosomal protein L41	MRPL41		– 1,4
211991_s_at	Major histocompatibility complex, class II, DP alpha 1	HLA-DPA1	Antigen presentation, exogenous antigen/antigen processing, exogenous antigen via MHC class II/immune response	1,9
201140_s_at	RAB5C, member RAS oncogene family	RAB5C	Protein transport/small GTPase-mediated signal transduction	–1,6
208894_at	Major histocompatibility complex, class II, DR alpha	HLA-DRA	Antigen presentation, exogenous antigen/antigen processing, exogenous antigen via MHC class II/immune response	1,9
209312_x_at	Major histocompatibility complex, class II, DR beta 1	HLA-DRB1	Antigen presentation, exogenous antigen/antigen processing, exogenous antigen via MHC class II/immune response	1,9
214470_at	Killer cell lectin-like receptor subfamily B, member 1	KLRB1	Antimicrobial humoral response/cell surface receptor-linked signal transduction	1,8
200632_s_at	N-myc downstream regulated gene 1	NDRG1	Cell differentiation/response to metal ion	–1,4
203868_s_at	Vascular cell adhesion molecule 1	VCAM1	Cell–cell adhesion	2,0
204670_x_at	Major histocompatibility complex, class II, DR beta 1	HLA-DRB1	Antigen presentation, exogenous antigen/antigen processing, exogenous antigen via MHC class II/immune response	2,4
213603_s_at	Ras-related C3 botulinum toxin substrate 2	RAC2	Signal transduction/small GTPase-mediated signal transduction	1,6
210982_s_at	Major histocompatibility complex, class II, DR alpha	HLA-DRA	Antigen presentation, exogenous antigen/antigen processing, exogenous antigen via MHC class II/immune response	1,9
202957_at	Hematopoietic cell-specific Lyn substrate 1	HCLS1	Carbon utilization by fixation of carbon dioxide/intracellular signaling cascade/regulation of transcription, DNA-dependent	1,8
211025_x_at	Cytochrome c oxidase subunit Vb	COX5B	Electron transport/respiratory gaseous exchange	–1,2
227676_at	Family with sequence similarity 3, member D	FAM3D	Negative regulation of insulin secretion	2,2
