Rank	N/E	Unigene	Accession	Description	References	Function
24	5.2	Hs.81134	X52015	Interleukin-1 receptor antagonist	(1); (2)	Antioncogene and antiproliferative proteins
41	12.4	Hs.103505	X99977	ARS gene, component B		Antioncogene and antiproliferative proteins
44	88.3	Hs.76422	M22430	RASF-A PLA2		Antioncogene and antiproliferative proteins
53	13	Hs.75736	J02611	Apolipoprotein D		Antioncogene and antiproliferative proteins
39	6.3	Hs.75106	M25915	Complement cytolysis inhibitor (CLI)	-2	Antioncogene and antiproliferative proteins
5	11.8	Hs.65424	X64559	Tetranectin	-5	Antioncogene and antiproliferative proteins
59	42.2	Hs.183752	AA532495	Clone = IMAGE-996282 (MSMB)		Antioncogene and antiproliferative proteins
34	6.8	Hs.2962	AA131149	Clone = IMAGE-587049 (S100P)		Antioncogene and antiproliferative proteins
12	71.9	Hs.80395	X76220	MAL gene exon 1	-3	Cancer-associated proteins
3	15.9	Hs.79368	Y07909	Progression associated protein (PAP)	(1); (5)	Cancer-associated proteins
18	6.1	Hs.50964	X16354	Transmembrane carcinoembryonic antigen BGPa		Cancer-associated proteins
23	6.2	Hs.220529	M29540	Carcinoembryonic antigen (CEA)		Cancer-associated proteins
30	8	Hs.20166	AF043498	Prostate stem cell antigen (PSCA)		Cancer-associated proteins
22	9.2	Hs.13775	U51712	cDNA/gb = U51712 (SMAP31)		Cancer-associated proteins
33	7.5	Hs.73848	M18728	Nonspecific crossreacting antigen		Cancer-associated proteins
28	6.3	Hs.44	M57399	Nerve growth factor (HBNF-1)		Cancer-associated proteins
46	6.1	Hs.7306	AF056087	Secreted frizzled related protein		Cancer-associated proteins
25	5.4	Hs.75888	U30255	Phosphogluconate dehydrogenase (hPGDH)		Metabolism
26	5.1	Hs.105435	AF042377	GDP-mannose 4,6 dehydratase		Metabolism
15	5.3	Hs.2533	U34252	Gamma-aminobutyraldehyde dehydrogenase	(1); (5)	Metabolism
20	12	Hs.233441	M57951	Bilirubin UDP-glucuronosyltransferase isozyme 2		Metabolism
31	8.5	Hs.389	X76342	ADH7	-5	Metabolism
38	8.4	Hs.575	M74542	Aldehyde dehydrogenase type III (ALDHIII)		Metabolism
8	16.4	Hs.2022	L10386	Transglutaminase E3 (TGASE3)	-3	Metabolism
29	7.1	Hs.334841	U29091	Selenium-binding protein (hSBP)		Metabolism
42	8.3	Hs.5920	AJ238764	N-acetylmannosamine kinase		Metabolism
16	9.1	Hs.81071	U68186	Extracellular matrix protein 1	-5	Metabolism
4	7.6	Hs.80342	X07696	Cytokeratin 15	(1); (2)	Structural proteins
40	5.9	Hs.74070	X14640	Keratin 13	(2); (3); (5)	Structural proteins
35	16.7	Hs.3235	X07695	Cytokeratin 4 C-terminal region	(1); (3); (5)	Structural proteins
6	7.2	Hs.74304	AF001691	195 kDa cornified envelope precursor (PPL)		Structural proteins
56	8.6	Hs.158295	X05451	Myosin light chain 3 (MLC-3f)		Structural proteins
48	36.3	Hs.931	S73840	Type IIA myosin heavy chain		Structural proteins
51	11.8	Hs.78344	AF013570	Smooth muscle myosin heavy chain SM2		Structural proteins
37	23	Hs.115166	AF045941	Sciellin (SCEL)		Structural proteins
1	6.7	Hs.3164	X76732	NEFA protein		Structural proteins
58	8.5	Hs.334629	U96094	Sarcolipin (SLN)		Structural proteins
11	6.4	Hs.234642	AB001325	Aquaporine 3 (AQP3)	-2	Mucous-related
52	7	Hs.221986	U46569	Aquaporin-5 (AQP5)		Mucous-related
7	5.4	Hs.89603	J05582	Pancreatic mucin		Mucous-related
50	12.6	Hs.198267	AJ010901	MUC4 gene, 3 flanking region		Mucous-related
2	5.9	Hs.89603	HG371-HT26388	Mucin 1, epithelial, alt. splice 9		Mucous-related
60	66.2	Hs.82961	AI985964	Clone = IMAGE-2493903 (TFF3)		Mucous-related
55	107.2	Hs.169224	L08044	Intestinal trefoil factor		Mucous-related
9	23.8	Hs.64867	AJ228139	LETKI precursor		Mucous-related
13	7.4	Hs.8272	AI207842	Clone = IMAGE-1953089 (prostaglandin D2)		Mucous-related
47	14.8	Hs.73931	M16276	MHC class II HLA-DR2-Dw12 mRNA DQw1-beta		Other
49	6.1	Hs.204040	AF004230	Monocyte/macrophage Ig-related receptor MIR-7		Other
45	10	Hs.99918	M54994	Bile salt-activated lipase (BAL)		Other
54	5.1	Hs.250760	F27891	Clone = s4000025D03 (COX6A2)		Other
27	6	Hs.75329	AF063002	LIM protein SLIMMER		Other
57	14.4		AF001548	Clone CIT987SK-A-815A9		Other
17	8.2	Hs.16622	Y09538	ZNF185 gene		Other
32	5.1	Hs.64742	AB011112	KIAA0540 protein		Other
36	5.4	Hs.206501	AF091087	Clone 643 unknown		Other
