Acc. no.	Gene name/Production	Value (fold)
R83837	V-yes-1 Yamaguchi sarcoma viral related oncogene	62
AA486289	DNA polymerase alpha	37
T81103	Sp2 transcription factor	34
AA045822	Guanine nucleotide regulatory protein (tim)	7.6
N33955	Protein phosphatase Wip1	4.7
AA456291	GTP-binding protein	4.3
AA598611	Immediate-early response protein	3.6
AA400476	Mitotic centromere-associated kinesin	3.2
R53541	Melanoma-associated chondroitin sulfate proteoglycan	3.1
AA682337	Vav 2 oncogene	3
AA283693	Osteoclast-stimulating factor	2.9
AA045699	Tumor-associated antigen CO-029	2.8
AA082943	Cyclin G1	2.8
AA703660	H2A histone family	2.8
H97778	E-cadherin	2.8
H24326	Regulator of G-protein signaling (RGS7)	2.7
H54020	Splicing factor (9G8)	2.5
AA126911	Heterogeneous nuclear ribonucleoprotein A1	2.4
H20856	DNA repair helicase ERCC3	2.4
AA488332	Cell cycle protein p38-2G4	2.4
AA608514	Histone H3.3	2.3
AA704255	Spinocerebellar ataxia 7	2.2
H95392	Histone H2A.X	2.2
R53787	Protein phosphatase 2A B56-epsilon (PP2A)	2.1
AA778077	Chromodomain helicase DNA binding protein 3	2
AA701502	Platelet-derived growth factor PDGF-A	2
AA088861	LI-cadherin	2
