Symbol	Description	Fold Change	Affymetrix ID	Cytoband
AKAP7	A kinase (PRKA) anchor protein 7	1.098	205772_s_at	6q23
COCH	coagulation factor C homolog, cochlin (Limulus polyphemus)	1.362	205229_s_at	14q12-q13
DGCR9	DiGeorge syndrome critical region gene 9	0.931	215003_at	22q11.21
KCNQ2	potassium voltage-gated channel, KQT-like subfamily, member 2	0.937	211486_s_at	20q13.3
TRH	thyrotropin-releasing hormone	1.085	206622_at	3q13.3-q21
PLXND1	plexin D1	1.199	38671_at	3q21.3
SH3BP4	SH3-domain binding protein 4	1.098	222258_s_at	2q37.1-q37.2
PHKA1	phosphorylase kinase, alpha 1 (muscle)	1.061	205450_at	Xq12-q13
LOC390940	NA	1.067	213556_at	19q13.31
GRID2	glutamate receptor, ionotropic, delta 2	0.933	221364_at	4q22
SBLF	stoned B-like factor	1.117	213413_at	2p16.3
ZBTB39	zinc finger and BTB domain containing 39	1.086	205256_at	12q13.3
SEPT8	septin 8	1.148	208999_at	5q31
LRRC19	leucine rich repeat containing 19	1.052	220376_at	9p21.2
INHBA	inhibin, beta A (activin A, activin AB alpha polypeptide)	1.062	204926_at	7p15-p13
LOC254531	PlSC domain containing hypothetical protein	1.069	213078_x_at	15q14
RCN1	reticulocalbin 1, EF-hand calcium binding domain	1.203	201063_at	11p13
TUBA8	tubulin, alpha 8	0.947	220069_at	22q11.1
FLJ38984	hypothetical protein FLJ38984	1.093	212791_at	1p34.3
RND2	Rho family GTPase 2	0.935	214393_at	17q21
PDE1B	phosphodiesterase 1B, calmodulin-dependent	0.922	206444_at	12q13
CCDC2	coiled-coil domain containing 2	1.158	219174_at	9p21.2
PLEKHA5	pleckstrin homology domain containing, family A member 5	1.15	220952_s_at	12p12
ANAPC5	anaphase promoting complex subunit 5	1.279	208722_s_at	12q24.31
GCC1	GRIP and coiled-coil domain containing 1	0.859	218912_at	7q32.2
FOXJ1	forkhead box J1	0.932	205906_at	17q22-17q25
CHD1L	chromodomain helicase DNA binding protein 1-like	1.149	207645_s_at	1q12
RPE65	retinal pigment epithelium-specific protein 65kDa	1.06	207107_at	1p31
CRP	C-reactive protein, pentraxin-related	0.948	37020_at	1q21-q23
DNAI2	dynein, axonemal, intermediate polypeptide 2	1.07	221668_s_at	17q25
TAX1BP3	Tax1 (human T-cell leukemia virus type I) binding protein 3	1.061	215459_at	17p13
NA	NA	1.059	210918_at	NA
UGCGL2	UDP-glucose ceramide glucosyltransferase-like 2	1.11	218801_at	13q32.1
POLDIP3	polymerase (DNA-directed), delta interacting protein 3	1.073	210584_s_at	22q13.2
ADCY9	adenylate cyclase 9	1.072	204498_s_at	16p13.3
MGC27165	hypothetical protein MGC27165	0.944	216318_at	14q32.33
1D12A	pre-T/NK cell associated protein	1.063	207737_at	8p21.1
PZP	pregnancy-zone protein	1.076	207330_at	12p13-p12.2
SNRPA	small nuclear ribonucleoprotein polypeptide A	1.235	201770_at	19q13.1
THPO	thrombopoietin (myeloproliferative leukemia virus oncogene ligand, megakaryocyte growth and development factor)	0.934	211155_s_at	3q27
HTIFN	pregnancy-associated interferon	1.059	221717_at	NA
TM4SF20	transmembrane 4 L six family member 20	0.921	220639_at	2q36.3
MAN2B1	mannosidase, alpha, class 2B, member 1	1.197	209166_s_at	19cen-q13.1
IDH3A	isocitrate dehydrogenase 3 (NAD+) alpha	1.113	202070_s_at	15q25.1-q25.2
CASP9	caspase 9, apoptosis-related cysteine protease	0.937	210775_x_at	1p36.3-p36.1
PRO2610	hypothetical protein PRO2610	0.948	221146_at	14q21.2
DAG1	dystroglycan 1 (dystrophin-associated glycoprotein 1)	0.954	212128_s_at	3p21
NA	NA	1.066	AFFX-PheX-M_at	NA
TBRG4	transforming growth factor beta regulator 4	0.941	220961_s_at	7p14-p13
TPSAB1/B2	tryptase beta 1	1.487	216474_x_at	16p13.3
ATP6V0A2	ATPase, H+ transporting, lysosomal V0 subunit a isoform 2	1.212	205704_s_at	12q24.31
NEFH	neurofilament, heavy polypeptide 200kDa	1.148	33767_at	22q12.2
RPH3A	rabphilin 3A homolog (mouse)	0.661	205230_at	12q24.13
CCHCR1	coiled-coil alpha-helical rod protein 1	1.047	42361_g_at	6p21.3
HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	1.087	212983_at	11p15.5
RAI2	retinoic acid induced 2	0.95	219440_at	Xp22
