GenBank accession No.	Genesymbol	Description	Intensity (DX100/WT)
H38240	THBS2	Thrombospondin 2	5.87
AI015999	CHC1L	Chromosome condensation 1-like	5.66
AA101875	CSPG2	Chondroitin sulfate proteoglycan 2 (versican)	5.52
AA663941	LOC387882	LOC387882 hypotheticalprotein	5.03
T49652	ALOX5AP	Arachidonate 5-lipoxygenase-activating protein	4.20
U17062		EST	4.16
AA486233	GSPT1	G1toSphasetransition1	4.16
AW051289	PRG2	Proteoglycan 2,bone marrow (natural killer cell activator, eosinophil granule major basic protein)	4.00
X78338	ABCC1	ATP-binding cassette, sub-family C(CFTR/MRP), member 1	3.73
R47979	HLA-DRA	Major histocompatibility complex, class II,DR alpha	3.65
R91539	P2RY5	Purinergic receptor P2Y, G-protein coupled, 5	3.60
T57841	UFD1L	Ubiquitin fusion degradation1-like	3.53
AA701545	RNASE6	Ribonuclease, RNase A family, k6	3.53
AA873060	STMN1	Stathmin 1/oncoprotein 18	3.42
N90783	P2RY5	Purinergic receptor P2Y, G-protein coupled, 5	3.41
R37093	BFAR	Bifunctional apoptosis regulator	3.24
AA936799	MMP2	Matrix metalloproteinase 2 (gelatinase A, 72 kD gelatinase)	3.18
J03934	NQO1	NAD(P)H dehydrogenase, quinone 1	3.13
AA609598		14-3-3 protein zeta	3.08
W94438	GSPT2	G1 to S phase transition 2	3.04
AA961752	Pfs2	DNA replication complex GINS protein PSF2	3.00
AA961735	MARCKSL1	Macrophage myristoylated alanine-rich C kinase substrate-like 1	3.00
