Gene Symbol	Gene description	Probe set ID	Fold-change
---	Ig lambda light chain variable region	215777_at	4.103
---	---	207916_at	4.029
---	---	216715_at	3.173
---	---	217490_at	3.099
---	---	210265_x_at	3.083
---	---	222002_at	3.071
---	---	213003_s_at	2.958
---	similar to 60S ribosomal protein L10	216589_at	2.841
---	---	216193_at	2.713
---	---	215507_x_at	2.650
---	---	211690_at	2.649
---	---	216946_at	2.612
---	Clone DT1P1A11 mRNA, CAG repeat region	222072_at	2.596
ABCB11	ATP-binding cassette, sub-family B, member 11	211224_s_at	4.496
ACACB	acetyl-Coenzyme A carboxylase beta	214584_x_at	3.444
APC2	adenomatosis polyposis coli 2	217174_s_at	2.837
APLP2	Amyloid beta (A4) precursor-like protein 2	208701_at	3.156
AZGP1	alpha-2-glycoprotein 1, zinc	217014_s_at	3.523
BLR1	Burkitt lymphoma receptor 1, GTP binding protein	216734_s_at	2.734
BMP7	Bone morphogenetic protein 7 (osteogenic protein 1)	209590_at	2.903
C3AR1	complement component 3a receptor 1	209906_at	2.980
C6orf97	chromosome 6 open reading frame 97	220581_at	2.885
CAPZB	capping protein (actin filament) muscle Z-line, beta	215097_at	2.687
CASP5	caspase 5, apoptosis-related cysteine protease	207500_at	2.414
CCR6	chemokine (C-C motif) receptor 6	206983_at	2.926
CD68	CD68 antigen	203507_at	2.665
CGI-38	brain specific protein	218876_at	5.875
CGI-62	CGI-62 protein	205308_at	2.996
CLU	clusterin	208792_s_at	2.739
CTAG1B	cancer/testis antigen 1B	211674_x_at	4.437
CTAG1B	cancer/testis antigen 1B	210546_x_at	3.561
DGCR5	DiGeorge syndrome critical region gene 5 (non-coding)	215244_at	2.727
DKFZP586M1120	hypothetical protein	208140_s_at	3.639
EDA	ectodysplasin A	211129_x_at	2.602
ELSPBP1	epididymal sperm binding protein 1	220366_at	2.688
FABP3	fatty acid binding protein 3, muscle and heart	214285_at	2.736
FBXO21	F-box protein 21	214891_at	2.929
FCGR3B	Fc fragment of IgG, low affinity IIIb, receptor (CD16b)	204007_at	3.414
FLT3LG	fms-related tyrosine kinase 3 ligand	206980_s_at	2.896
FOXH1	forkhead box H1	207644_at	2.658
GAGEC1	P antigen family, member 4 (prostate associated)	205564_at	3.093
GATA4	GATA binding protein 4	205517_at	4.182
GC	group-specific component (vitamin D binding protein)	204965_at	2.450
GIPR	gastric inhibitory polypeptide receptor	208105_at	5.164
GJA5	gap junction protein, alpha 5, 40kDa (connexin 40)	214466_at	3.755
GLP1R	glucagon-like peptide 1 receptor	208391_s_at	3.792
GNAT1	G protein, alpha transducing activity polypeptide 1	214286_at	3.793
GPD1	glycerol-3-phosphate dehydrogenase 1 (soluble)	213706_at	3.178
HNF4A	hepatocyte nuclear factor 4, alpha	214832_at	2.561
HPR	haptoglobin-related protein	208471_at	3.267
HTR7	5-hydroxytryptamine receptor 7 (adenylate cyclase-coupled)	207927_at	3.173
ICMT	isoprenylcysteine carboxyl methyltransferase	201610_at	2.539
IGLJ3	Immunoglobulin lambda joining 3	216365_x_at	2.911
IL27RA	interleukin 27 receptor, alpha	205926_at	3.111
IL6R	interleukin 6 receptor	217489_s_at	2.634
IMPG2	interphotoreceptor matrix proteoglycan 2	220830_at	2.546
KCNH6	potassium voltage-gated channel, subfamily H, member 6	221023_s_at	2.860
KCNJ5	potassium inwardly-rectifying channel, subfamily J, member 5	211304_x_at	2.964
KYNU	kynureninase (L-kynurenine hydrolase)	204385_at	2.510
LAMA4	laminin, alpha 4	210990_s_at	2.803
LAMP1	lysosomal-associated membrane protein 1	213728_at	3.181
LCAT	lecithin-cholesterol acyltransferase	204428_s_at	2.700
