Rank	Score	Gene name	Symbol	UniGene	Location	Gene ontology function	Agilent
2	27.734	Keratin 14	KRT14	Hs.355214	17q12-q21	Cytoskeleton structure	No
7	18.387	Inhibin, bA	INHBA	Hs.28792	7p15-p13	Receptor binding	Yes
16	16.081	Microtubule actin cross-linking fact 1	MACF1	Hs.472475	1p32-p31	Microtubule binding	Yes
17	15.874	Subfamily B	CYP1B1	Hs.154654	2p21	Electron transport	Yes
26	14.543	Protease, serine, 23	PRSS23	Hs.25338	11q14.1	Chymotrypsin activity	No
30	14.303	Transforming growth factor b induced	TGFBI	Hs.369397	5q31	Protein binding	No
31	14.292	Influenza virus NS1A binding protein	IVNS1ABP	Hs.497183	1q25.1-q31.1	RNA processing	No
33	14.18	Tax1-binding protein 3	TAX1BP3	Hs.12956	17p13	Protein binding	Yes
35	13.364	ATPase, Ca2+ transporting	ATP2A2	Hs.506759	12q23-q24.1	ATP and cation binding	Yes
39	12.849	Matrix metallopeptidase 2	MMP-2	Hs.513617	16q13-q21	Gelatinase A activity	Yes
40	12.832	Stratifin	SFN	Hs.523718	1p36.11	Protein kinase C inhibitor activity	No
43	12.382	Transcription elongation fact A-like 4	TCEAL4	Hs.194329	Xq22.2	Translation elongation	No
46	11.949	Protein 1	BASP1	Hs.201641	5p15.1-p14	Cytoskeleton structure	No
50	11.654	Annexin A5	ANXA5	Hs.480653	4q26-q32	Calcium ion binding	Yes
53	11.463	Tumor protein p53-binding protein, 1	TP53BP1	Hs.440968	15q15-q21	Transcriptional activator	Yes
54	11.291	Plectin 1	PLEC1	Hs.434248	8q24	Cytoskeleton structure	No
55	11.272	Actinin, a1	ACTN1	Hs.509765	14q24.1-2	Cytoskeleton structure	Yes
56	11.131	Zinc finger protein 537	ZNF537	Hs.278436	19q12	Transcription factor activity	no
57	11.113	Lysine hydroxylase	PLOD2	Hs.477866	3q23-q24	Oxidoreducase activity	Yes
58	10.83	Galectin 1	LGALS1	Hs.445351	22q13.1	Signaling transduction	Yes
61	9.815	Lysyl oxidase-like 2	LOXL2	Hs.116479	8p21.3-p21.2	Electron transport	Yes
67	8.699	Spermine oxidase	SMOX	Hs.433337	20p13	Oxidoreducase activity	Yes
69	8.227	Plexin A1	PLXNA1	Hs.432329	3q21.3	Semaphorin receptor activity	No
71	7.76	Casein kinase 1, e	CSNK1E	Hs.474833	22q13.1	Serine/threonine kinase	Yes
72	7.498	Serine/threonine kinase 19	STK19	Hs.485102	6p21.3	Serine/threonine kinase	no
73	6.474	Collagen, type V, a1	COL5A1	Hs.210283	9q34.2-.3	Extracellular matrix structure	No
4	-22.387	Immunoglobulin j constant	IGKC	Hs.449621	2p12	Antigen binding	Yes
8	-18.2	B-factor, properdin	BF	Hs.69771	6p21.3	Peptidase activity	Yes
9	-17.775	Cytochrome c oxidase subunit Vib	COX6B2	Hs.550544	19q13.42	Electron transport	No
12	-16.895	Spleen tyrosine kinase	SYK	Hs.371720	9q22	Tyrosine kinase activity	Yes
14	-16.142	Solute carrier family 35, E2	SLC35E2	Hs.551612	1p36.33	Catalytic activity	No
15	-16.091	Kynurenine aminotransferase III	KAT3	Hs.481898	1p22.2	Nucleic acid binding	Yes
20	-15.426	PHD finger protein 8	PHF8	Hs.133352	Xp11.22	DNA binding	No
36	-13.234	NADP+, soluble	IDH1	Hs.11223	2q33.3	Oxidoreducase activity	Yes
37	-13.089	MHC complex, class II, DP b1	HLA-DPB1	Hs.485130	6p21.3	Protein binding	Yes
44	-12.168	Ubiquitin protein ligase 1	WWP1	Hs.533440	8q21	Ubiquitin-protein ligase	No
48	-11.877	ATP synthase, H+ transporting	ATP5G3	Hs.429	2q31.1	Transporter activity	Yes
59	-10.498	Mitochondrial carrier homologue 1	MTCH1	Hs.485262	6pter-p24.1	Protein binding	No
64	-9.491	Vaccinia-related kinase 1	VRK1	Hs.422662	14q32	Serine/threonine kinase	Yes
66	-9.234	H3 histone, family 3A	H3F3A	Hs.533624	1q41/2q31.1	Nuclear protein	No
68	-8.56	Transcription factor 3	TCF3	Hs.371282	19p13.3	Transcription factor activity	Yes
74	-6.306	Nucleoporin 54 kDa	NUP54	Hs.430435	4q21.1	Transport	Yes
