Probe Set ID	Symbol	Description	Map	Fold Change	P
32668_at	SSBP2	single-stranded DNA-binding protein 2	5p14.3-q14.3	0.42	4.62E-07
31851_at	RFP2	ret finger protein 2	13q14	0.7	7.48E-06
36212_at				0.7	1.21E-05
31886_at	NT_5	5 nucleotidase (CD73)	6q14-q21	0.22	3.77E-05
2058_s_at	ITGB5	integrin, beta 5	3p14.3-p14.1	0.4	4.53E-05
33601_at				1.86	4.75E-05
32312_at	TPM2	tropornyosin 2 (beta)	9p13.2-p13.1	0.8	2.07E-04
41536_at				1.73	2.15E-04
32842_at	BCL7A	B-cell CLL/lymphoma 7A	12q24.13	0.42	2.90E-04
31356_at				1.31	3.33E-04
33796_at	ARL4	ADP-ribosylation factor-like 4	7p21-p15.3	0.6	4.18E-04
307_at	ALOX5	arachiodionate 5-lipoxygenase	10q11.2	1.32	4.18E-04
40986_s_at	76P	gamma tubulin ring complex protein (76p gene)	15q15	1.21	4.73E-04
34187_at	RBMS2	RNA binding motif, single stranded interacting protein 2	12	0.69	4.80E-04
32505_at	PPGB	protective protein for beta-galactosidase (galactosialidosis)	20q13.1	1.27	5.19E-04
330390_at	EFNA2	ephrin-A2	19p13.3	1.56	6.34E-04
32585_at	EPB41L2	erythrocyte membrane protein band 4. 1-like 2	6q23	0.45	7.30E-04
1561_at	DUSP8	dual specificity phosphatase 8	11p15.5	0.47	8.46E-04
471_f_at	TUBB, TUBB4	tubulin, beta polypeptide, tubulin, beta, 4	16, 6p21.3	0.76	9.00E-04
32855_at	LDLR	low density lipoprotein receptor (familial hypercholesterolemia)	19p13.3	0.65	9.03E-04
2044_s_at	RB1	retinoblastoma 1 (including osteosarcoma)	13q14.2	0.68	9.25E-04
37241_at	PNMA2	paraneoplastic antigen MA2	8pter-p23.3	0.59	9.70E-04
36214_at	KLF4	Kruppel-like factor 4 (gut)	9q31	0.55	9.82E-04
38881_i_at	TRIM16	tripartite motif-containing 16	17p11.2	1.6	9.86E-04
