Gene	Rank	RMS	RES	CE
TACSTD1	12650	-1.28	0.0013	Yes
CENPA	12644	-1.243	-0.0138	Yes
KIAA1212	12634	-1.169	-0.0281	Yes
RRM2	12631	-1.151	-0.042	Yes
MSH6	12627	-1.124	-0.0557	Yes
CAD	12587	-1.019	-0.0661	Yes
FLJ14668	12578	-1.009	-0.0778	Yes
MSH2	12510	-0.943	-0.0846	Yes
CCT4	12508	-0.941	-0.0959	Yes
ACP1	12476	-0.909	-0.1047	Yes
FKBP1B	12455	-0.892	-0.1141	Yes
DDX1	12451	-0.89	-0.1246	Yes
LRPPRC	12446	-0.885	-0.1351	Yes
LOC56902	12405	-0.852	-0.1425	Yes
FLJ21839	12401	-0.851	-0.1526	Yes
DNMT3A	12366	-0.831	-0.1601	Yes
RPS7	12336	-0.812	-0.1678	Yes
PIGF	12302	-0.793	-0.175	Yes
CCT7	12298	-0.792	-0.1843	Yes
GCS1	12292	-0.788	-0.1935	Yes
YWHAQ	12274	-0.777	-0.2016	Yes
TSSC1	12236	-0.762	-0.208	Yes
ODC1	12162	-0.723	-0.2114	Yes
MTIF2	12150	-0.719	-0.2192	Yes
RPS27A	12128	-0.709	-0.2262	Yes
AUP1	12090	-0.694	-0.2318	Yes
VSNL1	12063	-0.685	-0.2381	Yes
MYCN	12033	-0.672	-0.244	Yes
MCFD2	12008	-0.664	-0.2502	Yes
GTF3C2	11926	-0.636	-0.2517	Yes
PCBP1	11893	-0.622	-0.2568	Yes
SUCLG1	11822	-0.6	-0.2587	Yes
HSPC159	11790	-0.59	-0.2635	Yes
DGUOK	11768	-0.585	-0.2689	Yes
RNF144	11758	-0.581	-0.2753	Yes
MPV17	11705	-0.567	-0.2781	Yes
EIF2B4	11697	-0.565	-0.2844	Yes
SMYD5	11691	-0.564	-0.2908	Yes
HK2	11625	-0.547	-0.2924	Yes
XAB1	11615	-0.543	-0.2983	Yes
IMMT	11588	-0.537	-0.3028	Yes
CGREF1	11544	-0.525	-0.3058	Yes
MRPL19	11531	-0.523	-0.3112	Yes
CEBPZ	11513	-0.519	-0.3161	Yes
MAP4K3	11502	-0.516	-0.3216	Yes
RDH14	11484	-0.513	-0.3327	Yes
COX7A2L	11489	-0.513	-0.3268	Yes
PPM1G	11480	-0.511	-0.3387	Yes
GGCX	11433	-0.501	-0.3411	Yes
ITGB1BP1	11422	-0.498	-0.3464	Yes
STAMBP	11411	-0.496	-0.3516	Yes
SLC4A1AP	11408	-0.495	-0.3574	Yes
BRE	11380	-0.49	-0.3612	Yes
HIRIP5	11291	-0.473	-0.3601	Yes
GEMIN6	11278	-0.47	-0.3648	Yes
EML4	11201	-0.455	-0.3644	Yes
ROCK2	11183	-0.452	-0.3685	Yes
USP39	11179	-0.451	-0.3737	Yes
KCMF1	11134	-0.442	-0.3757	Yes
GFPT1	11126	-0.44	-0.3804	Yes
SNX17	11079	-0.432	-0.3821	Yes
