Mouse Gene Identifier	Geometric mean of intensity in class 1: Early	Geometric mean of intensity in class 2: Late	Early/Late Ratio	Parametric p-value	FDR	Mouse 430 2.0 array probe set	Human U133A 2.0 array orthologous probe set	Description	Human Gene Identifier
Gja1	294.1	96.1	3.06	0.0000002	0.0027116	1415800_at	201667_at	gap junction protein, alpha 1, 43kDa (connexin 43)	GJA1
Ela2	102.9	358.6	0.287	0.0000008	0.002802	1422928_at	206871_at	elastase 2, neutrophil	ELA2
Fgb	1137.1	2373.3	0.479	0.0000009	0.002802	1428079_at	204988_at	fibrinogen beta chain	FGB
Fgb	1137.1	2373.3	0.479	0.0000009	0.002802		216238_s_at	fibrinogen beta chain	FGB
Mpo	856.1	1773.2	0.483	0.0000013	0.002802	1415960_at	203948_s_at	myeloperoxidase	MPO
Mpo	856.1	1773.2	0.483	0.0000013	0.002802	1415960_at	203949_at	myeloperoxidase	MPO
Ptn	604.3	173.8	3.477	0.0000019	0.002802	1448254_at	208408_at	pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)	PTN
Pglyrp1	18.1	77.4	0.234	0.0000024	0.002802	1449184_at	207384_at	peptidoglycan recognition protein 1	PGLYRP1
Cybb	42.3	80.7	0.524	0.0000026	0.002802	1422978_at	203922_s_at	cytochrome b-245, beta polypeptide (chronic granulomatous disease)	CYBB
Cybb	42.3	80.7	0.524	0.0000026	0.002802	1436778_at	203923_s_at	cytochrome b-245, beta polypeptide (chronic granulomatous disease)	CYBB
XM_620756	69.1	210.3	0.329	0.0000027	0.002802	1434060_at	218306_s_at	hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1	HERC1
A2m	187	675.1	0.277	0.000003	0.002802	1434719_at	217757_at	alpha-2-macroglobulin	A2M
Hp	9.7	106.8	0.091	0.0000031	0.002802	1448881_at	206697_s_at	haptoglobin	HP
							208470_s_at	haptoglobin /// haptoglobin-related protein	HP /// HPR
							217647_at	Haptoglobin	HP
F12	130.6	269	0.486	0.0000044	0.0035091	1420496_at	205774_at	coagulation factor XII (Hageman factor)	F12
							215961_at	coagulation factor XII (Hageman factor)	F12
NM_010441	1436.2	341.8	4.202	0.0000063	0.0045979	1450780_s_at	208025_s_at	high mobility group AT-hook 2 /// high mobility group AT-hook 2	HMGA2
Cfp	48.2	145.5	0.331	0.0000068	0.0045979	1452279_at	206380_s_at	complement factor properdin	CFP
NM_010206	94.2	37	2.546	0.0000078	0.0045979	1424050_s_at	207822_at	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	FGFR1
							210973_s_at	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	FGFR1
							211535_s_at	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	FGFR1
							222164_at	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	FGFR1
Anxa1	228.1	419.3	0.544	0.0000095	0.0053667	1448213_at	201012_at	annexin A1	ANXA1
Stab2	108.4	188.3	0.576	0.000011	0.0054232	1419423_at	220114_s_at	stabilin 2	STAB2
Arg1	29.1	131.6	0.221	0.0000115	0.0054232	1419549_at	206177_s_at	arginase, liver	ARG1
Prtn3	208.4	494.1	0.422	0.0000119	0.0054232	1419669_at	207341_at	proteinase 3 (serine proteinase, neutrophil, Wegener granulomatosis autoantigen)	PRTN3
Wasf1	133.6	48.5	2.755	0.0000126	0.0054232	1418545_at	204165_at	WAS protein family, member 1	WASF1
Nrn1	54.4	279.9	0.194	0.0000129	0.0054232	1428393_at	218625_at	neuritin 1	NRN1
NM_009696	1520.2	2325.1	0.654	0.0000135	0.0054232	1432466_a_at	203381_s_at	apolipoprotein E	APOE
							203382_s_at	apolipoprotein E	APOE
Plg	728	1564.2	0.465	0.0000136	0.0054232	1416729_at	209977_at	plasminogen	PLG
							209978_s_at	lipoprotein, Lp(a) /// plasminogen	LPA /// PLG
Pcyt2	160.3	256.1	0.626	0.0000137	0.0054232	1420493_a_at	209577_at	phosphate cytidylyltransferase 2, ethanolamine	PCYT2
Pecr	101	171.3	0.59	0.000014	0.0054232	1439167_at	221142_s_at	peroxisomal trans-2-enoyl-CoA reductase	PECR
Cxcr7	189.8	42.9	4.424	0.0000148	0.0055097	1417625_s_at	212977_at	chemokine orphan receptor 1	CMKOR1
Aqp1	396.4	1052.8	0.377	0.0000158	0.0055097	1416203_at	207542_s_at	aquaporin 1 (Colton blood group)	AQP1
							209047_at	aquaporin 1 (Colton blood group)	AQP1
Pdgfra	384.8	119.9	3.209	0.000018	0.0055097	1421917_at	203131_at	platelet-derived growth factor receptor, alpha polypeptide	PDGFRA
							211533_at	platelet-derived growth factor receptor, alpha polypeptide	PDGFRA
							215305_at	platelet-derived growth factor receptor, alpha polypeptide /// tripartite motif-containing 6 and tripartite motif-containing 34	PDGFRA
Trf	60.2	123.7	0.487	0.0000187	0.0055097	1442049_at	203400_s_at	transferrin	TF
							214063_s_at	transferrin	TF
							214064_at	transferrin	TF
							220109_at	transferrin	TF
Hba-x	5708.9	1537.7	3.713	0.000019	0.0055097	1448716_at	206647_at	hemoglobin, zeta /// hemoglobin, zeta	HBZ
Tac2	140.2	363.3	0.386	0.0000191	0.0055097	1419411_at	219992_at	tachykinin 3 (neuromedin K, neurokinin beta)	TAC3
Hbb-b1	3193.4	1799.1	1.775	0.0000228	0.0063086	1450621_a_at	205919_at	hemoglobin, epsilon 1 /// hemoglobin, epsilon 1	HBE1
							217683_at	Hemoglobin, epsilon 1	HBE1
Cyp27a1	18	43.8	0.411	0.0000235	0.0063723	1417590_at	203979_at	cytochrome P450, family 27, subfamily A, polypeptide 1	CYP27A1
Gnmt	47.9	212.2	0.226	0.0000274	0.0072841	1417422_at	210328_at	glycine N-methyltransferase	GNMT
NM_011098	120.3	5.2	23.135	0.0000324	0.0074312	1424797_a_at	207558_s_at	paired-like homeodomain transcription factor 2	PITX2
Prrx2	52.3	23.3	2.245	0.0000332	0.0074312	1432331_a_at	219729_at	paired related homeobox 2	PRRX2
Pftk1	101.8	40.6	2.507	0.0000333	0.0074312	1419249_at	204604_at	PFTAIRE protein kinase 1	PFTK1
							211502_s_at	PFTAIRE protein kinase 1	PFTK1
Lyzs	278.1	532.4	0.522	0.0000339	0.0074312	1423547_at	213975_s_at	lysozyme (renal amyloidosis) /// leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1	LYZ
Olfm4	117.1	248.3	0.472	0.0000348	0.0074312	1437060_at	212768_s_at	olfactomedin 4	OLFM4
Cps1	164.1	614.2	0.267	0.0000351	0.0074312	1455540_at	204920_at	carbamoyl-phosphate synthetase 1, mitochondrial	CPS1
							217564_s_at	carbamoyl-phosphate synthetase 1, mitochondrial	CPS1
Hand2	164.5	85	1.935	0.0000361	0.0074312	1422221_at	220480_at	heart and neural crest derivatives expressed 2	HAND2
Mdk	1493.1	281.2	5.31	0.0000374	0.0074312	1416006_at	209035_at	midkine (neurite growth-promoting factor 2)	MDK
Fgg	1104.5	3257.5	0.339	0.0000377	0.0074312	1416025_at	219612_s_at	fibrinogen gamma chain	FGG
Aldh1l1	48.4	179.7	0.269	0.0000381	0.0074312	1424400_a_at	205208_at	aldehyde dehydrogenase 1 family, member L1	ALDH1L1
							215798_at	aldehyde dehydrogenase 1 family, member L1	ALDH1L1
Ambp	2524.6	3924	0.643	0.0000388	0.0074312	1416649_at	205477_s_at	alpha-1-microglobulin/bikunin precursor	AMBP
							214425_at	Alpha-1-microglobulin/bikunin precursor	AMBP
Itih1	80.6	322.1	0.25	0.0000392	0.0074312	1417973_at	210888_s_at	inter-alpha (globulin) inhibitor H1	ITIH1
Rprm	65.3	21.2	3.08	0.0000393	0.0074312	1422552_at	219370_at	reprimo, TP53 dependent G2 arrest mediator candidate	RPRM
H6pd	283.6	492	0.576	0.0000398	0.0074312	1452145_at	206933_s_at	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)	H6PD
							221892_at	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)	H6PD
Marcksl1	1125.4	556.3	2.023	0.0000407	0.0074312	1415922_s_at	200644_at	MARCKS-like 1	MARCKSL1
